"ID","Key","Value"
"vs-dao","Level","0"
"vs-dao","Value Proposition","Provide world-class education, prestigious credentials, and a transformative learning experience that enhances career prospects and personal development."
"vs-dao","Value Stream Pattern","MTS"
"vs-dao-s1","Level","1"
"vs-dao-s1","Sequence","1"
"vs-dao-s2","Level","1"
"vs-dao-s2","Sequence","2"
"vs-dao-s3","Level","1"
"vs-dao-s3","Sequence","3"
"vs-dao-s4","Level","1"
"vs-dao-s4","Sequence","4"
"vs-brc","Level","0"
"vs-brc","Value Proposition","Conduct high-impact, rigorous research that advances knowledge, addresses critical societal challenges, and delivers a return on investment through discoveries and publications."
"vs-brc","Value Stream Pattern","MTS"
"vs-brc-s1","Level","1"
"vs-brc-s1","Sequence","1"
"vs-brc-s2","Level","1"
"vs-brc-s2","Sequence","2"
"vs-brc-s3","Level","1"
"vs-brc-s3","Sequence","3"
"vs-egs","Level","0"
"vs-egs","Value Proposition","Provide world-class education, prestigious credentials, and a transformative learning experience that enhances career prospects and personal development."
"vs-egs","Value Stream Pattern","ATO"
"vs-egs-s1","Level","1"
"vs-egs-s1","Sequence","1"
"vs-egs-s2","Level","1"
"vs-egs-s2","Sequence","2"
"vs-egs-s3","Level","1"
"vs-egs-s3","Sequence","3"
"vs-egs-s4","Level","1"
"vs-egs-s4","Sequence","4"
"vs-egs-s5","Level","1"
"vs-egs-s5","Sequence","5"
"vs-efr","Level","0"
"vs-efr","Value Proposition","Conduct high-impact, rigorous research that advances knowledge, addresses critical societal challenges, and delivers a return on investment through discoveries and publications."
"vs-efr","Value Stream Pattern","ETO"
"vs-efr-s1","Level","1"
"vs-efr-s1","Sequence","1"
"vs-efr-s2","Level","1"
"vs-efr-s2","Sequence","2"
"vs-efr-s3","Level","1"
"vs-efr-s3","Sequence","3"
"vs-efr-s4","Level","1"
"vs-efr-s4","Sequence","4"
"vs-cre","Level","0"
"vs-cre","Value Proposition","Generate innovative knowledge, intellectual property, and a highly skilled workforce to drive economic growth and societal progress."
"vs-cre","Value Stream Pattern","ETO"
"vs-cre-s1","Level","1"
"vs-cre-s1","Sequence","1"
"vs-cre-s2","Level","1"
"vs-cre-s2","Sequence","2"
"vs-cre-s3","Level","1"
"vs-cre-s3","Sequence","3"
"vs-cre-s4","Level","1"
"vs-cre-s4","Sequence","4"
"cap-am","Level","0"
"cap-cpd","Level","1"
"cap-cdm","Level","2"
"cap-par","Level","2"
"cap-slm","Level","1"
"cap-ra","Level","2"
"cap-er","Level","2"
"cap-sas","Level","2"
"cap-ag","Level","2"
"cap-gar","Level","2"
"cap-tld","Level","1"
"cap-id","Level","2"
"cap-lem","Level","2"
"cap-rm","Level","0"
"cap-rspm","Level","1"
"cap-rap","Level","2"
"cap-rip","Level","2"
"cap-rfgm","Level","1"
"cap-gip","Level","2"
"cap-gac","Level","2"
"cap-red","Level","1"
"cap-rpm","Level","2"
"cap-dca","Level","2"
"cap-psc","Level","2"
"cap-ktt","Level","0"
"cap-ipm","Level","1"
"cap-ida","Level","2"
"cap-pl","Level","2"
"cap-cpm","Level","1"
"cap-iec","Level","2"
"cap-svc","Level","2"
"bo-ai","Level","0"
"bo-ap","Level","1"
"bo-c","Level","1"
"bo-sr","Level","1"
"bo-aa","Level","2"
"bo-at","Level","2"
"bo-cred","Level","1"
"bo-ri","Level","0"
"bo-rp","Level","1"
"bo-rprop","Level","1"
"bo-rg","Level","1"
"bo-rd","Level","1"
"bo-sp","Level","1"
"bo-ip","Level","0"
"bo-id","Level","1"
"bo-p","Level","1"
"bo-la","Level","1"
