"ID","Type","Name","Documentation","Source","Target","Specialization"
"","CompositionRelationship","","","vs-dao","vs-dao-s1",""
"","CompositionRelationship","","","vs-dao","vs-dao-s2",""
"","CompositionRelationship","","","vs-dao","vs-dao-s3",""
"","CompositionRelationship","","","vs-dao","vs-dao-s4",""
"","CompositionRelationship","","","vs-brc","vs-brc-s1",""
"","CompositionRelationship","","","vs-brc","vs-brc-s2",""
"","CompositionRelationship","","","vs-brc","vs-brc-s3",""
"","CompositionRelationship","","","vs-egs","vs-egs-s1",""
"","CompositionRelationship","","","vs-egs","vs-egs-s2",""
"","CompositionRelationship","","","vs-egs","vs-egs-s3",""
"","CompositionRelationship","","","vs-egs","vs-egs-s4",""
"","CompositionRelationship","","","vs-egs","vs-egs-s5",""
"","CompositionRelationship","","","vs-efr","vs-efr-s1",""
"","CompositionRelationship","","","vs-efr","vs-efr-s2",""
"","CompositionRelationship","","","vs-efr","vs-efr-s3",""
"","CompositionRelationship","","","vs-efr","vs-efr-s4",""
"","CompositionRelationship","","","vs-cre","vs-cre-s1",""
"","CompositionRelationship","","","vs-cre","vs-cre-s2",""
"","CompositionRelationship","","","vs-cre","vs-cre-s3",""
"","CompositionRelationship","","","vs-cre","vs-cre-s4",""
"","CompositionRelationship","","","cap-am","cap-cpd",""
"","CompositionRelationship","","","cap-am","cap-slm",""
"","CompositionRelationship","","","cap-am","cap-tld",""
"","CompositionRelationship","","","cap-cpd","cap-cdm",""
"","CompositionRelationship","","","cap-cpd","cap-par",""
"","CompositionRelationship","","","cap-slm","cap-ra",""
"","CompositionRelationship","","","cap-slm","cap-er",""
"","CompositionRelationship","","","cap-slm","cap-sas",""
"","CompositionRelationship","","","cap-slm","cap-ag",""
"","CompositionRelationship","","","cap-slm","cap-gar",""
"","CompositionRelationship","","","cap-tld","cap-id",""
"","CompositionRelationship","","","cap-tld","cap-lem",""
"","CompositionRelationship","","","cap-rm","cap-rspm",""
"","CompositionRelationship","","","cap-rm","cap-rfgm",""
"","CompositionRelationship","","","cap-rm","cap-red",""
"","CompositionRelationship","","","cap-rspm","cap-rap",""
"","CompositionRelationship","","","cap-rspm","cap-rip",""
"","CompositionRelationship","","","cap-rfgm","cap-gip",""
"","CompositionRelationship","","","cap-rfgm","cap-gac",""
"","CompositionRelationship","","","cap-red","cap-rpm",""
"","CompositionRelationship","","","cap-red","cap-dca",""
"","CompositionRelationship","","","cap-red","cap-psc",""
"","CompositionRelationship","","","cap-ktt","cap-ipm",""
"","CompositionRelationship","","","cap-ktt","cap-cpm",""
"","CompositionRelationship","","","cap-ipm","cap-ida",""
"","CompositionRelationship","","","cap-ipm","cap-pl",""
"","CompositionRelationship","","","cap-cpm","cap-iec",""
"","CompositionRelationship","","","cap-cpm","cap-svc",""
"","CompositionRelationship","","","bo-ai","bo-ap",""
"","CompositionRelationship","","","bo-ai","bo-c",""
"","CompositionRelationship","","","bo-ai","bo-sr",""
"","CompositionRelationship","","","bo-ai","bo-cred",""
"","CompositionRelationship","","","bo-sr","bo-aa",""
"","CompositionRelationship","","","bo-sr","bo-at",""
"","CompositionRelationship","","","bo-ri","bo-rp",""
"","CompositionRelationship","","","bo-ri","bo-rprop",""
"","CompositionRelationship","","","bo-ri","bo-rg",""
"","CompositionRelationship","","","bo-ri","bo-rd",""
"","CompositionRelationship","","","bo-ri","bo-sp",""
"","CompositionRelationship","","","bo-ip","bo-id",""
"","CompositionRelationship","","","bo-ip","bo-p",""
"","CompositionRelationship","","","bo-ip","bo-la",""
"","ServingRelationship","","","cap-cpd","vs-dao-s1",""
"","ServingRelationship","","","cap-cdm","vs-dao-s2",""
"","ServingRelationship","","","cap-par","vs-dao-s3",""
