"ID","Type","Name","Documentation"
"C1","Capability","Research Management",""
"C1_1","Capability","Research Strategy & Portfolio Management",""
"C1_2","Capability","Research Funding & Grant Management",""
"C1_2_1","Capability","Grant Identification & Proposal Development",""
"C1_2_2","Capability","Grant Administration & Compliance",""
"C1_3","Capability","Research Execution & Conduct",""
"C1_3_1","Capability","Research Project Management",""
"C1_3_2","Capability","Laboratory & Facility Management",""
"C1_3_3","Capability","Research Data Management",""
"C1_3_4","Capability","Research Ethics & Integrity Oversight",""
"C1_4","Capability","Intellectual Property & Commercialization",""
"C1_4_1","Capability","IP Disclosure & Assessment",""
"C1_4_2","Capability","Patenting & Licensing",""
"C1_4_3","Capability","Spin-off & Venture Creation",""
"C2","Capability","Knowledge Dissemination",""
"C2_1","Capability","Scholarly Publication Management",""
"C2_2","Capability","Conference & Symposia Management",""
"C2_3","Capability","Public Engagement & Outreach",""
"C3","Capability","Advanced Education Management",""
"C3_1","Capability","Curriculum & Program Development",""
"C3_1_1","Capability","Graduate Program Design",""
"C3_1_2","Capability","Undergraduate Program Design",""
"C3_2","Capability","Student Recruitment & Admissions",""
"C3_2_1","Capability","Graduate Admissions",""
"C3_2_2","Capability","Undergraduate Admissions",""
"C3_3","Capability","Teaching & Learning Delivery",""
"C3_3_1","Capability","Classroom & Lab Instruction",""
"C3_3_2","Capability","Online & Hybrid Instruction",""
"C3_3_3","Capability","Student Assessment & Grading",""
"C3_4","Capability","Student Advising & Mentorship",""
"C3_4_1","Capability","Academic Advising",""
"C3_4_2","Capability","Research Mentorship",""
"C3_5","Capability","Credentialing & Graduation",""
"BO1","BusinessObject","Research Asset",""
"BO1_1","BusinessObject","Research Proposal",""
"BO1_2","BusinessObject","Research Grant",""
"BO1_3","BusinessObject","Research Project",""
"BO1_4","BusinessObject","Research Data",""
"BO1_5","BusinessObject","Research Finding",""
"BO1_6","BusinessObject","Intellectual Property",""
"BO1_6_1","BusinessObject","Patent",""
"BO1_6_2","BusinessObject","License Agreement",""
"BO2","BusinessObject","Knowledge Product",""
"BO2_1","BusinessObject","Scholarly Publication",""
"BO2_2","BusinessObject","Conference Proceeding",""
"BO2_3","BusinessObject","Course",""
"BO2_4","BusinessObject","Academic Program",""
"BO3","BusinessObject","Stakeholder",""
"BO3_1","BusinessObject","Student",""
"BO3_2","BusinessObject","Researcher",""
"BO3_3","BusinessObject","Research Sponsor",""
"BO4","BusinessObject","Academic Record",""
"BO4_1","BusinessObject","Student Application",""
"BO4_2","BusinessObject","Transcript",""
"BO4_3","BusinessObject","Degree",""
"VS1","ValueStream","Educate Student",""
"VS1_1","ValueStream","Recruit & Admit",""
"VS1_2","ValueStream","Onboard & Advise",""
"VS1_3","ValueStream","Instruct & Assess",""
"VS1_4","ValueStream","Certify & Graduate",""
"VS2","ValueStream","Execute Sponsored Research",""
"VS2_1","ValueStream","Identify & Propose",""
"VS2_2","ValueStream","Award & Set-up",""
"VS2_3","ValueStream","Conduct Research",""
"VS2_4","ValueStream","Report & Close-out",""
"VS3","ValueStream","Commercialize Intellectual Property",""
"VS3_1","ValueStream","Disclose & Evaluate",""
"VS3_2","ValueStream","Protect & Market",""
"VS3_3","ValueStream","License & Execute",""
"VS3_4","ValueStream","Manage & Monitor",""
"VS4","ValueStream","Develop Academic Portfolio",""
"VS4_1","ValueStream","Ideate & Propose Program",""
"VS4_2","ValueStream","Design & Approve Curriculum",""
"VS4_3","ValueStream","Resource & Launch Program",""
"VS4_4","ValueStream","Review & Sunset Program",""
"VS5","ValueStream","Develop Research Capability",""
"VS5_1","ValueStream","Strategize & Prioritize",""
"VS5_2","ValueStream","Acquire Talent & Resources",""
"VS5_3","ValueStream","Establish Infrastructure",""
"VS5_4","ValueStream","Foster Collaboration",""
