"ID","Type","Name","Documentation"
"vs_01","ValueStream","Develop & Maintain Academic Portfolio","The end-to-end process of designing, accrediting, and continuously improving the university's portfolio of academic degree programs and courses, creating educational assets ready for student enrollment."
"vs_02","ValueStream","Develop & Sustain Research Capacity","The strategic process of building and maintaining the institutional infrastructure, talent, and knowledge base required to conduct world-class research, creating foundational capabilities before specific funding is secured."
"vs_03","ValueStream","Deliver Education & Student Experience","The student-triggered journey from initial application and admission through to instruction, assessment, and the final awarding of a qualification, utilizing the pre-existing academic portfolio."
"vs_04","ValueStream","Execute Funded Research","The complete lifecycle of a specific research project, triggered by a funding opportunity, from proposal development and submission to the execution of the research and dissemination of its findings."
"vs_05","ValueStream","Deliver Societal & Industry Impact","The process of engaging with external partners to translate the university's knowledge and expertise into specific solutions, such as contract research, consultancy, or technology licensing."
"vs_01_01","ValueStream","Program Design & Approval","The stage focused on creating and validating the academic content and structure of a new program."
"vs_01_02","ValueStream","Program Quality Management","The stage focused on the ongoing review and enhancement of existing programs to ensure quality and relevance."
"vs_01_01_01","ValueStream","Design Curriculum","The process of defining learning outcomes, course modules, and assessment methods for a new academic program."
"vs_01_01_02","ValueStream","Secure Accreditation","The process of obtaining formal approval from regulatory and professional bodies for a new academic program."
"vs_01_02_01","ValueStream","Monitor Program Performance","The process of gathering data and feedback on a program's effectiveness and student outcomes."
"vs_01_02_02","ValueStream","Refine Curriculum","The process of updating and improving an existing program's content and structure based on review."
"vs_02_01","ValueStream","Establish Research Foundations","The stage focused on creating the physical, digital, and human resource infrastructure necessary for research."
"vs_02_02","ValueStream","Cultivate Research Excellence","The stage focused on fostering a high-performance research culture through collaboration and quality management."
"vs_02_01_01","ValueStream","Develop Research Infrastructure","The process of acquiring and maintaining laboratories, equipment, and data platforms."
"vs_02_01_02","ValueStream","Recruit & Develop Researchers","The process of attracting, hiring, and providing ongoing professional development for academic research staff."
"vs_02_02_01","ValueStream","Foster Research Collaboration","The process of building internal and external networks and partnerships to enhance research impact."
"vs_02_02_02","ValueStream","Monitor Research Performance","The process of tracking and evaluating research output, funding success, and impact metrics."
"vs_03_01","ValueStream","Student Acquisition & Onboarding","The stage covering the attraction, selection, admission, and formal enrollment of students."
"vs_03_02","ValueStream","Education & Progression","The stage covering the core delivery of teaching, learning, assessment, and student support."
"vs_03_01_01","ValueStream","Recruit & Admit Student","The process of marketing to prospective students, processing applications, and offering places."
"vs_03_01_02","ValueStream","Enroll & Orient Student","The process of formally registering an admitted student and providing them with an induction to the university."
"vs_03_02_01","ValueStream","Deliver Instruction & Support","The process of providing scheduled teaching, academic guidance, and pastoral support to enrolled students."
"vs_03_02_02","ValueStream","Assess Learning & Award Qualification","The process of evaluating student performance against learning outcomes and conferring a formal qualification upon successful completion."
"vs_04_01","ValueStream","Secure Funding","The stage focused on identifying research opportunities and developing successful grant proposals."
"vs_04_02","ValueStream","Deliver Research Project","The stage focused on the execution of the funded research and the dissemination of its results."
"vs_04_01_01","ValueStream","Identify Funding Opportunity","The process of scanning for relevant calls for proposals from funding bodies."
"vs_04_01_02","ValueStream","Develop & Submit Proposal","The process of designing the research project, writing the grant application, and submitting it to the funder."
"vs_04_02_01","ValueStream","Conduct Research","The process of executing the planned research methodology, collecting and analyzing data."
"vs_04_02_02","ValueStream","Disseminate Findings","The process of publishing research outcomes in scholarly journals, conferences, and other channels."
"vs_05_01","ValueStream","Partner Engagement","The stage focused on identifying partner needs and co-creating a proposal for a service or collaboration."
"vs_05_02","ValueStream","Impact Delivery","The stage focused on executing the agreed work and managing the ongoing partner relationship."
"vs_05_01_01","ValueStream","Identify Partner Need","The process of engaging with an external organization to understand their challenges and requirements."
"vs_05_01_02","ValueStream","Scope & Propose Solution","The process of designing a tailored solution (e.g., consultancy, contract research) and negotiating an agreement."
"vs_05_02_01","ValueStream","Deliver Service or Technology","The process of executing the agreed work, transferring knowledge or technology to the partner."
"vs_05_02_02","ValueStream","Manage Partnership","The process of maintaining the relationship with the partner to ensure value realization and identify future opportunities."
"cap_01","Capability","Academic Program Management","The ability to design, develop, accredit, and manage the lifecycle of the university's portfolio of academic programs."
"cap_02","Capability","Research Management","The ability to strategize, secure funding for, execute, and commercialize research activities."
"cap_03","Capability","Student Management","The ability to manage the entire student lifecycle from recruitment and admissions through to graduation and alumni relations."
"cap_04","Capability","Education Delivery","The ability to deliver high-quality teaching, learning, assessment, and academic support to students."
"cap_05","Capability","Engagement Management","The ability to build and manage relationships and formal agreements with external partners, funders, and stakeholders."
"cap_06","Capability","Research Capacity Management","The ability to develop and sustain the foundational infrastructure and talent required for research excellence."
"cap_01_01","Capability","Curriculum Management","The ability to design and maintain the structure, content, and learning outcomes of academic courses and programs."
"cap_01_02","Capability","Quality & Accreditation Management","The ability to ensure academic offerings meet internal quality standards and external regulatory requirements."
"cap_01_01_01","Capability","Curriculum Design","The ability to create new, coherent, and academically rigorous curricula for courses and programs."
"cap_01_01_02","Capability","Curriculum Review","The ability to periodically evaluate and update existing curricula for relevance and effectiveness."
"cap_01_02_01","Capability","Accreditation Submission","The ability to prepare and manage applications for formal accreditation from professional and statutory bodies."
"cap_01_02_02","Capability","Quality Auditing","The ability to conduct internal and external reviews of academic quality and standards."
"cap_02_01","Capability","Research Lifecycle Management","The ability to manage the end-to-end process of a research project from proposal to dissemination."
"cap_02_02","Capability","Research Commercialization","The ability to identify, protect, and exploit intellectual property arising from research."
"cap_02_01_01","Capability","Proposal Development","The ability to formulate a research question and methodology into a compelling proposal for funding."
"cap_02_01_02","Capability","Research Execution","The ability to conduct rigorous research according to a defined plan, ensuring ethical compliance and data integrity."
"cap_02_01_03","Capability","Results Dissemination","The ability to communicate research findings effectively through scholarly publications and other channels."
"cap_02_02_01","Capability","IP Protection","The ability to manage the patenting and protection of new inventions and discoveries."
"cap_02_02_02","Capability","Licensing & Spin-out","The ability to negotiate licenses for university IP and support the creation of new companies."
"cap_03_01","Capability","Student Acquisition","The ability to attract, evaluate, and admit suitable candidates to the university's programs."
"cap_03_02","Capability","Student Administration","The ability to manage the administrative aspects of the student journey, including registration and progression."
"cap_03_01_01","Capability","Recruitment Marketing","The ability to promote the university and its programs to prospective students globally."
"cap_03_01_02","Capability","Admissions Processing","The ability to efficiently and fairly assess applications against entry criteria."
"cap_03_02_01","Capability","Enrollment & Registration","The ability to formally register students for their program and courses."
"cap_03_02_02","Capability","Progression Monitoring","The ability to track student academic performance and manage progression through their program."
"cap_04_01","Capability","Teaching & Learning","The ability to design and deliver effective instructional experiences and assessments."
"cap_04_02","Capability","Student Support","The ability to provide academic and pastoral support to enhance student success and well-being."
"cap_04_01_01","Capability","Instructional Delivery","The ability to convey subject matter expertise through various pedagogical methods (lectures, labs, seminars)."
"cap_04_01_02","Capability","Learning Assessment","The ability to design and administer assessments that validly measure student achievement of learning outcomes."
"cap_04_02_01","Capability","Academic Advising","The ability to provide students with guidance on academic choices and progression."
"cap_04_02_02","Capability","Pastoral Care Coordination","The ability to provide non-academic support services for student welfare."
"cap_05_01","Capability","Partner Relationship Management","The ability to identify, develop, and nurture long-term relationships with external organizations."
"cap_05_02","Capability","Agreement Management","The ability to negotiate, formalize, and manage compliance with contracts and agreements."
"cap_05_01_01","Capability","Opportunity Identification","The ability to proactively identify potential partners and opportunities for collaboration."
"cap_05_01_02","Capability","Relationship Nurturing","The ability to maintain positive and productive engagement with key external stakeholders."
"cap_05_02_01","Capability","Contract Negotiation","The ability to negotiate the terms of grants, licenses, and service agreements."
"cap_05_02_02","Capability","Compliance Monitoring","The ability to ensure all parties adhere to the terms of a formal agreement."
"cap_06_01","Capability","Research Infrastructure Management","The ability to plan, provision, and maintain the physical and digital assets required for research."
"cap_06_02","Capability","Researcher Development","The ability to recruit, train, and support the career progression of research staff."
"cap_06_01_01","Capability","Lab & Equipment Provisioning","The ability to manage the lifecycle of specialized research facilities and equipment."
"cap_06_01_02","Capability","Research Data Management","The ability to provide platforms and policies for the secure storage, sharing, and preservation of research data."
"cap_06_02_01","Capability","Talent Recruitment & Retention","The ability to attract and retain high-caliber academic and research staff."
"cap_06_02_02","Capability","Skills Training & Mentoring","The ability to provide development opportunities to enhance researchers' technical and professional skills."
"bo_01","BusinessObject","University Knowledge Asset","Represents the codified intellectual capital and core academic and research products of the university."
"bo_02","BusinessObject","University Engagement","Represents the formal agreements, applications, and proposals that govern the university's interactions with external parties."
"bo_01_01","BusinessObject","Academic Asset","Represents the structured products and records related to the university's educational mission."
"bo_01_02","BusinessObject","Research Asset","Represents the outputs and intellectual property generated through research activities."
"bo_01_03","BusinessObject","Research Capacity Asset","Represents the foundational resources and personnel that enable research activities."
"bo_01_01_01","BusinessObject","Academic Program","A structured and accredited course of study leading to a qualification."
"bo_01_01_02","BusinessObject","Student Qualification","A formal record certifying the successful completion of an academic program."
"bo_01_02_01","BusinessObject","Scholarly Publication","A peer-reviewed article, book, or conference paper that disseminates research findings."
"bo_01_02_02","BusinessObject","Intellectual Property","A novel discovery, invention, or work that can be legally protected (e.g., via patent)."
"bo_01_03_01","BusinessObject","Research Infrastructure Record","A record of the university's physical and digital research assets, including labs, equipment, and data platforms."
"bo_01_03_02","BusinessObject","Researcher Profile","A record of a researcher's expertise, publications, grant history, and professional activities."
"bo_02_01","BusinessObject","Student Engagement","Represents the formal interactions and agreements related to the student lifecycle."
"bo_02_02","BusinessObject","Partner Engagement","Represents the formal proposals and contracts with research funders and industry partners."
"bo_02_01_01","BusinessObject","Student Application","A formal request from a prospective student for admission to an academic program."
"bo_02_01_02","BusinessObject","Enrollment Record","The official administrative record of a student's registration with the university."
"bo_02_02_01","BusinessObject","Research Proposal","A formal document submitted to a funding body to secure a grant for a research project."
"bo_02_02_02","BusinessObject","Partnership Agreement","A legally binding contract for services, collaboration, or technology licensing with an external partner."
