"ID","Key","Value"
"C0_EM","Level","0"
"C0_RM","Level","0"
"C1_CDD","Level","1"
"C1_PPM","Level","1"
"C1_RCE","Level","1"
"C1_RDR","Level","1"
"C1_RFA","Level","1"
"C1_RPI","Level","1"
"C1_RPP","Level","1"
"C1_RSD","Level","1"
"C1_SEA","Level","1"
"C1_SGM","Level","1"
"C1_SRA","Level","1"
"C2_ADM","Level","2"
"C2_APE","Level","2"
"C2_CDD","Level","2"
"C2_DAC","Level","2"
"C2_GPD","Level","2"
"C2_ID","Level","2"
"C2_IPM","Level","2"
"C2_PPM","Level","2"
"C2_RAI","Level","2"
"C2_RCN","Level","2"
"C2_RPP","Level","2"
"C2_SAG","Level","2"
"C2_SIA","Level","2"
"C2_SPD","Level","2"
"C2_SPM","Level","2"
"C2_SRM","Level","2"
"O0_EP","Level","0"
"O0_RI","Level","0"
"O1_EA","Level","1"
"O1_RA","Level","1"
"O1_RAg","Level","1"
"O1_SA","Level","1"
"O1_SR","Level","1"
"O2_AP","Level","2"
"O2_APR","Level","2"
"O2_CC","Level","2"
"O2_DC","Level","2"
"O2_GA","Level","2"
"O2_IP","Level","2"
"O2_RD","Level","2"
"O2_RP","Level","2"
"O2_SAD","Level","2"
"O2_SP","Level","2"
"O2_ST","Level","2"
"O2_TLA","Level","2"
"V0_BRC","Level","0"
"V0_BRC","Value Proposition","Enable the creation of new knowledge and intellectual property through strategic investment and support for scholarly inquiry."
"V0_BRC","Value Stream Pattern","MTS"
"V0_DAO","Level","0"
"V0_DAO","Value Proposition","Provide a portfolio of relevant and high-quality academic programs to meet the needs of students and society."
"V0_DAO","Value Stream Pattern","MTS"
"V0_DE","Level","0"
"V0_DE","Value Proposition","Acquire advanced knowledge and a recognized credential to enable career and personal growth."
"V0_DE","Value Stream Pattern","ATO"
"V0_ERP","Level","0"
"V0_ERP","Value Proposition","Generate novel insights and intellectual property to advance a field of knowledge or solve a specific problem."
"V0_ERP","Value Stream Pattern","ETO"
"V1_BRC1","Level","1"
"V1_BRC2","Level","1"
"V1_DAO1","Level","1"
"V1_DAO2","Level","1"
"V1_DE1","Level","1"
"V1_DE2","Level","1"
"V1_DE4","Level","1"
"V1_ERP1","Level","1"
"V1_ERP2","Level","1"
"V1_ERP3","Level","1"
"V1_ERP4","Level","1"
"V2_BRC11","Level","2"
"V2_BRC21","Level","2"
"V2_DAO11","Level","2"
"V2_DAO21","Level","2"
"V2_DE11","Level","2"
"V2_DE12","Level","2"
"V2_DE21","Level","2"
"V2_DE22","Level","2"
"V2_DE41","Level","2"
"V2_ERP11","Level","2"
"V2_ERP12","Level","2"
"V2_ERP21","Level","2"
"V2_ERP31","Level","2"
"V2_ERP41","Level","2"
"V2_ERP42","Level","2"
