"ID","Type","Name","Documentation","Source","Target","Specialization"
"","CompositionRelationship","","","C0_EM","C1_CDD",""
"","CompositionRelationship","","","C0_EM","C1_PPM",""
"","CompositionRelationship","","","C0_EM","C1_SEA",""
"","CompositionRelationship","","","C0_EM","C1_SGM",""
"","CompositionRelationship","","","C0_EM","C1_SRA",""
"","CompositionRelationship","","","C0_RM","C1_RCE",""
"","CompositionRelationship","","","C0_RM","C1_RDR",""
"","CompositionRelationship","","","C0_RM","C1_RFA",""
"","CompositionRelationship","","","C0_RM","C1_RPI",""
"","CompositionRelationship","","","C0_RM","C1_RPP",""
"","CompositionRelationship","","","C0_RM","C1_RSD",""
"","CompositionRelationship","","","C1_CDD","C2_CDD",""
"","CompositionRelationship","","","C1_PPM","C2_PPM",""
"","CompositionRelationship","","","C1_RCE","C2_SIA",""
"","CompositionRelationship","","","C1_RDR","C2_IPM",""
"","CompositionRelationship","","","C1_RDR","C2_SPM",""
"","CompositionRelationship","","","C1_RFA","C2_GPD",""
"","CompositionRelationship","","","C1_RFA","C2_RCN",""
"","CompositionRelationship","","","C1_RPI","C2_SPD",""
"","CompositionRelationship","","","C1_RPP","C2_RPP",""
"","CompositionRelationship","","","C1_RSD","C2_RAI",""
"","CompositionRelationship","","","C1_SEA","C2_ID",""
"","CompositionRelationship","","","C1_SEA","C2_SAG",""
"","CompositionRelationship","","","C1_SGM","C2_DAC",""
"","CompositionRelationship","","","C1_SGM","C2_SRM",""
"","CompositionRelationship","","","C1_SRA","C2_ADM",""
"","CompositionRelationship","","","C1_SRA","C2_APE",""
"","CompositionRelationship","","","O0_EP","O1_EA",""
"","CompositionRelationship","","","O0_EP","O1_SA",""
"","CompositionRelationship","","","O0_EP","O1_SR",""
"","CompositionRelationship","","","O0_RI","O1_RA",""
"","CompositionRelationship","","","O0_RI","O1_RAg",""
"","CompositionRelationship","","","O1_EA","O2_AP",""
"","CompositionRelationship","","","O1_EA","O2_CC",""
"","CompositionRelationship","","","O1_RA","O2_IP",""
"","CompositionRelationship","","","O1_RA","O2_RD",""
"","CompositionRelationship","","","O1_RA","O2_SP",""
"","CompositionRelationship","","","O1_RAg","O2_GA",""
"","CompositionRelationship","","","O1_RAg","O2_RP",""
"","CompositionRelationship","","","O1_RAg","O2_TLA",""
"","CompositionRelationship","","","O1_SA","O2_SAD",""
"","CompositionRelationship","","","O1_SR","O2_APR",""
"","CompositionRelationship","","","O1_SR","O2_DC",""
"","CompositionRelationship","","","O1_SR","O2_ST",""
"","CompositionRelationship","","","V0_BRC","V1_BRC1",""
"","CompositionRelationship","","","V0_BRC","V1_BRC2",""
"","CompositionRelationship","","","V0_DAO","V1_DAO1",""
"","CompositionRelationship","","","V0_DAO","V1_DAO2",""
"","CompositionRelationship","","","V0_DE","V1_DE1",""
"","CompositionRelationship","","","V0_DE","V1_DE2",""
"","CompositionRelationship","","","V0_DE","V1_DE4",""
"","CompositionRelationship","","","V0_ERP","V1_ERP1",""
"","CompositionRelationship","","","V0_ERP","V1_ERP2",""
"","CompositionRelationship","","","V0_ERP","V1_ERP3",""
"","CompositionRelationship","","","V0_ERP","V1_ERP4",""
"","CompositionRelationship","","","V1_BRC1","V2_BRC11",""
"","CompositionRelationship","","","V1_BRC2","V2_BRC21",""
"","CompositionRelationship","","","V1_DAO1","V2_DAO11",""
"","CompositionRelationship","","","V1_DAO2","V2_DAO21",""
"","CompositionRelationship","","","V1_DE1","V2_DE11",""
"","CompositionRelationship","","","V1_DE1","V2_DE12",""
"","CompositionRelationship","","","V1_DE2","V2_DE21",""
"","CompositionRelationship","","","V1_DE2","V2_DE22",""
"","CompositionRelationship","","","V1_DE4","V2_DE41",""
"","CompositionRelationship","","","V1_ERP1","V2_ERP11",""
"","CompositionRelationship","","","V1_ERP1","V2_ERP12",""
"","CompositionRelationship","","","V1_ERP2","V2_ERP21",""
"","CompositionRelationship","","","V1_ERP3","V2_ERP31",""
"","CompositionRelationship","","","V1_ERP4","V2_ERP41",""
"","CompositionRelationship","","","V1_ERP4","V2_ERP42",""
"","ServingRelationship","","","C0_EM","V0_DAO",""
"","ServingRelationship","","","C0_EM","V0_DE",""
"","ServingRelationship","","","C0_RM","V0_BRC",""
"","ServingRelationship","","","C0_RM","V0_ERP",""
"","ServingRelationship","","","C1_CDD","V1_DAO2",""
"","ServingRelationship","","","C1_PPM","V1_DAO1",""
"","ServingRelationship","","","C1_RCE","V1_ERP3",""
"","ServingRelationship","","","C1_RDR","V1_ERP4",""
"","ServingRelationship","","","C1_RFA","V1_ERP1",""
"","ServingRelationship","","","C1_RPI","V1_BRC2",""
"","ServingRelationship","","","C1_RPP","V1_ERP2",""
"","ServingRelationship","","","C1_RSD","V1_BRC1",""
"","ServingRelationship","","","C1_SEA","V1_DE2",""
"","ServingRelationship","","","C1_SGM","V1_DE4",""
"","ServingRelationship","","","C1_SRA","V1_DE1",""
"","ServingRelationship","","","C2_ADM","V2_DE12",""
"","ServingRelationship","","","C2_APE","V2_DE11",""
"","ServingRelationship","","","C2_CDD","V2_DAO21",""
"","ServingRelationship","","","C2_DAC","V2_DE41",""
"","ServingRelationship","","","C2_GPD","V2_ERP11",""
"","ServingRelationship","","","C2_ID","V2_DE21",""
"","ServingRelationship","","","C2_IPM","V2_ERP42",""
"","ServingRelationship","","","C2_PPM","V2_DAO11",""
"","ServingRelationship","","","C2_RAI","V2_BRC11",""
"","ServingRelationship","","","C2_RCN","V2_ERP12",""
"","ServingRelationship","","","C2_RPP","V2_ERP21",""
"","ServingRelationship","","","C2_SAG","V2_DE22",""
"","ServingRelationship","","","C2_SIA","V2_ERP31",""
"","ServingRelationship","","","C2_SPD","V2_BRC21",""
"","ServingRelationship","","","C2_SPM","V2_ERP41",""
"","ServingRelationship","","","C2_SRM","V2_DE41",""
"","AssociationRelationship","","","C0_EM","O0_EP",""
"","AssociationRelationship","","","C0_RM","O0_RI",""
"","AssociationRelationship","","","C1_CDD","O1_EA",""
"","AssociationRelationship","","","C1_PPM","O1_EA",""
"","AssociationRelationship","","","C1_RCE","O1_RA",""
"","AssociationRelationship","","","C1_RDR","O1_RA",""
"","AssociationRelationship","","","C1_RFA","O1_RAg",""
"","AssociationRelationship","","","C1_RPI","O1_RAg",""
