"ID","Type","Name","Documentation"
"C0_EM","Capability","Education Management","Encompasses all core activities related to the design, delivery, and administration of educational programs for students."
"C0_RM","Capability","Research Management","Encompasses all core activities related to the ideation, funding, execution, and dissemination of scholarly research."
"C1_CPD","Capability","Curriculum & Program Development","The capability to design, develop, and maintain the portfolio of academic programs and their constituent courses."
"C1_RDI","Capability","Research Dissemination & Impact","The capability to share research findings with the academic community and society, and to manage and commercialize intellectual assets."
"C1_REC","Capability","Research Execution & Conduct","The capability to plan and perform scholarly research in accordance with rigorous academic and ethical standards."
"C1_RFA","Capability","Research Funding Acquisition","The capability to identify, apply for, and secure external funding for research projects through grants and contracts."
"C1_RSPM","Capability","Research Strategy & Portfolio Management","The capability to define strategic research directions, identify areas of focus, and manage the overall portfolio of research initiatives."
"C1_SPG","Capability","Student Progression & Graduation","The capability to manage student academic records, track progress toward degree completion, and confer credentials."
"C1_SRA","Capability","Student Recruitment & Admissions","The capability to attract, evaluate, and admit qualified students into academic programs."
"C1_TLD","Capability","Teaching & Learning Delivery","The capability to deliver instruction, assess student learning, and provide academic support and advising."
"C2_ADM","Capability","Admissions Decision Management","The capability to make and communicate final admissions decisions based on established criteria."
"C2_APE","Capability","Application Processing & Evaluation","The capability to process incoming student applications and evaluate them against program-specific requirements."
"C2_CDD","Capability","Course Design & Development","The capability to define learning outcomes, structure, and content for individual courses within an academic program."
"C2_DAC","Capability","Degree Auditing & Conferral","The capability to verify that a student has met all academic requirements and to formally award the degree credential."
"C2_GPD","Capability","Grant Proposal Development","The capability to write and assemble compelling research proposals that meet the requirements of funding agencies."
"C2_ID","Capability","Instructional Delivery","The capability to deliver course content and facilitate learning experiences through various modalities (e.g., lectures, labs, online)."
"C2_IPM","Capability","Intellectual Property Management","The capability to identify, protect, and manage intellectual property (e.g., patents, copyrights) arising from research."
"C2_PPM","Capability","Program Portfolio Management","The capability to analyze market and societal needs to define and manage the university's portfolio of academic degree programs."
"C2_RAI","Capability","Research Area Identification","The capability to identify and prioritize strategic areas for research investment and faculty development."
"C2_RCN","Capability","Research Contract Negotiation","The capability to negotiate the terms, conditions, and budgets for research grants and sponsored projects."
"C2_RPP","Capability","Research Project Planning","The capability to define the scope, methodology, resources, and timeline for a specific research project."
"C2_SAG","Capability","Student Assessment & Grading","The capability to design and administer assessments (e.g., exams, papers) to measure student learning and assign grades."
"C2_SIA","Capability","Scholarly Inquiry & Analysis","The capability to conduct systematic investigation, collect and analyze data, and generate novel insights or conclusions."
"C2_SPD","Capability","Strategic Partnership Development","The capability to establish and maintain collaborative relationships with other research institutions, industry, and government agencies."
"C2_SPM","Capability","Scholarly Publication Management","The capability to prepare, submit, and manage the publication of research findings in peer-reviewed journals and books."
"C2_SRM","Capability","Student Record Management","The capability to maintain the official academic record of a student's coursework, grades, and status."
"O0_KA","BusinessObject","Knowledge Asset","Represents the core intellectual capital created and managed by the university, including both research and educational outputs."
"O0_SE","BusinessObject","Stakeholder Engagement","Represents the formal agreements, records, and relationships with key external stakeholders like students and funding bodies."
"O1_EA","BusinessObject","Educational Asset","Represents the structured products and records related to the university's educational offerings."
"O1_RA","BusinessObject","Research Asset","Represents the tangible and intangible outputs generated through the process of scholarly research."
"O1_RAg","BusinessObject","Research Agreement","Represents a formal, legally binding agreement that governs a research-related activity."
"O1_SR","BusinessObject","Student Record","Represents the official and comprehensive record of a student's relationship and academic journey with the university."
"O2_AP","BusinessObject","Academic Program","A structured curriculum of study leading to a specific degree or credential."
"O2_APR","BusinessObject","Academic Performance Record","The official record of a student's grades and academic standing for a given term or course."
"O2_CC","BusinessObject","Course Curriculum","The detailed plan for a single academic course, including topics, learning outcomes, and assessment methods."
"O2_DC","BusinessObject","Degree Credential","The official diploma or certificate awarded to a student upon successful completion of an academic program."
"O2_GA","BusinessObject","Grant Agreement","A formal contract with a funding body that specifies the terms and deliverables for a research grant."
"O2_IP","BusinessObject","Intellectual Property","An intangible asset resulting from research, such as a patentable invention, discovery, or creative work."
"O2_RD","BusinessObject","Research Data","The raw or processed data collected or generated during the course of a research project."
"O2_RP","BusinessObject","Research Proposal","A formal document submitted to a funding body outlining a proposed research project and its budget."
"O2_SA","BusinessObject","Student Application","The complete set of documents and data submitted by a prospective student seeking admission."
"O2_SP","BusinessObject","Scholarly Publication","A formal written work, such as a journal article or book chapter, that disseminates research findings."
"O2_ST","BusinessObject","Student Transcript","The cumulative, official record of a student's coursework, grades, and awarded degrees."
"O2_TLA","BusinessObject","Technology License Agreement","A contract granting a third party rights to use university-owned intellectual property in exchange for royalties or fees."
"V0_BRC","ValueStream","Build Research Capacity","The process of developing the faculty, infrastructure, and strategic direction to enable world-class research."
"V0_DAO","ValueStream","Develop Academic Offering","The process of designing and establishing degree programs and curricula available for student enrollment."
"V0_DE","ValueStream","Deliver Education","The end-to-end process of recruiting, educating, and graduating a student within a specific academic program."
"V0_ERP","ValueStream","Execute Research Project","The end-to-end process from securing funding to delivering novel research outcomes for a specific sponsor."
"V1_BRC1","ValueStream","Define Research Strategy","The stage of identifying and prioritizing strategic areas of research focus for the institution."
"V1_BRC2","ValueStream","Establish Research Infrastructure","The stage of developing the partnerships, collaborations, and resources necessary to support strategic research areas."
"V1_BRC3","ValueStream","Foster Research Culture","The stage of promoting and sustaining a vibrant research environment through portfolio management and communication."
