"ID","Type","Name","Documentation","Source","Target","Specialization"
"","CompositionRelationship","","","C0_EM","C1_CPD",""
"","CompositionRelationship","","","C0_EM","C1_SPG",""
"","CompositionRelationship","","","C0_EM","C1_SRA",""
"","CompositionRelationship","","","C0_EM","C1_TLD",""
"","CompositionRelationship","","","C0_RM","C1_RDI",""
"","CompositionRelationship","","","C0_RM","C1_REC",""
"","CompositionRelationship","","","C0_RM","C1_RFA",""
"","CompositionRelationship","","","C0_RM","C1_RSPM",""
"","CompositionRelationship","","","C1_CPD","C2_CDD",""
"","CompositionRelationship","","","C1_CPD","C2_PPM",""
"","CompositionRelationship","","","C1_RDI","C2_IPM",""
"","CompositionRelationship","","","C1_RDI","C2_SPM",""
"","CompositionRelationship","","","C1_REC","C2_RPP",""
"","CompositionRelationship","","","C1_REC","C2_SIA",""
"","CompositionRelationship","","","C1_RFA","C2_GPD",""
"","CompositionRelationship","","","C1_RFA","C2_RCN",""
"","CompositionRelationship","","","C1_RSPM","C2_RAI",""
"","CompositionRelationship","","","C1_RSPM","C2_SPD",""
"","CompositionRelationship","","","C1_SPG","C2_DAC",""
"","CompositionRelationship","","","C1_SPG","C2_SRM",""
"","CompositionRelationship","","","C1_SRA","C2_ADM",""
"","CompositionRelationship","","","C1_SRA","C2_APE",""
"","CompositionRelationship","","","C1_TLD","C2_ID",""
"","CompositionRelationship","","","C1_TLD","C2_SAG",""
"","CompositionRelationship","","","O0_KA","O1_EA",""
"","CompositionRelationship","","","O0_KA","O1_RA",""
"","CompositionRelationship","","","O0_SE","O1_RAg",""
"","CompositionRelationship","","","O0_SE","O1_SR",""
"","CompositionRelationship","","","O1_EA","O2_AP",""
"","CompositionRelationship","","","O1_EA","O2_CC",""
"","CompositionRelationship","","","O1_EA","O2_DC",""
"","CompositionRelationship","","","O1_EA","O2_ST",""
"","CompositionRelationship","","","O1_RA","O2_IP",""
"","CompositionRelationship","","","O1_RA","O2_RD",""
"","CompositionRelationship","","","O1_RA","O2_RP",""
"","CompositionRelationship","","","O1_RA","O2_SP",""
"","CompositionRelationship","","","O1_RAg","O2_GA",""
"","CompositionRelationship","","","O1_RAg","O2_TLA",""
"","CompositionRelationship","","","O1_SR","O2_APR",""
"","CompositionRelationship","","","O1_SR","O2_SA",""
"","CompositionRelationship","","","V0_BRC","V1_BRC1",""
"","CompositionRelationship","","","V0_BRC","V1_BRC2",""
"","CompositionRelationship","","","V0_BRC","V1_BRC3",""
"","CompositionRelationship","","","V0_DAO","V1_DAO1",""
"","CompositionRelationship","","","V0_DAO","V1_DAO2",""
"","CompositionRelationship","","","V0_DAO","V1_DAO3",""
"","CompositionRelationship","","","V0_DE","V1_DE1",""
"","CompositionRelationship","","","V0_DE","V1_DE2",""
"","CompositionRelationship","","","V0_DE","V1_DE3",""
"","CompositionRelationship","","","V0_DE","V1_DE4",""
"","CompositionRelationship","","","V0_ERP","V1_ERP1",""
"","CompositionRelationship","","","V0_ERP","V1_ERP2",""
"","CompositionRelationship","","","V0_ERP","V1_ERP3",""
"","CompositionRelationship","","","V0_ERP","V1_ERP4",""
"","ServingRelationship","","","C1_CPD","V1_DAO3",""
"","ServingRelationship","","","C1_RDI","V1_ERP4",""
"","ServingRelationship","","","C1_RSPM","V1_BRC3",""
"","ServingRelationship","","","C1_SRA","V1_DE1",""
"","ServingRelationship","","","C1_TLD","V1_DE3",""
"","ServingRelationship","","","C2_CDD","V1_DAO2",""
"","ServingRelationship","","","C2_DAC","V1_DE4",""
"","ServingRelationship","","","C2_ID","V1_DE2",""
"","ServingRelationship","","","C2_PPM","V1_DAO1",""
"","ServingRelationship","","","C2_RAI","V1_BRC1",""
"","ServingRelationship","","","C2_RPP","V1_ERP2",""
"","ServingRelationship","","","C2_SIA","V1_ERP3",""
"","ServingRelationship","","","C2_SPD","V1_BRC2",""
"","ServingRelationship","","","C1_RFA","V1_ERP1",""
"","ServingRelationship","","","C2_ADM","C1_SRA",""
"","ServingRelationship","","","C2_APE","C1_SRA",""
"","ServingRelationship","","","C2_GPD","C1_RFA",""
"","ServingRelationship","","","C2_IPM","C1_RDI",""
"","ServingRelationship","","","C2_RCN","C1_RFA",""
"","ServingRelationship","","","C2_SAG","C2_ID",""
"","ServingRelationship","","","C2_SPM","C1_RDI",""
"","ServingRelationship","","","C2_SRM","C2_DAC",""
"","AssociationRelationship","","","C0_EM","O0_KA",""
"","AssociationRelationship","","","C0_EM","O0_SE",""
"","AssociationRelationship","","","C0_RM","O0_KA",""
"","AssociationRelationship","","","C0_RM","O0_SE",""
"","AssociationRelationship","","","C1_CPD","O1_EA",""
"","AssociationRelationship","","","C1_RDI","O2_IP",""
"","AssociationRelationship","","","C1_REC","O2_RD",""
"","AssociationRelationship","","","C1_RFA","O2_RP",""
"","AssociationRelationship","","","C1_RSPM","O1_RAg",""
"","AssociationRelationship","","","C1_SPG","O2_ST",""
"","AssociationRelationship","","","C1_SRA","O2_SA",""
"","AssociationRelationship","","","C1_TLD","O2_APR",""
