"ID","Key","Value"
"VS_1","Level","0"
"VS_1_1","Level","1"
"VS_1_2","Level","1"
"VS_1_3","Level","1"
"VS_2","Level","0"
"VS_2_1","Level","1"
"VS_2_2","Level","1"
"VS_2_3","Level","1"
"VS_3","Level","0"
"VS_3_1","Level","1"
"VS_3_2","Level","1"
"VS_3_3","Level","1"
"VS_4","Level","0"
"VS_4_1","Level","1"
"VS_4_2","Level","1"
"VS_4_3","Level","1"
"CAP_0","Level","0"
"CAP_1","Level","1"
"CAP_1_1","Level","2"
"CAP_1_2","Level","2"
"CAP_1_3","Level","2"
"CAP_1_4","Level","2"
"CAP_1_5","Level","2"
"CAP_2","Level","1"
"CAP_2_1","Level","2"
"CAP_2_2","Level","2"
"CAP_2_3","Level","2"
"CAP_2_4","Level","2"
"CAP_3","Level","1"
"CAP_3_1","Level","2"
"CAP_3_2","Level","2"
"CAP_3_3","Level","2"
"CAP_4","Level","1"
"CAP_4_1","Level","2"
"CAP_4_2","Level","2"
"CAP_4_3","Level","2"
"BO_0","Level","0"
"BO_1","Level","1"
"BO_1_1","Level","2"
"BO_1_2","Level","2"
"BO_1_3","Level","2"
"BO_1_4","Level","2"
"BO_2","Level","1"
"BO_2_1","Level","2"
"BO_2_2","Level","2"
"BO_2_3","Level","2"
"BO_2_4","Level","2"
"BO_3","Level","1"
"BO_3_1","Level","2"
"BO_3_2","Level","2"
"BO_3_3","Level","2"
"BO_4","Level","1"
"BO_4_1","Level","2"
"BO_4_2","Level","2"
"BO_4_3","Level","2"
"VS_1","Value Proposition","Acquire advanced knowledge, skills, and a prestigious credential to enable career and personal growth."
"VS_1","Value Stream Pattern","MTS"
"VS_2","Value Proposition","Generate novel insights, data, and intellectual property to advance a specific field of knowledge or solve a critical problem."
"VS_2","Value Stream Pattern","MTS"
"VS_3","Value Proposition","Acquire advanced knowledge, skills, and a prestigious credential to enable career and personal growth."
"VS_3","Value Stream Pattern","ATO"
"VS_4","Value Proposition","Generate novel insights, data, and intellectual property to advance a specific field of knowledge or solve a critical problem."
"VS_4","Value Stream Pattern","ETO"
