"ID","Type","Name","Documentation"
"cap-l0-muo","Capability","Manage University Operations","Encompasses all core activities required to operate a research-intensive university, from academic delivery and research to commercialization and engagement."
"cap-l1-mao","Capability","Manage Academic Offerings","Concerns the design, governance, and quality assurance of all academic programs and their associated standards and policies."
"cap-l1-msl","Capability","Manage Student Lifecycle","Covers the end-to-end process of attracting, admitting, educating, assessing, and credentialing students."
"cap-l1-mrl","Capability","Manage Research Lifecycle","Encompasses the entire lifecycle of scholarly research, from identifying opportunities and securing funding to execution, analysis, and dissemination."
"cap-l1-mcp","Capability","Manage Commercialization & Partnerships","Focuses on translating research into commercial value and managing strategic relationships with industry and external partners."
"cap-l1-mue","Capability","Manage University Engagement","Involves building and maintaining relationships with key external stakeholders, including alumni, funders, partners, and the wider community."
"cap-l1-mur","Capability","Manage University Resources","Concerns the management and allocation of core academic and research resources, including faculty, facilities, and learning environments."
"cap-l2-dap","Capability","Design Academic Programs","The capability to create, review, and update curricula and degree programs to meet academic standards and market needs."
"cap-l2-mas","Capability","Manage Academic Standards","The capability to define and enforce policies and standards for academic quality and integrity across the university."
"cap-l2-map","Capability","Manage Assessment Policies","The capability to establish and govern the rules and methods for evaluating student performance and learning outcomes."
"cap-l2-rps","Capability","Recruit Prospective Students","The capability to attract and engage potential students for the university's academic programs."
"cap-l2-esa","Capability","Evaluate Student Applications","The capability to assess and process applications from prospective students against defined admissions criteria."
"cap-l2-dai","Capability","Deliver Academic Instruction","The capability to provide teaching and learning experiences to students through lectures, seminars, labs, and other modalities."
"cap-l2-asw","Capability","Assess Student Work","The capability to evaluate student submissions, such as exams and assignments, against academic criteria."
"cap-l2-aac","Capability","Administer Academic Credentials","The capability to formally issue degrees, diplomas, and other qualifications to students who have met program requirements."
"cap-l2-mac","Capability","Manage Admissions Criteria","The capability to define, maintain, and apply the criteria used for selecting and admitting students."
"cap-l2-msr","Capability","Manage Student Records","The capability to maintain accurate and secure records of student academic progress, enrollment, and personal information."
"cap-l2-ifo","Capability","Identify Funding Opportunities","The capability to discover and evaluate potential sources of funding for foundational research from grants and other sources."
"cap-l2-dgp","Capability","Develop Grant Proposals","The capability to prepare and submit compelling applications for research funding to granting agencies."
"cap-l2-csi","Capability","Conduct Scholarly Investigations","The capability to execute systematic research and experiments to generate new knowledge and insights."
"cap-l2-aed","Capability","Analyze Experimental Data","The capability to process, interpret, and draw conclusions from data collected during research activities."
"cap-l2-prp","Capability","Publish Research Papers","The capability to prepare, submit, and manage the publication of research findings in scholarly journals and conferences."
"cap-l2-mrd","Capability","Manage Research Data","The capability to collect, store, secure, and provide access to research data in accordance with ethical and funder requirements."
