"ID","Key","Value"
"cap-l0-muo","Level","0"
"cap-l1-mao","Level","1"
"cap-l1-msl","Level","1"
"cap-l1-mrl","Level","1"
"cap-l1-mcp","Level","1"
"cap-l1-mue","Level","1"
"cap-l1-mur","Level","1"
"cap-l2-dap","Level","2"
"cap-l2-mas","Level","2"
"cap-l2-map","Level","2"
"cap-l2-rps","Level","2"
"cap-l2-esa","Level","2"
"cap-l2-dai","Level","2"
"cap-l2-asw","Level","2"
"cap-l2-aac","Level","2"
"cap-l2-mac","Level","2"
"cap-l2-msr","Level","2"
"cap-l2-ifo","Level","2"
"cap-l2-dgp","Level","2"
"cap-l2-csi","Level","2"
"cap-l2-aed","Level","2"
"cap-l2-prp","Level","2"
"cap-l2-mrd","Level","2"
"cap-l2-mre","Level","2"
"cap-l2-dip","Level","2"
"cap-l2-drs","Level","2"
"cap-l2-nca","Level","2"
"cap-l2-dcr","Level","2"
"cap-l2-rpd","Level","2"
"cap-l2-mcb","Level","2"
"cap-l2-scp","Level","2"
"cap-l2-mip","Level","2"
"cap-l2-mtt","Level","2"
"cap-l2-eua","Level","2"
"cap-l2-mmc","Level","2"
"cap-l2-mer","Level","2"
"cap-l2-mfr","Level","2"
"cap-l2-mpv","Level","2"
"cap-l2-mfrs","Level","2"
"cap-l2-mle","Level","2"
"cap-l2-mrf","Level","2"
"vs-l0-es","Level","0"
"vs-l0-es","Value Proposition","We provide structured degree programs that equip students with advanced knowledge and accredited qualifications for their future careers."
"vs-l0-es","Value Stream Pattern","MTS"
"vs-l0-cfr","Level","0"
"vs-l0-cfr","Value Proposition","We generate and disseminate new fundamental knowledge and insights that advance scientific understanding and the public good, supported by grants and institutional funding."
"vs-l0-cfr","Value Stream Pattern","MTS"
"vs-l0-dcr","Level","0"
"vs-l0-dcr","Value Proposition","We deliver bespoke research projects and expert consulting services to solve specific problems for external partners (industry, government) on a contractual basis."
"vs-l0-dcr","Value Stream Pattern","ETO"
"vs-l1-es-dp","Level","1"
"vs-l1-es-ets","Level","1"
"vs-l1-es-mar","Level","1"
"vs-l2-es-dc","Level","2"
"vs-l2-es-dc","Sequence","1"
"vs-l2-es-rs","Level","2"
"vs-l2-es-rs","Sequence","2"
"vs-l2-es-aa","Level","2"
"vs-l2-es-aa","Sequence","3"
"vs-l2-es-dcrs","Level","2"
"vs-l2-es-dcrs","Sequence","4"
"vs-l2-es-asp","Level","2"
"vs-l2-es-asp","Sequence","5"
"vs-l2-es-cd","Level","2"
"vs-l2-es-cd","Sequence","6"
"vs-l2-es-sa","Level","2"
"vs-l2-es-sa","Sequence","7"
"vs-l1-cfr-per","Level","1"
"vs-l1-cfr-cd","Level","1"
"vs-l2-cfr-iro","Level","2"
"vs-l2-cfr-iro","Sequence","1"
"vs-l2-cfr-srf","Level","2"
"vs-l2-cfr-srf","Sequence","2"
"vs-l2-cfr-erp","Level","2"
"vs-l2-cfr-erp","Sequence","3"
"vs-l2-cfr-ard","Level","2"
"vs-l2-cfr-ard","Sequence","4"
"vs-l2-cfr-drf","Level","2"
"vs-l2-cfr-drf","Sequence","5"
"vs-l2-cfr-mri","Level","2"
"vs-l2-cfr-mri","Sequence","6"
"vs-l1-dcr-adpp","Level","1"
"vs-l2-dcr-epp","Level","2"
"vs-l2-dcr-epp","Sequence","1"
"vs-l2-dcr-srp","Level","2"
"vs-l2-dcr-srp","Sequence","2"
"vs-l2-dcr-nrc","Level","2"
"vs-l2-dcr-nrc","Sequence","3"
"vs-l2-dcr-ecr","Level","2"
"vs-l2-dcr-ecr","Sequence","4"
"vs-l2-dcr-dro","Level","2"
"vs-l2-dcr-dro","Sequence","5"
"vs-l2-dcr-pcp","Level","2"
"vs-l2-dcr-pcp","Sequence","6"
"vs-l2-dcr-ppps","Level","2"
"vs-l2-dcr-ppps","Sequence","7"
"bo-l0-uo","Level","0"
"bo-l1-ao","Level","1"
"bo-l1-s","Level","1"
"bo-l1-re","Level","1"
"bo-l1-c","Level","1"
"bo-l1-ue","Level","1"
"bo-l1-ur","Level","1"
"bo-l2-ap","Level","2"
"bo-l2-as","Level","2"
"bo-l2-apcy","Level","2"
"bo-l2-ps","Level","2"
"bo-l2-sa","Level","2"
"bo-l2-co","Level","2"
"bo-l2-sass","Level","2"
"bo-l2-ac","Level","2"
"bo-l2-acrit","Level","2"
"bo-l2-sr","Level","2"
"bo-l2-fo","Level","2"
"bo-l2-gp","Level","2"
"bo-l2-si","Level","2"
"bo-l2-ed","Level","2"
"bo-l2-rp","Level","2"
"bo-l2-rd","Level","2"
"bo-l2-re","Level","2"
"bo-l2-ip","Level","2"
"bo-l2-rs","Level","2"
"bo-l2-ca","Level","2"
"bo-l2-cr","Level","2"
"bo-l2-pd","Level","2"
"bo-l2-ci","Level","2"
"bo-l2-cp","Level","2"
"bo-l2-ipy","Level","2"
"bo-l2-tt","Level","2"
"bo-l2-a","Level","2"
"bo-l2-mc","Level","2"
"bo-l2-er","Level","2"
"bo-l2-fr","Level","2"
"bo-l2-pv","Level","2"
"bo-l2-fm","Level","2"
"bo-l2-le","Level","2"
"bo-l2-rf","Level","2"
