"ID","Type","Name","Documentation","Source","Target","Specialization"
"","CompositionRelationship","","","cap-l0-muo","cap-l1-mao",""
"","CompositionRelationship","","","cap-l0-muo","cap-l1-msl",""
"","CompositionRelationship","","","cap-l0-muo","cap-l1-mrl",""
"","CompositionRelationship","","","cap-l0-muo","cap-l1-mcp",""
"","CompositionRelationship","","","cap-l0-muo","cap-l1-mue",""
"","CompositionRelationship","","","cap-l0-muo","cap-l1-mur",""
"","CompositionRelationship","","","cap-l1-mao","cap-l2-dap",""
"","CompositionRelationship","","","cap-l1-mao","cap-l2-mas",""
"","CompositionRelationship","","","cap-l1-mao","cap-l2-map",""
"","CompositionRelationship","","","cap-l1-msl","cap-l2-rps",""
"","CompositionRelationship","","","cap-l1-msl","cap-l2-esa",""
"","CompositionRelationship","","","cap-l1-msl","cap-l2-dai",""
"","CompositionRelationship","","","cap-l1-msl","cap-l2-asw",""
"","CompositionRelationship","","","cap-l1-msl","cap-l2-aac",""
"","CompositionRelationship","","","cap-l1-msl","cap-l2-mac",""
"","CompositionRelationship","","","cap-l1-msl","cap-l2-msr",""
"","CompositionRelationship","","","cap-l1-mrl","cap-l2-ifo",""
"","CompositionRelationship","","","cap-l1-mrl","cap-l2-dgp",""
"","CompositionRelationship","","","cap-l1-mrl","cap-l2-csi",""
"","CompositionRelationship","","","cap-l1-mrl","cap-l2-aed",""
"","CompositionRelationship","","","cap-l1-mrl","cap-l2-prp",""
"","CompositionRelationship","","","cap-l1-mrl","cap-l2-mrd",""
"","CompositionRelationship","","","cap-l1-mrl","cap-l2-mre",""
"","CompositionRelationship","","","cap-l1-mcp","cap-l2-dip",""
"","CompositionRelationship","","","cap-l1-mcp","cap-l2-drs",""
"","CompositionRelationship","","","cap-l1-mcp","cap-l2-nca",""
"","CompositionRelationship","","","cap-l1-mcp","cap-l2-dcr",""
"","CompositionRelationship","","","cap-l1-mcp","cap-l2-rpd",""
"","CompositionRelationship","","","cap-l1-mcp","cap-l2-mcb",""
"","CompositionRelationship","","","cap-l1-mcp","cap-l2-scp",""
"","CompositionRelationship","","","cap-l1-mcp","cap-l2-mip",""
"","CompositionRelationship","","","cap-l1-mcp","cap-l2-mtt",""
"","CompositionRelationship","","","cap-l1-mue","cap-l2-eua",""
