"ID","Key","Value"
"vs_00","Level","0"
"vs_00","Value Proposition","Provide reliable bulk transmission of electricity and market access to enable service delivery to end-customers."
"vs_00","Value Stream Pattern","MTS"
"vs_01","Level","1"
"vs_01","Sequence","1"
"vs_02","Level","1"
"vs_02","Sequence","2"
"vs_03","Level","1"
"vs_03","Sequence","3"
"vs_04","Level","1"
"vs_04","Sequence","4"
"vs_05","Level","1"
"vs_05","Sequence","5"
"vs_10","Level","0"
"vs_10","Value Proposition","Provide a reliable and stable grid connection to enable the sale and transport of generated electricity to the market."
"vs_10","Value Stream Pattern","ETO"
"vs_11","Level","1"
"vs_11","Sequence","1"
"vs_12","Level","1"
"vs_12","Sequence","2"
"vs_13","Level","1"
"vs_13","Sequence","3"
"vs_14","Level","1"
"vs_14","Sequence","4"
"vs_15","Level","1"
"vs_15","Sequence","5"
"vs_20","Level","0"
"vs_20","Value Proposition","Deliver a secure, high-quality, and uninterrupted supply of electricity to power critical operations."
"vs_20","Value Stream Pattern","ATO"
"vs_21","Level","1"
"vs_21","Sequence","1"
"vs_22","Level","1"
"vs_22","Sequence","2"
"vs_23","Level","1"
"vs_23","Sequence","3"
"vs_24","Level","1"
"vs_24","Sequence","4"
"vs_25","Level","1"
"vs_25","Sequence","5"
"cap_00","Level","0"
"cap_01","Level","1"
"cap_02","Level","1"
"cap_03","Level","1"
"cap_04","Level","1"
"cap_10","Level","0"
"cap_11","Level","1"
"cap_12","Level","1"
"cap_13","Level","1"
"cap_14","Level","1"
"cap_15","Level","1"
"cap_20","Level","0"
"cap_21","Level","1"
"cap_22","Level","1"
"cap_23","Level","1"
"cap_30","Level","0"
"cap_31","Level","1"
"cap_32","Level","1"
"cap_33","Level","1"
"cap_34","Level","1"
"bo_00","Level","0"
"bo_01","Level","1"
"bo_02","Level","2"
"bo_03","Level","2"
"bo_04","Level","2"
"bo_05","Level","2"
"bo_10","Level","0"
"bo_11","Level","1"
"bo_12","Level","1"
"bo_13","Level","1"
"bo_14","Level","1"
"bo_20","Level","0"
"bo_21","Level","1"
"bo_22","Level","1"
"bo_23","Level","1"
"bo_24","Level","1"
"bo_25","Level","1"
