"ID","Type","Name","Documentation","Source","Target","Specialization"
"","CompositionRelationship","","","vs_00","vs_01",""
"","CompositionRelationship","","","vs_00","vs_02",""
"","CompositionRelationship","","","vs_00","vs_03",""
"","CompositionRelationship","","","vs_00","vs_04",""
"","CompositionRelationship","","","vs_00","vs_05",""
"","CompositionRelationship","","","vs_10","vs_11",""
"","CompositionRelationship","","","vs_10","vs_12",""
"","CompositionRelationship","","","vs_10","vs_13",""
"","CompositionRelationship","","","vs_10","vs_14",""
"","CompositionRelationship","","","vs_10","vs_15",""
"","CompositionRelationship","","","vs_20","vs_21",""
"","CompositionRelationship","","","vs_20","vs_22",""
"","CompositionRelationship","","","vs_20","vs_23",""
"","CompositionRelationship","","","vs_20","vs_24",""
"","CompositionRelationship","","","vs_20","vs_25",""
"","CompositionRelationship","","","cap_00","cap_01",""
"","CompositionRelationship","","","cap_00","cap_02",""
"","CompositionRelationship","","","cap_00","cap_03",""
"","CompositionRelationship","","","cap_00","cap_04",""
"","CompositionRelationship","","","cap_10","cap_11",""
"","CompositionRelationship","","","cap_10","cap_12",""
"","CompositionRelationship","","","cap_10","cap_13",""
"","CompositionRelationship","","","cap_10","cap_14",""
"","CompositionRelationship","","","cap_10","cap_15",""
"","CompositionRelationship","","","cap_20","cap_21",""
"","CompositionRelationship","","","cap_20","cap_22",""
"","CompositionRelationship","","","cap_20","cap_23",""
"","CompositionRelationship","","","cap_30","cap_31",""
"","CompositionRelationship","","","cap_30","cap_32",""
"","CompositionRelationship","","","cap_30","cap_33",""
"","CompositionRelationship","","","cap_30","cap_34",""
"","CompositionRelationship","","","bo_00","bo_01",""
"","CompositionRelationship","","","bo_01","bo_02",""
"","CompositionRelationship","","","bo_01","bo_03",""
"","CompositionRelationship","","","bo_01","bo_04",""
"","CompositionRelationship","","","bo_01","bo_05",""
"","CompositionRelationship","","","bo_10","bo_11",""
"","CompositionRelationship","","","bo_10","bo_12",""
"","CompositionRelationship","","","bo_10","bo_13",""
"","CompositionRelationship","","","bo_10","bo_14",""
"","CompositionRelationship","","","bo_20","bo_21",""
"","CompositionRelationship","","","bo_20","bo_22",""
"","CompositionRelationship","","","bo_20","bo_23",""
"","CompositionRelationship","","","bo_20","bo_24",""
"","CompositionRelationship","","","bo_20","bo_25",""
"","ServingRelationship","","","cap_01","vs_01",""
"","ServingRelationship","","","cap_02","vs_02",""
"","ServingRelationship","","","cap_03","vs_02",""
"","ServingRelationship","","","cap_04","vs_03",""
"","ServingRelationship","","","cap_23","vs_03",""
"","ServingRelationship","","","cap_23","vs_04",""
"","ServingRelationship","","","cap_22","vs_05",""
"","ServingRelationship","","","cap_23","vs_05",""
"","ServingRelationship","","","cap_31","vs_11",""
"","ServingRelationship","","","cap_02","vs_12",""
"","ServingRelationship","","","cap_31","vs_13",""
"","ServingRelationship","","","cap_32","vs_13",""
"","ServingRelationship","","","cap_23","vs_14",""
"","ServingRelationship","","","cap_31","vs_15",""
"","ServingRelationship","","","cap_11","vs_21",""
"","ServingRelationship","","","cap_12","vs_22",""
"","ServingRelationship","","","cap_13","vs_22",""
"","ServingRelationship","","","cap_13","vs_23",""
"","ServingRelationship","","","cap_14","vs_24",""
"","ServingRelationship","","","cap_15","vs_24",""
"","ServingRelationship","","","cap_34","vs_25",""
"","AssociationRelationship","","","cap_01","bo_13",""
"","AssociationRelationship","","","cap_02","bo_11",""
"","AssociationRelationship","","","cap_03","bo_24",""
"","AssociationRelationship","","","cap_04","bo_01",""
"","AssociationRelationship","","","cap_11","bo_12",""
"","AssociationRelationship","","","cap_12","bo_12",""
"","AssociationRelationship","","","cap_13","bo_12",""
"","AssociationRelationship","","","cap_14","bo_22",""
"","AssociationRelationship","","","cap_15","bo_11",""
"","AssociationRelationship","","","cap_21","bo_14",""
"","AssociationRelationship","","","cap_22","bo_23",""
"","AssociationRelationship","","","cap_23","bo_01",""
"","AssociationRelationship","","","cap_23","bo_23",""
"","AssociationRelationship","","","cap_31","bo_21",""
"","AssociationRelationship","","","cap_32","bo_21",""
"","AssociationRelationship","","","cap_33","bo_24",""
"","AssociationRelationship","","","cap_34","bo_25",""
