"ID","Type","Name","Documentation","Source","Target","Specialization"
"","CompositionRelationship","","","VS_L0_DMG","VS_L1_DMG_PD",""
"","CompositionRelationship","","","VS_L0_DMG","VS_L1_DMG_B",""
"","CompositionRelationship","","","VS_L0_DMG","VS_L1_DMG_M",""
"","CompositionRelationship","","","VS_L1_DMG_PD","VS_L2_DMG_1",""
"","CompositionRelationship","","","VS_L1_DMG_PD","VS_L2_DMG_2",""
"","CompositionRelationship","","","VS_L1_DMG_B","VS_L2_DMG_3",""
"","CompositionRelationship","","","VS_L1_DMG_M","VS_L2_DMG_4",""
"","CompositionRelationship","","","VS_L0_DE","VS_L1_DE_OP",""
"","CompositionRelationship","","","VS_L0_DE","VS_L1_DE_RS",""
"","CompositionRelationship","","","VS_L1_DE_OP","VS_L2_DE_1",""
"","CompositionRelationship","","","VS_L1_DE_OP","VS_L2_DE_2",""
"","CompositionRelationship","","","VS_L1_DE_OP","VS_L2_DE_3",""
"","CompositionRelationship","","","VS_L1_DE_RS","VS_L2_DE_4",""
"","CompositionRelationship","","","VS_L0_CNS","VS_L1_CNS_PS",""
"","CompositionRelationship","","","VS_L0_CNS","VS_L1_CNS_IE",""
"","CompositionRelationship","","","VS_L1_CNS_PS","VS_L2_CNS_1",""
"","CompositionRelationship","","","VS_L1_CNS_PS","VS_L2_CNS_2",""
"","CompositionRelationship","","","VS_L1_CNS_IE","VS_L2_CNS_3",""
"","CompositionRelationship","","","VS_L1_CNS_IE","VS_L2_CNS_4",""
"","CompositionRelationship","","","CAP_L0_GAM","CAP_L1_SAP",""
"","CompositionRelationship","","","CAP_L0_GAM","CAP_L1_ND",""
"","CompositionRelationship","","","CAP_L0_GAM","CAP_L1_AC",""
"","CompositionRelationship","","","CAP_L0_GAM","CAP_L1_AOM",""
"","CompositionRelationship","","","CAP_L1_SAP","CAP_L2_AHRA",""
"","CompositionRelationship","","","CAP_L1_SAP","CAP_L2_ICP",""
"","CompositionRelationship","","","CAP_L1_ND","CAP_L2_NTP",""
"","CompositionRelationship","","","CAP_L1_ND","CAP_L2_BIDE",""
"","CompositionRelationship","","","CAP_L1_AC","CAP_L2_BCPM",""
"","CompositionRelationship","","","CAP_L1_AOM","CAP_L2_PCBM",""
"","CompositionRelationship","","","CAP_L1_AOM","CAP_L2_RIT",""
"","CompositionRelationship","","","CAP_L1_AOM","CAP_L2_VM",""
"","CompositionRelationship","","","CAP_L0_RTGC","CAP_L1_LGF",""
"","CompositionRelationship","","","CAP_L0_RTGC","CAP_L1_SMC",""
"","CompositionRelationship","","","CAP_L0_RTGC","CAP_L1_SBO",""
"","CompositionRelationship","","","CAP_L0_RTGC","CAP_L1_IRM",""
"","CompositionRelationship","","","CAP_L1_LGF","CAP_L2_LGF_DF",""
"","CompositionRelationship","","","CAP_L1_LGF","CAP_L2_LGF_GF",""
"","CompositionRelationship","","","CAP_L1_SMC","CAP_L2_SCSO",""
"","CompositionRelationship","","","CAP_L1_SMC","CAP_L2_EDO",""
"","CompositionRelationship","","","CAP_L1_SMC","CAP_L2_ODL",""
"","CompositionRelationship","","","CAP_L1_SBO","CAP_L2_FVR",""
"","CompositionRelationship","","","CAP_L1_SBO","CAP_L2_ASD",""
"","CompositionRelationship","","","CAP_L1_SBO","CAP_L2_CM",""
"","CompositionRelationship","","","CAP_L1_IRM","CAP_L2_FSR",""
"","CompositionRelationship","","","CAP_L1_IRM","CAP_L2_FCDC",""
"","CompositionRelationship","","","CAP_L1_IRM","CAP_L2_COC",""
"","CompositionRelationship","","","CAP_L0_GSP","CAP_L1_CCM",""
"","CompositionRelationship","","","CAP_L0_GSP","CAP_L1_CI",""
"","CompositionRelationship","","","CAP_L0_GSP","CAP_L1_MB",""
"","CompositionRelationship","","","CAP_L1_CCM","CAP_L2_IRP",""
"","CompositionRelationship","","","CAP_L1_CI","CAP_L2_CDE",""
"","CompositionRelationship","","","CAP_L1_CI","CAP_L2_CCE",""
"","CompositionRelationship","","","CAP_L1_MB","CAP_L2_MDC",""
"","CompositionRelationship","","","CAP_L1_MB","CAP_L2_UDP",""
"","CompositionRelationship","","","CAP_L1_MB","CAP_L2_BI",""
"","CompositionRelationship","","","CAP_L0_EMO","CAP_L1_TRM",""
"","CompositionRelationship","","","CAP_L0_EMO","CAP_L1_MSR",""
"","CompositionRelationship","","","CAP_L1_TRM","CAP_L2_TRM_AR",""
