"ID","Key","Value"
"VS_L0_DMG","Level","0"
"VS_L0_DMG","Value Proposition","N/A (Internal Asset Creation)"
"VS_L0_DMG","Value Stream Pattern","MTS"
"VS_L1_DMG_PD","Level","1"
"VS_L1_DMG_PD","Sequence","1"
"VS_L2_DMG_1","Level","2"
"VS_L2_DMG_1","Sequence","1"
"VS_L2_DMG_2","Level","2"
"VS_L2_DMG_2","Sequence","2"
"VS_L1_DMG_B","Level","1"
"VS_L1_DMG_B","Sequence","2"
"VS_L2_DMG_3","Level","2"
"VS_L2_DMG_3","Sequence","1"
"VS_L1_DMG_M","Level","1"
"VS_L1_DMG_M","Sequence","3"
"VS_L2_DMG_4","Level","2"
"VS_L2_DMG_4","Sequence","1"
"VS_L0_DE","Level","0"
"VS_L0_DE","Value Proposition","Reliable and safe delivery of electricity to power homes and businesses. & Secure and efficient transmission of bulk energy from generation sources to load centers."
"VS_L0_DE","Value Stream Pattern","ATO"
"VS_L1_DE_OP","Level","1"
"VS_L1_DE_OP","Sequence","1"
"VS_L2_DE_1","Level","2"
"VS_L2_DE_1","Sequence","1"
"VS_L2_DE_2","Level","2"
"VS_L2_DE_2","Sequence","2"
"VS_L2_DE_3","Level","2"
"VS_L2_DE_3","Sequence","3"
"VS_L1_DE_RS","Level","1"
"VS_L1_DE_RS","Sequence","2"
"VS_L2_DE_4","Level","2"
"VS_L2_DE_4","Sequence","1"
"VS_L0_CNS","Level","0"
"VS_L0_CNS","Value Proposition","A standardized and safe process to interconnect distributed energy resources with the grid."
"VS_L0_CNS","Value Stream Pattern","ETO"
"VS_L1_CNS_PS","Level","1"
"VS_L1_CNS_PS","Sequence","1"
"VS_L2_CNS_1","Level","2"
"VS_L2_CNS_1","Sequence","1"
"VS_L2_CNS_2","Level","2"
"VS_L2_CNS_2","Sequence","2"
"VS_L1_CNS_IE","Level","1"
"VS_L1_CNS_IE","Sequence","2"
"VS_L2_CNS_3","Level","2"
"VS_L2_CNS_3","Sequence","1"
"VS_L2_CNS_4","Level","2"
"VS_L2_CNS_4","Sequence","2"
"CAP_L0_GAM","Level","0"
"CAP_L1_SAP","Level","1"
"CAP_L2_AHRA","Level","2"
"CAP_L2_ICP","Level","2"
"CAP_L1_ND","Level","1"
"CAP_L2_NTP","Level","2"
"CAP_L2_BIDE","Level","2"
"CAP_L1_AC","Level","1"
"CAP_L2_BCPM","Level","2"
"CAP_L1_AOM","Level","1"
"CAP_L2_PCBM","Level","2"
"CAP_L2_RIT","Level","2"
"CAP_L2_VM","Level","2"
"CAP_L0_RTGC","Level","0"
"CAP_L1_LGF","Level","1"
"CAP_L2_LGF_DF","Level","2"
"CAP_L2_LGF_GF","Level","2"
"CAP_L1_SMC","Level","1"
"CAP_L2_SCSO","Level","2"
"CAP_L2_EDO","Level","2"
"CAP_L2_ODL","Level","2"
"CAP_L1_SBO","Level","1"
"CAP_L2_FVR","Level","2"
"CAP_L2_ASD","Level","2"
"CAP_L2_CM","Level","2"
"CAP_L1_IRM","Level","1"
"CAP_L2_FSR","Level","2"
"CAP_L2_FCDC","Level","2"
"CAP_L2_COC","Level","2"
"CAP_L0_GSP","Level","0"
"CAP_L1_CCM","Level","1"
"CAP_L2_IRP","Level","2"
"CAP_L1_CI","Level","1"
"CAP_L2_CDE","Level","2"
"CAP_L2_CCE","Level","2"
"CAP_L1_MB","Level","1"
"CAP_L2_MDC","Level","2"
"CAP_L2_UDP","Level","2"
"CAP_L2_BI","Level","2"
"CAP_L0_EMO","Level","0"
"CAP_L1_TRM","Level","1"
"CAP_L2_TRM_AR","Level","2"
"CAP_L2_TRM_S","Level","2"
"CAP_L1_MSR","Level","1"
"CAP_L2_MSR_C","Level","2"
"CAP_L2_MSR_D","Level","2"
"BO_L0_GA","Level","0"
"BO_L1_TDI","Level","1"
"BO_L2_PL","Level","2"
"BO_L2_SS","Level","2"
"BO_L2_TR","Level","2"
"BO_L1_AHR","Level","1"
"BO_L2_AHR_CD","Level","2"
"BO_L2_AHR_RA","Level","2"
"BO_L1_MWO","Level","1"
"BO_L2_MWO_D","Level","2"
"BO_L2_MWO_S","Level","2"
"BO_L0_GS","Level","0"
"BO_L1_RTGD","Level","1"
"BO_L2_SCADAM","Level","2"
"BO_L2_PMUD","Level","2"
"BO_L1_GTM","Level","1"
"BO_L2_GTM_N","Level","2"
"BO_L2_GTM_C","Level","2"
"BO_L1_OR","Level","1"
"BO_L2_OR_L","Level","2"
"BO_L2_OR_R","Level","2"
"BO_L0_GSA","Level","0"
"BO_L1_IA","Level","1"
"BO_L2_IA_T","Level","2"
"BO_L2_IA_TS","Level","2"
"BO_L1_TSR","Level","1"
"BO_L2_TSR_R","Level","2"
"BO_L2_TSR_S","Level","2"
"BO_L1_CMD","Level","1"
"BO_L2_CMD_I","Level","2"
"BO_L2_CMD_P","Level","2"
