"ID","Type","Name","Documentation"
"VS_L0_DMG","ValueStream","Develop & Maintain Grid",""
"VS_L1_DMG_1","ValueStream","Plan Network Expansion",""
"VS_L1_DMG_2","ValueStream","Design & Engineer Bulk Assets",""
"VS_L1_DMG_3","ValueStream","Construct & Commission Bulk Assets",""
"VS_L1_DMG_4","ValueStream","Inspect & Maintain Assets",""
"VS_L0_DE","ValueStream","Deliver Energy",""
"VS_L1_DE_1","ValueStream","Forecast Load & Generation",""
"VS_L1_DE_2","ValueStream","Balance Supply & Demand",""
"VS_L1_DE_3","ValueStream","Monitor & Control Grid",""
"VS_L1_DE_4","ValueStream","Restore Service",""
"VS_L0_CNS","ValueStream","Connect New Service",""
"VS_L1_CNS_1","ValueStream","Process Interconnection Request",""
"VS_L1_CNS_2","ValueStream","Conduct Impact Study",""
"VS_L1_CNS_3","ValueStream","Design & Approve Connection",""
"VS_L1_CNS_4","ValueStream","Construct & Energize Connection",""
"CAP_L0_GAM","Capability","Grid Asset Management",""
"CAP_L1_SAP","Capability","Strategic Asset Planning",""
"CAP_L2_AHRA","Capability","Asset Health & Risk Assessment",""
"CAP_L2_ICP","Capability","Investment & Capital Planning",""
"CAP_L1_ND","Capability","Network Development",""
"CAP_L2_NTP","Capability","Network Topology Planning",""
"CAP_L2_BIDE","Capability","Bulk Infrastructure Design & Engineering",""
"CAP_L2_BCPM","Capability","Bulk Construction Project Management",""
"CAP_L1_AOM","Capability","Asset Operations & Maintenance",""
"CAP_L2_PCBM","Capability","Predictive & Condition-Based Maintenance",""
"CAP_L2_RIT","Capability","Routine Inspection & Testing",""
"CAP_L2_VM","Capability","Vegetation Management",""
"CAP_L0_RTGC","Capability","Real-Time Grid Control",""
"CAP_L1_SMC","Capability","System Monitoring & Control",""
"CAP_L2_SCSO","Capability","SCADA System Operation",""
"CAP_L2_EDO","Capability","EMS/DMS Operation",""
"CAP_L2_ODL","Capability","Outage Detection & Localization",""
"CAP_L1_SBO","Capability","System Balancing & Optimization",""
"CAP_L2_FVR","Capability","Frequency & Voltage Regulation",""
"CAP_L2_ASD","Capability","Ancillary Service Dispatch",""
"CAP_L2_CM","Capability","Congestion Management",""
"CAP_L1_IRM","Capability","Incident & Restoration Management",""
"CAP_L2_FSR","Capability","Fault Isolation & Service Restoration",""
"CAP_L2_FCDC","Capability","Field Crew Dispatch & Coordination",""
"CAP_L2_COC","Capability","Customer Outage Communication",""
"CAP_L0_GSP","Capability","Grid Service Provisioning",""
"CAP_L1_CCM","Capability","Customer Connection Management",""
"CAP_L2_IRP","Capability","Interconnection Request Processing",""
"CAP_L2_CDE","Capability","Connection Design & Engineering",""
"CAP_L2_CCE","Capability","Connection Construction & Energization",""
"CAP_L1_MB","Capability","Metering & Billing",""
"CAP_L2_MDC","Capability","Metering & Data Collection",""
"CAP_L2_UDP","Capability","Usage Data Processing",""
"CAP_L2_BI","Capability","Billing & Invoicing",""
"CAP_L0_EMO","Capability","Energy Market Operations",""
"CAP_L1_TRM","Capability","Transmission Rights Management",""
"CAP_L1_MSR","Capability","Market Settlement & Reconciliation",""
"BO_L0_GA","BusinessObject","Grid Asset",""
"BO_L1_TDI","BusinessObject","Transmission & Distribution Infrastructure",""
"BO_L2_PL","BusinessObject","Power Line",""
"BO_L2_SS","BusinessObject","Substation",""
"BO_L2_TR","BusinessObject","Transformer",""
"BO_L1_AHR","BusinessObject","Asset Health Record",""
"BO_L1_MWO","BusinessObject","Maintenance Work Order",""
"BO_L0_GS","BusinessObject","Grid State",""
"BO_L1_RTGD","BusinessObject","Real-Time Grid Data",""
"BO_L2_SCADAM","BusinessObject","SCADA Measurement",""
"BO_L2_PMUD","BusinessObject","Phasor Measurement Unit Data",""
"BO_L1_GTM","BusinessObject","Grid Topology Model",""
"BO_L1_OR","BusinessObject","Outage Record",""
"BO_L0_GSA","BusinessObject","Grid Service Agreement",""
"BO_L1_IA","BusinessObject","Interconnection Agreement",""
"BO_L1_TSR","BusinessObject","Transmission Service Request",""
"BO_L1_CMD","BusinessObject","Customer Metering Data",""
