"ID","Type","Name","Documentation","Source","Target","Specialization"
"","CompositionRelationship","","","VS_L0_DMG","VS_L1_DMG_1",""
"","CompositionRelationship","","","VS_L0_DMG","VS_L1_DMG_2",""
"","CompositionRelationship","","","VS_L0_DMG","VS_L1_DMG_3",""
"","CompositionRelationship","","","VS_L0_DMG","VS_L1_DMG_4",""
"","CompositionRelationship","","","VS_L0_DE","VS_L1_DE_1",""
"","CompositionRelationship","","","VS_L0_DE","VS_L1_DE_2",""
"","CompositionRelationship","","","VS_L0_DE","VS_L1_DE_3",""
"","CompositionRelationship","","","VS_L0_DE","VS_L1_DE_4",""
"","CompositionRelationship","","","VS_L0_CNS","VS_L1_CNS_1",""
"","CompositionRelationship","","","VS_L0_CNS","VS_L1_CNS_2",""
"","CompositionRelationship","","","VS_L0_CNS","VS_L1_CNS_3",""
"","CompositionRelationship","","","VS_L0_CNS","VS_L1_CNS_4",""
"","CompositionRelationship","","","CAP_L0_GAM","CAP_L1_SAP",""
"","CompositionRelationship","","","CAP_L0_GAM","CAP_L1_ND",""
"","CompositionRelationship","","","CAP_L0_GAM","CAP_L1_AOM",""
"","CompositionRelationship","","","CAP_L1_SAP","CAP_L2_AHRA",""
"","CompositionRelationship","","","CAP_L1_SAP","CAP_L2_ICP",""
"","CompositionRelationship","","","CAP_L1_ND","CAP_L2_NTP",""
"","CompositionRelationship","","","CAP_L1_ND","CAP_L2_BIDE",""
"","CompositionRelationship","","","CAP_L1_ND","CAP_L2_BCPM",""
"","CompositionRelationship","","","CAP_L1_AOM","CAP_L2_PCBM",""
"","CompositionRelationship","","","CAP_L1_AOM","CAP_L2_RIT",""
"","CompositionRelationship","","","CAP_L1_AOM","CAP_L2_VM",""
"","CompositionRelationship","","","CAP_L0_RTGC","CAP_L1_SMC",""
"","CompositionRelationship","","","CAP_L0_RTGC","CAP_L1_SBO",""
"","CompositionRelationship","","","CAP_L0_RTGC","CAP_L1_IRM",""
"","CompositionRelationship","","","CAP_L1_SMC","CAP_L2_SCSO",""
"","CompositionRelationship","","","CAP_L1_SMC","CAP_L2_EDO",""
"","CompositionRelationship","","","CAP_L1_SMC","CAP_L2_ODL",""
"","CompositionRelationship","","","CAP_L1_SBO","CAP_L2_FVR",""
"","CompositionRelationship","","","CAP_L1_SBO","CAP_L2_ASD",""
"","CompositionRelationship","","","CAP_L1_SBO","CAP_L2_CM",""
"","CompositionRelationship","","","CAP_L1_IRM","CAP_L2_FSR",""
"","CompositionRelationship","","","CAP_L1_IRM","CAP_L2_FCDC",""
"","CompositionRelationship","","","CAP_L1_IRM","CAP_L2_COC",""
"","CompositionRelationship","","","CAP_L0_GSP","CAP_L1_CCM",""
"","CompositionRelationship","","","CAP_L0_GSP","CAP_L1_MB",""
"","CompositionRelationship","","","CAP_L1_CCM","CAP_L2_IRP",""
"","CompositionRelationship","","","CAP_L1_CCM","CAP_L2_CDE",""
"","CompositionRelationship","","","CAP_L1_CCM","CAP_L2_CCE",""
"","CompositionRelationship","","","CAP_L1_MB","CAP_L2_MDC",""
"","CompositionRelationship","","","CAP_L1_MB","CAP_L2_UDP",""
"","CompositionRelationship","","","CAP_L1_MB","CAP_L2_BI",""
"","CompositionRelationship","","","CAP_L0_EMO","CAP_L1_TRM",""
"","CompositionRelationship","","","CAP_L0_EMO","CAP_L1_MSR",""
"","CompositionRelationship","","","BO_L0_GA","BO_L1_TDI",""
"","CompositionRelationship","","","BO_L0_GA","BO_L1_AHR",""
"","CompositionRelationship","","","BO_L0_GA","BO_L1_MWO",""
"","CompositionRelationship","","","BO_L1_TDI","BO_L2_PL",""
"","CompositionRelationship","","","BO_L1_TDI","BO_L2_SS",""
"","CompositionRelationship","","","BO_L1_TDI","BO_L2_TR",""
"","CompositionRelationship","","","BO_L0_GS","BO_L1_RTGD",""
"","CompositionRelationship","","","BO_L0_GS","BO_L1_GTM",""
"","CompositionRelationship","","","BO_L0_GS","BO_L1_OR",""
"","CompositionRelationship","","","BO_L1_RTGD","BO_L2_SCADAM",""
"","CompositionRelationship","","","BO_L1_RTGD","BO_L2_PMUD",""
"","CompositionRelationship","","","BO_L0_GSA","BO_L1_IA",""
"","CompositionRelationship","","","BO_L0_GSA","BO_L1_TSR",""
"","CompositionRelationship","","","BO_L0_GSA","BO_L1_CMD",""
"","ServingRelationship","","","CAP_L1_SAP","VS_L1_DMG_1",""
"","ServingRelationship","","","CAP_L2_BIDE","VS_L1_DMG_2",""
"","ServingRelationship","","","CAP_L2_BCPM","VS_L1_DMG_3",""
"","ServingRelationship","","","CAP_L1_AOM","VS_L1_DMG_4",""
"","ServingRelationship","","","CAP_L1_SBO","VS_L1_DE_1",""
"","ServingRelationship","","","CAP_L1_SBO","VS_L1_DE_2",""
"","ServingRelationship","","","CAP_L1_SMC","VS_L1_DE_3",""
"","ServingRelationship","","","CAP_L1_IRM","VS_L1_DE_4",""
"","ServingRelationship","","","CAP_L2_IRP","VS_L1_CNS_1",""
"","ServingRelationship","","","CAP_L2_NTP","VS_L1_CNS_2",""
"","ServingRelationship","","","CAP_L2_CDE","VS_L1_CNS_3",""
"","ServingRelationship","","","CAP_L2_CCE","VS_L1_CNS_4",""
"","ServingRelationship","","","CAP_L0_EMO","CAP_L0_RTGC",""
"","ServingRelationship","","","CAP_L1_MB","CAP_L0_GSP",""
"","ServingRelationship","","","CAP_L1_IRM","CAP_L1_AOM",""
"","AssociationRelationship","","","CAP_L0_GAM","BO_L0_GA",""
"","AssociationRelationship","","","CAP_L1_SAP","BO_L1_AHR",""
"","AssociationRelationship","","","CAP_L1_ND","BO_L1_TDI",""
"","AssociationRelationship","","","CAP_L1_AOM","BO_L1_MWO",""
"","AssociationRelationship","","","CAP_L0_RTGC","BO_L0_GS",""
"","AssociationRelationship","","","CAP_L1_SMC","BO_L1_RTGD",""
"","AssociationRelationship","","","CAP_L1_SBO","BO_L1_GTM",""
"","AssociationRelationship","","","CAP_L1_IRM","BO_L1_OR",""
"","AssociationRelationship","","","CAP_L0_GSP","BO_L0_GSA",""
