"ID","Key","Value"
"C0","Level","0"
"C1","Level","1"
"C2","Level","1"
"C3","Level","1"
"C4","Level","1"
"C5","Level","1"
"C101","Level","2"
"C102","Level","2"
"C103","Level","2"
"C104","Level","2"
"C105","Level","2"
"C106","Level","2"
"C107","Level","2"
"C108","Level","2"
"C201","Level","2"
"C202","Level","2"
"C203","Level","2"
"C204","Level","2"
"C205","Level","2"
"C206","Level","2"
"C207","Level","2"
"C208","Level","2"
"C209","Level","2"
"C210","Level","2"
"C301","Level","2"
"C302","Level","2"
"C303","Level","2"
"C304","Level","2"
"C305","Level","2"
"C306","Level","2"
"C307","Level","2"
"C308","Level","2"
"C309","Level","2"
"C310","Level","2"
"C311","Level","2"
"C312","Level","2"
"C401","Level","2"
"C402","Level","2"
"C403","Level","2"
"C404","Level","2"
"C405","Level","2"
"C406","Level","2"
"C407","Level","2"
"C408","Level","2"
"C409","Level","2"
"C410","Level","2"
"C411","Level","2"
"C412","Level","2"
"C413","Level","2"
"C414","Level","2"
"C501","Level","2"
"C502","Level","2"
"C503","Level","2"
"C504","Level","2"
"C505","Level","2"
"C506","Level","2"
"C507","Level","2"
"C508","Level","2"
"C509","Level","2"
"C510","Level","2"
"C511","Level","2"
"V0_1","Level","0"
"V0_1","Value Proposition","N/A"
"V0_1","Value Stream Pattern","MTS"
"V0_2","Level","0"
"V0_2","Value Proposition","Provide a reliable and stable offtake for generated power by connecting it to a wide network of consumers."
"V0_2","Value Stream Pattern","ETO"
"V0_3","Level","0"
"V0_3","Value Proposition","Deliver a continuous, reliable, and safe supply of electricity at a regulated quality and price."
"V0_3","Value Stream Pattern","ATO"
"V1_1_1","Level","1"
"V1_1_2","Level","1"
"V1_1_3","Level","1"
"V1_1_4","Level","1"
"V1_2_1","Level","1"
"V1_2_2","Level","1"
"V1_2_3","Level","1"
"V1_2_4","Level","1"
"V1_2_5","Level","1"
"V1_3_1","Level","1"
"V1_3_2","Level","1"
"V1_3_3","Level","1"
"V2_1_1_1","Level","2"
"V2_1_1_2","Level","2"
"V2_1_1_3","Level","2"
"V2_1_2_1","Level","2"
"V2_1_3_1","Level","2"
"V2_1_3_2","Level","2"
"V2_1_3_3","Level","2"
"V2_1_4_1","Level","2"
"V2_2_1_1","Level","2"
"V2_2_1_2","Level","2"
"V2_2_1_3","Level","2"
"V2_2_2_1","Level","2"
"V2_2_3_1","Level","2"
"V2_2_3_2","Level","2"
"V2_2_4_1","Level","2"
"V2_2_5_1","Level","2"
"V2_3_1_1","Level","2"
"V2_3_1_2","Level","2"
"V2_3_1_3","Level","2"
"V2_3_1_4","Level","2"
"V2_3_1_5","Level","2"
"V2_3_2_1","Level","2"
"V2_3_3_1","Level","2"
"V2_3_3_2","Level","2"
"V2_3_3_3","Level","2"
"B0","Level","0"
"B1","Level","1"
"B2","Level","1"
"B3","Level","1"
"B4","Level","1"
"B5","Level","1"
"B101","Level","2"
"B102","Level","2"
"B103","Level","2"
"B104","Level","2"
"B105","Level","2"
"B106","Level","2"
"B107","Level","2"
"B201","Level","2"
"B202","Level","2"
"B203","Level","2"
"B204","Level","2"
"B205","Level","2"
"B206","Level","2"
"B207","Level","2"
"B208","Level","2"
"B209","Level","2"
"B210","Level","2"
"B301","Level","2"
"B302","Level","2"
"B303","Level","2"
"B304","Level","2"
"B305","Level","2"
"B306","Level","2"
"B307","Level","2"
"B308","Level","2"
"B309","Level","2"
"B310","Level","2"
"B311","Level","2"
"B312","Level","2"
"B401","Level","2"
"B402","Level","2"
"B403","Level","2"
"B404","Level","2"
"B405","Level","2"
"B406","Level","2"
"B407","Level","2"
"B408","Level","2"
"B409","Level","2"
"B410","Level","2"
"B411","Level","2"
"B501","Level","2"
"B502","Level","2"
"B503","Level","2"
"B504","Level","2"
"B505","Level","2"
"B506","Level","2"
"B507","Level","2"
"B508","Level","2"
"B509","Level","2"
"B510","Level","2"
