"ID","Key","Value"
"C1","Level","0"
"C1_1","Level","1"
"C1_2","Level","1"
"C1_2_1","Level","2"
"C1_2_2","Level","2"
"C1_3","Level","1"
"C1_3_1","Level","2"
"C1_3_2","Level","2"
"C1_3_3","Level","2"
"C1_3_4","Level","2"
"C1_4","Level","1"
"C1_4_1","Level","2"
"C1_4_2","Level","2"
"C1_4_3","Level","2"
"C2","Level","0"
"C2_1","Level","1"
"C2_2","Level","1"
"C2_3","Level","1"
"C3","Level","0"
"C3_1","Level","1"
"C3_1_1","Level","2"
"C3_1_2","Level","2"
"C3_2","Level","1"
"C3_2_1","Level","2"
"C3_2_2","Level","2"
"C3_3","Level","1"
"C3_3_1","Level","2"
"C3_3_2","Level","2"
"C3_3_3","Level","2"
"C3_4","Level","1"
"C3_4_1","Level","2"
"C3_4_2","Level","2"
"C3_5","Level","1"
"BO1","Level","0"
"BO1_1","Level","1"
"BO1_2","Level","1"
"BO1_3","Level","1"
"BO1_4","Level","1"
"BO1_5","Level","1"
"BO1_6","Level","1"
"BO1_6_1","Level","2"
"BO1_6_2","Level","2"
"BO2","Level","0"
"BO2_1","Level","1"
"BO2_2","Level","1"
"BO2_3","Level","1"
"BO2_4","Level","1"
"BO3","Level","0"
"BO3_1","Level","1"
"BO3_2","Level","1"
"BO3_3","Level","1"
"BO4","Level","0"
"BO4_1","Level","1"
"BO4_2","Level","1"
"BO4_3","Level","1"
"VS1","Level","0"
"VS1","Value Proposition","Receive a world-class education and a prestigious credential, enabling advanced career opportunities and personal growth, often through direct involvement in cutting-edge research."
"VS1","Value Stream Pattern","ATO"
"VS1_1","Level","1"
"VS1_1","Sequence","1"
"VS1_2","Level","1"
"VS1_2","Sequence","2"
"VS1_3","Level","1"
"VS1_3","Sequence","3"
"VS1_4","Level","1"
"VS1_4","Sequence","4"
"VS2","Level","0"
"VS2","Value Proposition","Conduct high-impact, rigorous research to solve specific problems or advance fundamental knowledge, delivering novel findings and intellectual property in return for funding."
"VS2","Value Stream Pattern","ETO"
"VS2_1","Level","1"
"VS2_1","Sequence","1"
"VS2_2","Level","1"
"VS2_2","Sequence","2"
"VS2_3","Level","1"
"VS2_3","Sequence","3"
"VS2_4","Level","1"
"VS2_4","Sequence","4"
"VS3","Level","0"
"VS3","Value Proposition","Generate and disseminate new knowledge and commercially viable intellectual property that drives innovation, economic growth, and societal progress."
"VS3","Value Stream Pattern","ATO"
"VS3_1","Level","1"
"VS3_1","Sequence","1"
"VS3_2","Level","1"
"VS3_2","Sequence","2"
"VS3_3","Level","1"
"VS3_3","Sequence","3"
"VS3_4","Level","1"
"VS3_4","Sequence","4"
"VS4","Level","0"
"VS4","Value Proposition","The end-to-end process of designing, approving, and establishing academic programs and their constituent courses to be offered to students."
"VS4","Value Stream Pattern","MTS"
"VS4_1","Level","1"
"VS4_1","Sequence","1"
"VS4_2","Level","1"
"VS4_2","Sequence","2"
"VS4_3","Level","1"
"VS4_3","Sequence","3"
"VS4_4","Level","1"
"VS4_4","Sequence","4"
"VS5","Level","0"
"VS5","Value Proposition","The end-to-end process of building and maintaining the institutional infrastructure, expertise, and environment required to conduct world-class research."
"VS5","Value Stream Pattern","MTS"
"VS5_1","Level","1"
"VS5_1","Sequence","1"
"VS5_2","Level","1"
"VS5_2","Sequence","2"
"VS5_3","Level","1"
"VS5_3","Sequence","3"
"VS5_4","Level","1"
"VS5_4","Sequence","4"
