"ID","Type","Name","Documentation","Source","Target","Specialization"
"","CompositionRelationship","","","C1","C1_1",""
"","CompositionRelationship","","","C1","C1_2",""
"","CompositionRelationship","","","C1","C1_3",""
"","CompositionRelationship","","","C1","C1_4",""
"","CompositionRelationship","","","C1_2","C1_2_1",""
"","CompositionRelationship","","","C1_2","C1_2_2",""
"","CompositionRelationship","","","C1_3","C1_3_1",""
"","CompositionRelationship","","","C1_3","C1_3_2",""
"","CompositionRelationship","","","C1_3","C1_3_3",""
"","CompositionRelationship","","","C1_3","C1_3_4",""
"","CompositionRelationship","","","C1_4","C1_4_1",""
"","CompositionRelationship","","","C1_4","C1_4_2",""
"","CompositionRelationship","","","C1_4","C1_4_3",""
"","CompositionRelationship","","","C2","C2_1",""
"","CompositionRelationship","","","C2","C2_2",""
"","CompositionRelationship","","","C2","C2_3",""
"","CompositionRelationship","","","C3","C3_1",""
"","CompositionRelationship","","","C3","C3_2",""
"","CompositionRelationship","","","C3","C3_3",""
"","CompositionRelationship","","","C3","C3_4",""
"","CompositionRelationship","","","C3","C3_5",""
"","CompositionRelationship","","","C3_1","C3_1_1",""
"","CompositionRelationship","","","C3_1","C3_1_2",""
"","CompositionRelationship","","","C3_2","C3_2_1",""
"","CompositionRelationship","","","C3_2","C3_2_2",""
"","CompositionRelationship","","","C3_3","C3_3_1",""
"","CompositionRelationship","","","C3_3","C3_3_2",""
"","CompositionRelationship","","","C3_3","C3_3_3",""
"","CompositionRelationship","","","C3_4","C3_4_1",""
"","CompositionRelationship","","","C3_4","C3_4_2",""
"","CompositionRelationship","","","BO1","BO1_1",""
"","CompositionRelationship","","","BO1","BO1_2",""
"","CompositionRelationship","","","BO1","BO1_3",""
"","CompositionRelationship","","","BO1","BO1_4",""
"","CompositionRelationship","","","BO1","BO1_5",""
"","CompositionRelationship","","","BO1","BO1_6",""
"","CompositionRelationship","","","BO1_6","BO1_6_1",""
"","CompositionRelationship","","","BO1_6","BO1_6_2",""
"","CompositionRelationship","","","BO2","BO2_1",""
"","CompositionRelationship","","","BO2","BO2_2",""
"","CompositionRelationship","","","BO2","BO2_3",""
"","CompositionRelationship","","","BO2","BO2_4",""
"","CompositionRelationship","","","BO3","BO3_1",""
"","CompositionRelationship","","","BO3","BO3_2",""
"","CompositionRelationship","","","BO3","BO3_3",""
"","CompositionRelationship","","","BO4","BO4_1",""
"","CompositionRelationship","","","BO4","BO4_2",""
"","CompositionRelationship","","","BO4","BO4_3",""
"","CompositionRelationship","","","VS1","VS1_1",""
"","CompositionRelationship","","","VS1","VS1_2",""
"","CompositionRelationship","","","VS1","VS1_3",""
"","CompositionRelationship","","","VS1","VS1_4",""
"","CompositionRelationship","","","VS2","VS2_1",""
"","CompositionRelationship","","","VS2","VS2_2",""
"","CompositionRelationship","","","VS2","VS2_3",""
"","CompositionRelationship","","","VS2","VS2_4",""
"","CompositionRelationship","","","VS3","VS3_1",""
"","CompositionRelationship","","","VS3","VS3_2",""
"","CompositionRelationship","","","VS3","VS3_3",""
"","CompositionRelationship","","","VS3","VS3_4",""
"","CompositionRelationship","","","VS4","VS4_1",""
"","CompositionRelationship","","","VS4","VS4_2",""
"","CompositionRelationship","","","VS4","VS4_3",""
"","CompositionRelationship","","","VS4","VS4_4",""
"","CompositionRelationship","","","VS5","VS5_1",""
"","CompositionRelationship","","","VS5","VS5_2",""
"","CompositionRelationship","","","VS5","VS5_3",""
"","CompositionRelationship","","","VS5","VS5_4",""
"","ServingRelationship","","","C3_2","VS1_1",""
"","ServingRelationship","","","C3_4","VS1_2",""
"","ServingRelationship","","","C3_3","VS1_3",""
"","ServingRelationship","","","C3_5","VS1_4",""
"","ServingRelationship","","","C1_2_1","VS2_1",""
"","ServingRelationship","","","C1_2_2","VS2_2",""
"","ServingRelationship","","","C1_3_1","VS2_2",""
"","ServingRelationship","","","C1_3","VS2_3",""
"","ServingRelationship","","","C2_1","VS2_4",""
"","ServingRelationship","","","C1_2_2","VS2_4",""
"","ServingRelationship","","","C1_4_1","VS3_1",""
"","ServingRelationship","","","C1_4_2","VS3_2",""
"","ServingRelationship","","","C1_4_2","VS3_3",""
"","ServingRelationship","","","C1_4","VS3_4",""
"","ServingRelationship","","","C3_1","VS4_1",""
"","ServingRelationship","","","C3_1","VS4_2",""
"","ServingRelationship","","","C3_1","VS4_3",""
"","ServingRelationship","","","C3_1","VS4_4",""
"","ServingRelationship","","","C1_1","VS5_1",""
"","ServingRelationship","","","C1_1","VS5_2",""
"","ServingRelationship","","","C1_3_2","VS5_3",""
"","ServingRelationship","","","C1_1","VS5_4",""
"","AssociationRelationship","","","C1_1","BO1_3",""
"","AssociationRelationship","","","C1_2_1","BO1_1",""
"","AssociationRelationship","","","C1_2_2","BO1_2",""
"","AssociationRelationship","","","C1_3_1","BO1_3",""
"","AssociationRelationship","","","C1_3_3","BO1_4",""
"","AssociationRelationship","","","C1_3","BO1_5",""
"","AssociationRelationship","","","C1_4_1","BO1_6",""
"","AssociationRelationship","","","C1_4_2","BO1_6_1",""
"","AssociationRelationship","","","C1_4_2","BO1_6_2",""
"","AssociationRelationship","","","C2_1","BO2_1",""
"","AssociationRelationship","","","C2_2","BO2_2",""
"","AssociationRelationship","","","C3_1","BO2_4",""
"","AssociationRelationship","","","C3_1","BO2_3",""
"","AssociationRelationship","","","C3_2","BO4_1",""
"","AssociationRelationship","","","C3_2","BO3_1",""
"","AssociationRelationship","","","C3_3","BO4_2",""
"","AssociationRelationship","","","C3_4","BO3_1",""
"","AssociationRelationship","","","C3_5","BO4_3",""
