"ID","Type","Name","Documentation","Source","Target","Specialization"
"","CompositionRelationship","","","VS_1","VS_1_1",""
"","CompositionRelationship","","","VS_1","VS_1_2",""
"","CompositionRelationship","","","VS_1","VS_1_3",""
"","CompositionRelationship","","","VS_1_1","VS_1_1_1",""
"","CompositionRelationship","","","VS_1_1","VS_1_1_2",""
"","CompositionRelationship","","","VS_1_2","VS_1_2_1",""
"","CompositionRelationship","","","VS_1_2","VS_1_2_2",""
"","CompositionRelationship","","","VS_1_3","VS_1_3_1",""
"","CompositionRelationship","","","VS_1_3","VS_1_3_2",""
"","CompositionRelationship","","","VS_2","VS_2_1",""
"","CompositionRelationship","","","VS_2","VS_2_2",""
"","CompositionRelationship","","","VS_2","VS_2_3",""
"","CompositionRelationship","","","VS_2_1","VS_2_1_1",""
"","CompositionRelationship","","","VS_2_1","VS_2_1_2",""
"","CompositionRelationship","","","VS_2_2","VS_2_2_1",""
"","CompositionRelationship","","","VS_2_2","VS_2_2_2",""
"","CompositionRelationship","","","VS_2_3","VS_2_3_1",""
"","CompositionRelationship","","","VS_2_3","VS_2_3_2",""
"","CompositionRelationship","","","VS_3","VS_3_1",""
"","CompositionRelationship","","","VS_3","VS_3_2",""
"","CompositionRelationship","","","VS_3","VS_3_3",""
"","CompositionRelationship","","","VS_3_1","VS_3_1_1",""
"","CompositionRelationship","","","VS_3_1","VS_3_1_2",""
"","CompositionRelationship","","","VS_3_2","VS_3_2_1",""
"","CompositionRelationship","","","VS_3_2","VS_3_2_2",""
"","CompositionRelationship","","","VS_3_3","VS_3_3_1",""
"","CompositionRelationship","","","VS_3_3","VS_3_3_2",""
"","CompositionRelationship","","","VS_4","VS_4_1",""
"","CompositionRelationship","","","VS_4","VS_4_2",""
"","CompositionRelationship","","","VS_4","VS_4_3",""
"","CompositionRelationship","","","VS_4","VS_4_4",""
"","CompositionRelationship","","","VS_4_1","VS_4_1_1",""
"","CompositionRelationship","","","VS_4_1","VS_4_1_2",""
"","CompositionRelationship","","","VS_4_2","VS_4_2_1",""
"","CompositionRelationship","","","VS_4_2","VS_4_2_2",""
"","CompositionRelationship","","","VS_4_3","VS_4_3_1",""
"","CompositionRelationship","","","VS_4_3","VS_4_3_2",""
"","CompositionRelationship","","","VS_4_4","VS_4_4_1",""
"","CompositionRelationship","","","VS_4_4","VS_4_4_2",""
"","CompositionRelationship","","","CAP_1","CAP_1_1",""
