"ID","Type","Name","Documentation"
"VS_1","ValueStream","Develop Educational Offerings","The end-to-end process of designing, creating, and launching new academic programs and courses."
"VS_1_1","ValueStream","Define Program","The stage of identifying market needs and defining the structure and goals of a new academic program."
"VS_1_1_1","ValueStream","Analyze Market Needs","The process of researching industry trends, employer demands, and prospective student interest to justify a new program."
"VS_1_1_2","ValueStream","Design Program Structure","The process of defining the program's curriculum framework, learning outcomes, and degree requirements."
"VS_1_2","ValueStream","Develop Curriculum","The stage of creating the detailed content and assessment methods for all courses within a new program."
"VS_1_2_1","ValueStream","Create Course Content","The process of developing syllabi, lecture materials, assignments, and other learning resources for a specific course."
"VS_1_2_2","ValueStream","Define Assessment Methods","The process of establishing the tools and criteria for evaluating student learning, such as exams, projects, and grading rubrics."
"VS_1_3","ValueStream","Launch Offering","The stage of marketing the new program and opening the enrollment process to prospective students."
"VS_1_3_1","ValueStream","Market Program","The process of promoting the new offering to target audiences through various channels to attract applicants."
"VS_1_3_2","ValueStream","Open Enrollment","The process of formally opening the application and registration systems for the new program."
"VS_2","ValueStream","Build Research Capabilities","The end-to-end process of establishing the foundational resources, expertise, and infrastructure required to conduct research."
"VS_2_1","ValueStream","Establish Research Area","The stage of identifying a strategic research focus and securing initial support."
"VS_2_1_1","ValueStream","Identify Niche","The process of determining a specific, viable area of research focus based on institutional strengths and funding opportunities."
"VS_2_1_2","ValueStream","Secure Seed Funding","The process of acquiring initial internal or external funds to launch a new research initiative."
"VS_2_2","ValueStream","Provision Resources","The stage of acquiring the necessary physical and technological infrastructure for research activities."
"VS_2_2_1","ValueStream","Acquire Facilities","The process of securing and preparing laboratory, office, or other physical spaces for research."
"VS_2_2_2","ValueStream","Procure Equipment","The process of purchasing, installing, and commissioning specialized scientific or technical equipment."
"VS_2_3","ValueStream","Cultivate Expertise","The stage of assembling and developing a team of skilled researchers."
"VS_2_3_1","ValueStream","Recruit Researchers","The process of hiring faculty, postdoctoral fellows, and technical staff with the required expertise."
"VS_2_3_2","ValueStream","Foster Collaboration","The process of establishing partnerships and networks to enhance research capacity and impact."
"VS_3","ValueStream","Deliver Education","The end-to-end process of admitting, instructing, and graduating students in an established academic program."
"VS_3_1","ValueStream","Admit & Onboard Student","The stage of processing applications, admitting qualified candidates, and integrating them into the university."
"VS_3_1_1","ValueStream","Process Applications","The process of receiving, reviewing, and making decisions on student applications for admission."
"VS_3_1_2","ValueStream","Orient New Students","The process of providing newly admitted students with essential information and resources to begin their studies."
"VS_3_2","ValueStream","Educate & Assess Student","The stage of delivering instruction and evaluating student performance against learning objectives."
"VS_3_2_1","ValueStream","Deliver Instruction","The process of conducting lectures, labs, seminars, and other educational activities."
"VS_3_2_2","ValueStream","Evaluate Performance","The process of grading assignments, administering exams, and providing feedback to measure student learning."
"VS_3_3","ValueStream","Graduate Student","The stage of verifying academic completion and formally conferring degrees or credentials."
"VS_3_3_1","ValueStream","Verify Completion","The process of auditing a student's academic record to confirm all degree requirements have been met."
"VS_3_3_2","ValueStream","Confer Degree","The process of formally awarding the diploma and recognizing the student's academic achievement."
"VS_4","ValueStream","Conduct Funded Research","The end-to-end process of securing external funding, executing a research project, and disseminating the results."
"VS_4_1","ValueStream","Acquire Funding","The stage of preparing and submitting proposals to funding agencies to secure financial support for research."
"VS_4_1_1","ValueStream","Write Grant Proposal","The process of drafting a detailed research plan, budget, and justification for a funding application."
"VS_4_1_2","ValueStream","Submit & Negotiate","The process of formally submitting the proposal and negotiating the terms of the award with the funding body."
"VS_4_2","ValueStream","Conduct Investigation","The stage of executing the planned research activities, including data collection and analysis."
"VS_4_2_1","ValueStream","Collect Data","The process of performing experiments, running simulations, or gathering information according to the research design."
"VS_4_2_2","ValueStream","Analyze Results","The process of interpreting collected data to draw conclusions and generate new insights."
"VS_4_3","ValueStream","Publish Findings","The stage of preparing and disseminating research results to the academic community and the public."
"VS_4_3_1","ValueStream","Draft Manuscript","The process of writing a scholarly article, report, or book detailing the research methodology, findings, and conclusions."
"VS_4_3_2","ValueStream","Peer Review & Publish","The process of submitting the manuscript to a journal or publisher and undergoing review by other experts in the field."
"VS_4_4","ValueStream","Commercialize IP","The stage of protecting and licensing intellectual property generated from research."
"VS_4_4_1","ValueStream","File Patent","The process of preparing and submitting an application to a patent office to protect an invention."
"VS_4_4_2","ValueStream","License Technology","The process of negotiating agreements with external parties to use the university's patented technology."
"CAP_1","Capability","Research Management","The ability to oversee the entire research lifecycle, from proposal development to publication and commercialization."
"CAP_1_1","Capability","Research Proposal Development","The ability to create and submit compelling grant proposals to secure external research funding."
"CAP_1_1_1","Capability","Grant Writing","The ability to articulate research plans, justifications, and impacts in a formal proposal document."
"CAP_1_1_2","Capability","Budget Formulation","The ability to develop accurate and compliant budgets for proposed research projects."
"CAP_1_2","Capability","Scientific Investigation","The ability to design and execute rigorous research projects to generate new knowledge."
"CAP_1_2_1","Capability","Data Collection & Experimentation","The ability to execute research protocols, conduct experiments, and gather data in a systematic manner."
"CAP_1_2_2","Capability","Data Analysis & Interpretation","The ability to apply statistical and analytical methods to interpret research data and derive meaningful conclusions."
"CAP_1_3","Capability","Research Data Curation","The ability to manage, preserve, and provide access to research datasets in a secure and organized manner."
"CAP_1_3_1","Capability","Data Storage & Archiving","The ability to securely store and archive research data for long-term preservation and reuse."
"CAP_1_3_2","Capability","Data Sharing & Publication","The ability to prepare and share datasets in accordance with funder mandates and academic best practices."
"CAP_1_4","Capability","IP Management","The ability to identify, protect, and manage intellectual property arising from research activities."
"CAP_1_4_1","Capability","Patent Filing & Prosecution","The ability to prepare and file patent applications and manage the process with patent offices."
"CAP_1_4_2","Capability","IP Portfolio Analysis","The ability to assess the commercial potential and strategic value of intellectual property assets."
"CAP_1_5","Capability","Scholarly Publishing","The ability to prepare, review, and disseminate research findings through academic journals and other scholarly channels."
"CAP_1_5_1","Capability","Manuscript Preparation","The ability to write and format research findings for publication in a scholarly format."
"CAP_1_5_2","Capability","Peer Review Coordination","The ability to manage the submission and peer review process for scholarly publications."
"CAP_1_6","Capability","Technology Licensing","The ability to negotiate and manage legal agreements for the commercial use of university-owned intellectual property."
"CAP_1_6_1","Capability","Contract Negotiation","The ability to negotiate terms and execute legal agreements for technology transfer and licensing."
"CAP_1_6_2","Capability","Royalty Management","The ability to track and manage income generated from intellectual property licenses."
"CAP_2","Capability","Education Management","The ability to design, develop, deliver, and oversee all aspects of the university's academic programs."
"CAP_2_1","Capability","Program Portfolio Management","The ability to strategically manage the university's portfolio of academic programs, including creation, review, and retirement."
"CAP_2_1_1","Capability","Market Needs Analysis","The ability to research and analyze market and industry trends to inform new program development."
"CAP_2_1_2","Capability","Program Structure Design","The ability to define the curriculum framework, learning outcomes, and requirements for an academic program."
"CAP_2_2","Capability","Curriculum Design & Development","The ability to create and refine the content, structure, and learning outcomes of academic courses and programs."
"CAP_2_2_1","Capability","Course Content Creation","The ability to develop syllabi, learning materials, and activities for a specific course."
"CAP_2_2_2","Capability","Assessment Method Design","The ability to create valid and reliable methods for evaluating student learning, such as exams and rubrics."
"CAP_2_3","Capability","Instructional Delivery & Assessment","The ability to effectively teach students and evaluate their learning through various pedagogical and assessment methods."
"CAP_2_3_1","Capability","Instruction Delivery","The ability to conduct lectures, labs, and other learning activities in various modalities."
"CAP_2_3_2","Capability","Performance Evaluation","The ability to grade student work, provide feedback, and assess achievement of learning outcomes."
"CAP_2_4","Capability","Credential Awarding","The ability to verify student completion of academic requirements and formally confer degrees and other credentials."
"CAP_2_4_1","Capability","Academic Requirement Auditing","The ability to audit student records to ensure all graduation requirements have been met."
"CAP_2_4_2","Capability","Degree Conferral","The ability to formally issue diplomas and other credentials to graduating students."
"CAP_2_5","Capability","Student Lifecycle Management","The ability to manage the entire student journey, from recruitment and admission to advising and progression tracking."
"CAP_2_5_1","Capability","Student Recruitment & Selection","The ability to attract, evaluate, and admit qualified students to the university."
"CAP_2_5_2","Capability","Student Advising & Support","The ability to provide academic guidance and support services to ensure student success and well-being."
"CAP_2_5_3","Capability","Student Progression Tracking","The ability to monitor and manage students' academic progress towards the completion of their degree requirements."
"CAP_3","Capability","Faculty Management","The ability to manage the lifecycle and professional activities of faculty members."
"CAP_3_1","Capability","Faculty Expertise Management","The ability to manage information about faculty qualifications, research interests, and professional activities."
"CAP_3_1_1","Capability","Faculty Recruitment","The ability to attract, hire, and onboard qualified faculty members."
"CAP_3_1_2","Capability","Professional Development","The ability to support the ongoing growth and development of faculty in teaching and research."
"CAP_4","Capability","Academic Resource Management","The ability to manage the physical and digital resources that support teaching and research activities."
"CAP_4_1","Capability","Resource Planning & Allocation","The ability to strategically plan and allocate budget and space for academic and research purposes."
"CAP_4_1_1","Capability","Capital Budgeting","The ability to plan and manage the budget for long-term investments in facilities and equipment."
"CAP_4_1_2","Capability","Space Utilization Analysis","The ability to analyze and optimize the use of physical space across the institution."
"CAP_4_2","Capability","Research Facility Management","The ability to operate and maintain specialized laboratories and research centers."
"CAP_4_2_1","Capability","Lab Space Allocation","The ability to assign and manage the use of laboratory and research spaces."
