"ID","Type","Name","Documentation"
"VS_1","ValueStream","Develop Educational Offerings",""
"VS_1_1","ValueStream","Define Program",""
"VS_1_2","ValueStream","Develop Curriculum",""
"VS_1_3","ValueStream","Launch Offering",""
"VS_2","ValueStream","Build Research Capabilities",""
"VS_2_1","ValueStream","Establish Research Area",""
"VS_2_2","ValueStream","Provision Resources",""
"VS_2_3","ValueStream","Cultivate Expertise",""
"VS_3","ValueStream","Deliver Education",""
"VS_3_1","ValueStream","Admit & Onboard Student",""
"VS_3_2","ValueStream","Educate & Assess Student",""
"VS_3_3","ValueStream","Graduate Student",""
"VS_4","ValueStream","Conduct Funded Research",""
"VS_4_1","ValueStream","Acquire Funding",""
"VS_4_2","ValueStream","Conduct Investigation",""
"VS_4_3","ValueStream","Publish Findings",""
"CAP_0","Capability","University Core Operations",""
"CAP_1","Capability","Research Management",""
"CAP_1_1","Capability","Research Proposal Development",""
"CAP_1_2","Capability","Scientific Investigation",""
"CAP_1_3","Capability","Research Data Curation",""
"CAP_1_4","Capability","IP Commercialization",""
"CAP_1_5","Capability","Scholarly Publishing",""
"CAP_2","Capability","Education Management",""
"CAP_2_1","Capability","Program Portfolio Management",""
"CAP_2_2","Capability","Curriculum Design & Development",""
"CAP_2_3","Capability","Instructional Delivery & Assessment",""
"CAP_2_4","Capability","Credential Awarding",""
"CAP_3","Capability","Student Management",""
"CAP_3_1","Capability","Student Recruitment & Selection",""
"CAP_3_2","Capability","Student Advising & Support",""
"CAP_3_3","Capability","Student Progression Tracking",""
"CAP_4","Capability","Academic Resource Management",""
"CAP_4_1","Capability","Faculty Expertise Management",""
"CAP_4_2","Capability","Research Facility Management",""
"CAP_4_3","Capability","Library & Archive Management",""
"BO_0","BusinessObject","University Core Asset",""
"BO_1","BusinessObject","Research Asset",""
"BO_1_1","BusinessObject","Grant Proposal",""
"BO_1_2","BusinessObject","Research Dataset",""
"BO_1_3","BusinessObject","Scholarly Work",""
"BO_1_4","BusinessObject","Patent Application",""
"BO_2","BusinessObject","Education Asset",""
"BO_2_1","BusinessObject","Program Catalog",""
"BO_2_2","BusinessObject","Course Syllabus",""
"BO_2_3","BusinessObject","Student Transcript",""
"BO_2_4","BusinessObject","Diploma",""
"BO_3","BusinessObject","Stakeholder Asset",""
"BO_3_1","BusinessObject","Student Application",""
"BO_3_2","BusinessObject","Enrolled Student Record",""
"BO_3_3","BusinessObject","Faculty Profile",""
"BO_4","BusinessObject","Infrastructure Asset",""
"BO_4_1","BusinessObject","Research Facility Record",""
"BO_4_2","BusinessObject","Teaching Space Record",""
"BO_4_3","BusinessObject","Library Collection Record",""
