"ID","Type","Name","Documentation","Source","Target","Specialization"
"","CompositionRelationship","","","VS_1","VS_1_1",""
"","CompositionRelationship","","","VS_1","VS_1_2",""
"","CompositionRelationship","","","VS_1","VS_1_3",""
"","CompositionRelationship","","","VS_2","VS_2_1",""
"","CompositionRelationship","","","VS_2","VS_2_2",""
"","CompositionRelationship","","","VS_2","VS_2_3",""
"","CompositionRelationship","","","VS_3","VS_3_1",""
"","CompositionRelationship","","","VS_3","VS_3_2",""
"","CompositionRelationship","","","VS_3","VS_3_3",""
"","CompositionRelationship","","","VS_4","VS_4_1",""
"","CompositionRelationship","","","VS_4","VS_4_2",""
"","CompositionRelationship","","","VS_4","VS_4_3",""
"","CompositionRelationship","","","CAP_0","CAP_1",""
"","CompositionRelationship","","","CAP_0","CAP_2",""
"","CompositionRelationship","","","CAP_0","CAP_3",""
"","CompositionRelationship","","","CAP_0","CAP_4",""
"","CompositionRelationship","","","CAP_1","CAP_1_1",""
"","CompositionRelationship","","","CAP_1","CAP_1_2",""
"","CompositionRelationship","","","CAP_1","CAP_1_3",""
"","CompositionRelationship","","","CAP_1","CAP_1_4",""
"","CompositionRelationship","","","CAP_1","CAP_1_5",""
"","CompositionRelationship","","","CAP_2","CAP_2_1",""
"","CompositionRelationship","","","CAP_2","CAP_2_2",""
"","CompositionRelationship","","","CAP_2","CAP_2_3",""
"","CompositionRelationship","","","CAP_2","CAP_2_4",""
"","CompositionRelationship","","","CAP_3","CAP_3_1",""
"","CompositionRelationship","","","CAP_3","CAP_3_2",""
"","CompositionRelationship","","","CAP_3","CAP_3_3",""
"","CompositionRelationship","","","CAP_4","CAP_4_1",""
"","CompositionRelationship","","","CAP_4","CAP_4_2",""
"","CompositionRelationship","","","CAP_4","CAP_4_3",""
"","CompositionRelationship","","","BO_0","BO_1",""
"","CompositionRelationship","","","BO_0","BO_2",""
"","CompositionRelationship","","","BO_0","BO_3",""
"","CompositionRelationship","","","BO_0","BO_4",""
"","CompositionRelationship","","","BO_1","BO_1_1",""
"","CompositionRelationship","","","BO_1","BO_1_2",""
"","CompositionRelationship","","","BO_1","BO_1_3",""
"","CompositionRelationship","","","BO_1","BO_1_4",""
"","CompositionRelationship","","","BO_2","BO_2_1",""
"","CompositionRelationship","","","BO_2","BO_2_2",""
"","CompositionRelationship","","","BO_2","BO_2_3",""
"","CompositionRelationship","","","BO_2","BO_2_4",""
"","CompositionRelationship","","","BO_3","BO_3_1",""
"","CompositionRelationship","","","BO_3","BO_3_2",""
"","CompositionRelationship","","","BO_3","BO_3_3",""
"","CompositionRelationship","","","BO_4","BO_4_1",""
"","CompositionRelationship","","","BO_4","BO_4_2",""
"","CompositionRelationship","","","BO_4","BO_4_3",""
"","ServingRelationship","","","CAP_2_1","VS_1_1",""
"","ServingRelationship","","","CAP_2_2","VS_1_2",""
"","ServingRelationship","","","CAP_2_1","VS_1_3",""
"","ServingRelationship","","","CAP_4_1","VS_2_1",""
"","ServingRelationship","","","CAP_4_2","VS_2_2",""
"","ServingRelationship","","","CAP_4_1","VS_2_3",""
"","ServingRelationship","","","CAP_3_1","VS_3_1",""
"","ServingRelationship","","","CAP_2_3","VS_3_2",""
"","ServingRelationship","","","CAP_2_4","VS_3_3",""
"","ServingRelationship","","","CAP_1_1","VS_4_1",""
"","ServingRelationship","","","CAP_1_2","VS_4_2",""
"","ServingRelationship","","","CAP_1_5","VS_4_3",""
"","ServingRelationship","","","CAP_2","VS_1",""
"","ServingRelationship","","","CAP_4","VS_2",""
"","ServingRelationship","","","CAP_3","VS_3",""
"","ServingRelationship","","","CAP_2","VS_3",""
"","ServingRelationship","","","CAP_1","VS_4",""
"","ServingRelationship","","","CAP_3_2","CAP_2_3",""
"","ServingRelationship","","","CAP_3_3","CAP_2_3",""
"","ServingRelationship","","","CAP_1_3","CAP_1_2",""
"","ServingRelationship","","","CAP_4_1","CAP_1_2",""
"","ServingRelationship","","","CAP_4_2","CAP_1_2",""
"","ServingRelationship","","","CAP_4_3","CAP_1_2",""
"","ServingRelationship","","","CAP_4_3","CAP_2_3",""
"","ServingRelationship","","","CAP_3","CAP_2",""
"","ServingRelationship","","","CAP_1","CAP_1",""
"","ServingRelationship","","","CAP_4","CAP_1",""
"","ServingRelationship","","","CAP_4","CAP_2",""
"","AssociationRelationship","","","CAP_1_1","BO_1_1",""
"","AssociationRelationship","","","CAP_1_2","BO_1_2",""
"","AssociationRelationship","","","CAP_1_4","BO_1_4",""
"","AssociationRelationship","","","CAP_1_5","BO_1_3",""
"","AssociationRelationship","","","CAP_2_1","BO_2_1",""
"","AssociationRelationship","","","CAP_2_2","BO_2_2",""
"","AssociationRelationship","","","CAP_2_3","BO_2_3",""
"","AssociationRelationship","","","CAP_2_4","BO_2_4",""
"","AssociationRelationship","","","CAP_3_1","BO_3_1",""
"","AssociationRelationship","","","CAP_3_3","BO_3_2",""
"","AssociationRelationship","","","CAP_4_1","BO_3_3",""
"","AssociationRelationship","","","CAP_4_2","BO_4_1",""
"","AssociationRelationship","","","CAP_1","BO_1",""
"","AssociationRelationship","","","CAP_2","BO_2",""
"","AssociationRelationship","","","CAP_3","BO_3",""
"","AssociationRelationship","","","CAP_4","BO_4",""
"","AssociationRelationship","","","CAP_4","BO_3",""
