"ID","Type","Name","Documentation","Source","Target","Specialization"
"","CompositionRelationship","","","C0","C1",""
"","CompositionRelationship","","","C0","C2",""
"","CompositionRelationship","","","C0","C3",""
"","CompositionRelationship","","","C0","C4",""
"","CompositionRelationship","","","C0","C5",""
"","CompositionRelationship","","","C0","C6",""
"","CompositionRelationship","","","C0","C7",""
"","CompositionRelationship","","","C1","C101",""
"","CompositionRelationship","","","C1","C102",""
"","CompositionRelationship","","","C1","C103",""
"","CompositionRelationship","","","C1","C104",""
"","CompositionRelationship","","","C1","C105",""
"","CompositionRelationship","","","C1","C106",""
"","CompositionRelationship","","","C1","C107",""
"","CompositionRelationship","","","C1","C108",""
"","CompositionRelationship","","","C2","C201",""
"","CompositionRelationship","","","C2","C202",""
"","CompositionRelationship","","","C2","C203",""
"","CompositionRelationship","","","C2","C204",""
"","CompositionRelationship","","","C2","C205",""
"","CompositionRelationship","","","C2","C206",""
"","CompositionRelationship","","","C3","C301",""
"","CompositionRelationship","","","C3","C302",""
"","CompositionRelationship","","","C3","C303",""
"","CompositionRelationship","","","C3","C304",""
"","CompositionRelationship","","","C3","C305",""
"","CompositionRelationship","","","C3","C306",""
"","CompositionRelationship","","","C3","C307",""
"","CompositionRelationship","","","C4","C401",""
"","CompositionRelationship","","","C4","C402",""
"","CompositionRelationship","","","C4","C403",""
"","CompositionRelationship","","","C4","C404",""
"","CompositionRelationship","","","C4","C405",""
"","CompositionRelationship","","","C4","C406",""
"","CompositionRelationship","","","C4","C407",""
"","CompositionRelationship","","","C4","C408",""
"","CompositionRelationship","","","C4","C409",""
"","CompositionRelationship","","","C4","C410",""
"","CompositionRelationship","","","C4","C411",""
"","CompositionRelationship","","","C5","C501",""
"","CompositionRelationship","","","C5","C502",""
"","CompositionRelationship","","","C5","C503",""
"","CompositionRelationship","","","C5","C504",""
"","CompositionRelationship","","","C6","C601",""
"","CompositionRelationship","","","C6","C602",""
"","CompositionRelationship","","","C6","C603",""
"","CompositionRelationship","","","C6","C604",""
"","CompositionRelationship","","","C6","C605",""
"","CompositionRelationship","","","C7","C701",""
"","CompositionRelationship","","","C7","C702",""
