"ID","Type","Name","Documentation"
"VS1","ValueStream","Develop Academic Programs and Curriculum",""
"VS1-1","ValueStream","Analyze Disciplinary and Market Needs",""
"VS1-2","ValueStream","Define Learning Outcomes",""
"VS1-3","ValueStream","Design Program Structure",""
"VS1-4","ValueStream","Develop Course Syllabi and Materials",""
"VS1-5","ValueStream","Align Accreditation and Governance",""
"VS1-6","ValueStream","Approve and Publish Program",""
"VS2","ValueStream","Educate and Credential Students",""
"VS2-1","ValueStream","Initiate Cohort & Orientation",""
"VS2-2","ValueStream","Deliver Courses and Labs",""
"VS2-3","ValueStream","Mentor and Advise Students",""
"VS2-4","ValueStream","Conduct Assessments",""
"VS2-5","ValueStream","Evaluate Academic Progress",""
"VS2-6","ValueStream","Award Degrees and Credentials",""
"VS3","ValueStream","Generate Foundational Knowledge",""
"VS3-1","ValueStream","Identify Knowledge Gaps",""
"VS3-2","ValueStream","Design Studies and Methods",""
"VS3-3","ValueStream","Conduct Experiments and Data Collection",""
"VS3-4","ValueStream","Analyze and Interpret Data",""
"VS3-5","ValueStream","Publish and Disseminate Findings",""
"VS3-6","ValueStream","Share Data and Materials",""
"VS4","ValueStream","Conduct Sponsored Research",""
"VS4-1","ValueStream","Identify Funding Opportunity and Form Team",""
"VS4-2","ValueStream","Develop and Submit Proposal",""
"VS4-3","ValueStream","Negotiate Award and Assurances",""
"VS4-4","ValueStream","Execute Sponsored Research",""
"VS4-5","ValueStream","Report Progress and Deliverables",""
"VS4-6","ValueStream","Closeout and Knowledge Dissemination",""
"VS5","ValueStream","Commercialize and Transfer Innovation",""
"VS5-1","ValueStream","Capture Invention Disclosures",""
"VS5-2","ValueStream","Evaluate IP and Market",""
"VS5-3","ValueStream","Protect IP",""
"VS5-4","ValueStream","Market to Partners",""
"VS5-5","ValueStream","Negotiate License or Form Venture",""
"VS5-6","ValueStream","Support Translation and Post-License Management",""
"C1","Capability","Research",""
"C2","Capability","Hypothesis Generation & Study Design",""
"C3","Capability","Experimentation & Data Collection",""
"C4","Capability","Data Management & Curation",""
"C5","Capability","Analysis & Interpretation",""
"C6","Capability","Research Project Oversight",""
"C7","Capability","Human Subjects Research Execution",""
"C8","Capability","Animal Research Execution",""
"C9","Capability","Fieldwork & Observational Studies",""
"C10","Capability","Computational Modeling & Simulation",""
"C11","Capability","Core Facility Utilization",""
"C12","Capability","Data Acquisition Pipelines",""
"C13","Capability","Data Cleaning & Quality Control",""
"C14","Capability","Metadata & Documentation",""
"C15","Capability","Repository Archiving",""
"C16","Capability","Statistical Analysis",""
"C17","Capability","Qualitative Analysis",""
"C18","Capability","Synthesis & Theory Building",""
"C19","Capability","Milestone Tracking",""
"C20","Capability","Risk & Safety Management",""
"C21","Capability","Research Integrity & Misconduct Handling",""
"C22","Capability","Sponsored Research Management",""
"C23","Capability","Funding Opportunity Scouting",""
"C24","Capability","Proposal Development & Submission",""
"C25","Capability","Budget Narrative Crafting",""
"C26","Capability","Compliance Pre-Review",""
"C27","Capability","Award Negotiation & Acceptance",""
"C28","Capability","Contracting & IP Terms Negotiation",""
"C29","Capability","Regulatory Assurances",""
"C30","Capability","Project Administration & Reporting",""
"C31","Capability","Deliverable Management",""
"C32","Capability","Sponsor Progress Reporting",""
"C33","Capability","Publication/Embargo Compliance",""
"C34","Capability","Academic Program Design",""
"C35","Capability","Program Portfolio Strategy",""
"C36","Capability","Curriculum Design",""
"C37","Capability","Learning Outcomes Definition",""
"C38","Capability","Course Syllabi Development",""
"C39","Capability","Accreditation Alignment",""
"C40","Capability","Assessment Framework Design",""
"C41","Capability","Teaching & Learning Delivery",""
"C42","Capability","Course Delivery",""
"C43","Capability","Lecture & Seminar Facilitation",""
"C44","Capability","Lab & Studio Instruction",""
"C45","Capability","Experiential Learning Coordination",""
"C46","Capability","Student Advising & Mentorship",""
"C47","Capability","Research Mentorship & Supervision",""
"C48","Capability","Learning Support & Tutoring",""
"C49","Capability","Student Assessment & Credentialing",""
"C50","Capability","Assessment Administration",""
"C51","Capability","Exams & Assignments Management",""
"C52","Capability","Thesis & Dissertation Examination",""
"C53","Capability","Academic Integrity Adjudication",""
"C54","Capability","Progression & Degree Audit",""
"C55","Capability","Credential Issuance",""
"C56","Capability","Intellectual Property & Commercialization",""
"C57","Capability","Invention Disclosure Management",""
"C58","Capability","IP Protection & Portfolio Management",""
"C59","Capability","Patent Prosecution Coordination",""
"C60","Capability","Copyright & Data Rights Management",""
"C61","Capability","Marketing & Partner Prospecting",""
"C62","Capability","License Negotiation & Management",""
"C63","Capability","Venture Creation & Incubation",""
"C64","Capability","Scholarly Publishing & Open Science",""
"C65","Capability","Manuscript Preparation & Submission",""
"C66","Capability","Peer Review Participation",""
"C67","Capability","Open Access Compliance",""
"C68","Capability","Research Data Sharing",""
"C69","Capability","Preprint & Repository Management",""
"C70","Capability","Research Ethics & Compliance",""
