"ID","Key","Value"
"VS1","Level","0"
"VS1","Value Proposition","Students receive research-informed curricula that encode current and emerging knowledge, creating clear pathways to mastery and future credentialing."
"VS1","Value Stream Pattern","MTS"
"VS1-1","Level","1"
"VS1-1","Sequence","1"
"VS1-2","Level","1"
"VS1-2","Sequence","2"
"VS1-3","Level","1"
"VS1-3","Sequence","3"
"VS1-4","Level","1"
"VS1-4","Sequence","4"
"VS1-5","Level","1"
"VS1-5","Sequence","5"
"VS1-6","Level","1"
"VS1-6","Sequence","6"
"VS2","Level","0"
"VS2","Value Proposition","Students achieve competencies through rigorous instruction and assessment and receive recognized degrees that enable careers and societal contribution."
"VS2","Value Stream Pattern","ATO"
"VS2-1","Level","1"
"VS2-1","Sequence","1"
"VS2-2","Level","1"
"VS2-2","Sequence","2"
"VS2-3","Level","1"
"VS2-3","Sequence","3"
"VS2-4","Level","1"
"VS2-4","Sequence","4"
"VS2-5","Level","1"
"VS2-5","Sequence","5"
"VS2-6","Level","1"
"VS2-6","Sequence","6"
"VS3","Level","0"
"VS3","Value Proposition","Society and the scholarly community gain new, openly disseminated knowledge, data, and methods that advance understanding and innovation."
"VS3","Value Stream Pattern","MTS"
"VS3-1","Level","1"
"VS3-1","Sequence","1"
"VS3-2","Level","1"
"VS3-2","Sequence","2"
"VS3-3","Level","1"
"VS3-3","Sequence","3"
"VS3-4","Level","1"
"VS3-4","Sequence","4"
"VS3-5","Level","1"
"VS3-5","Sequence","5"
"VS3-6","Level","1"
"VS3-6","Sequence","6"
"VS4","Level","0"
"VS4","Value Proposition","Sponsors receive rigorous, compliant research that delivers agreed deliverables and insights addressing mission-specific needs."
"VS4","Value Stream Pattern","ETO"
"VS4-1","Level","1"
"VS4-1","Sequence","1"
"VS4-2","Level","1"
"VS4-2","Sequence","2"
"VS4-3","Level","1"
"VS4-3","Sequence","3"
"VS4-4","Level","1"
"VS4-4","Sequence","4"
"VS4-5","Level","1"
"VS4-5","Sequence","5"
"VS4-6","Level","1"
"VS4-6","Sequence","6"
"VS5","Level","0"
"VS5","Value Proposition","Industry and society gain access to protected IP and expertise to translate discoveries into products, services, and measurable impact."
"VS5","Value Stream Pattern","ATO"
"VS5-1","Level","1"
"VS5-1","Sequence","1"
"VS5-2","Level","1"
"VS5-2","Sequence","2"
"VS5-3","Level","1"
"VS5-3","Sequence","3"
"VS5-4","Level","1"
"VS5-4","Sequence","4"
"VS5-5","Level","1"
"VS5-5","Sequence","5"
"VS5-6","Level","1"
"VS5-6","Sequence","6"
"C1","Level","0"
"C2","Level","1"
"C3","Level","1"
"C4","Level","1"
"C5","Level","1"
"C6","Level","1"
"C7","Level","2"
"C8","Level","2"
"C9","Level","2"
"C10","Level","2"
"C11","Level","2"
"C12","Level","2"
"C13","Level","2"
"C14","Level","2"
"C15","Level","2"
"C16","Level","2"
"C17","Level","2"
"C18","Level","2"
"C19","Level","2"
"C20","Level","2"
"C21","Level","2"
"C22","Level","0"
"C23","Level","1"
"C24","Level","1"
"C25","Level","2"
"C26","Level","2"
"C27","Level","1"
"C28","Level","2"
"C29","Level","2"
"C30","Level","1"
"C31","Level","2"
"C32","Level","2"
"C33","Level","2"
"C34","Level","0"
"C35","Level","1"
"C36","Level","1"
"C37","Level","2"
"C38","Level","2"
"C39","Level","1"
"C40","Level","1"
"C41","Level","0"
"C42","Level","1"
"C43","Level","2"
"C44","Level","2"
"C45","Level","2"
"C46","Level","1"
"C47","Level","1"
"C48","Level","1"
"C49","Level","0"
"C50","Level","1"
"C51","Level","2"
"C52","Level","2"
"C53","Level","2"
"C54","Level","1"
"C55","Level","1"
"C56","Level","0"
"C57","Level","1"
"C58","Level","1"
"C59","Level","2"
"C60","Level","2"
"C61","Level","1"
"C62","Level","1"
"C63","Level","1"
"C64","Level","0"
"C65","Level","1"
"C66","Level","1"
"C67","Level","1"
"C68","Level","1"
"C69","Level","1"
"C70","Level","0"
"C71","Level","1"
"C72","Level","1"
"C73","Level","1"
"C74","Level","1"
"C75","Level","1"
"C76","Level","1"
"C77","Level","0"
"C78","Level","1"
"C79","Level","1"
"C80","Level","1"
"C81","Level","1"
"C82","Level","0"
"C83","Level","1"
"C84","Level","1"
"C85","Level","1"
"C86","Level","1"
"BO1","Level","0"
"BO2","Level","1"
"BO3","Level","1"
"BO4","Level","1"
"BO5","Level","1"
"BO6","Level","1"
"BO7","Level","1"
"BO8","Level","1"
"BO9","Level","1"
"BO10","Level","1"
"BO11","Level","0"
"BO12","Level","1"
"BO13","Level","1"
"BO14","Level","1"
"BO15","Level","1"
"BO16","Level","2"
"BO17","Level","2"
"BO18","Level","1"
"BO19","Level","2"
"BO20","Level","2"
"BO21","Level","2"
"BO22","Level","1"
"BO23","Level","0"
"BO24","Level","1"
"BO25","Level","1"
"BO26","Level","1"
"BO27","Level","1"
"BO28","Level","0"
"BO29","Level","1"
"BO30","Level","1"
"BO31","Level","1"
"BO32","Level","1"
"BO33","Level","1"
"BO34","Level","2"
"BO35","Level","2"
"BO36","Level","2"
"BO37","Level","1"
"BO38","Level","1"
"BO39","Level","1"
"BO40","Level","0"
"BO41","Level","1"
"BO42","Level","1"
"BO43","Level","1"
"BO44","Level","0"
"BO45","Level","1"
"BO46","Level","1"
