"ID","Type","Name","Documentation","Source","Target","Specialization"
,"CompositionRelationship","","","VS1","VS1-1",""
,"CompositionRelationship","","","VS1","VS1-2",""
,"CompositionRelationship","","","VS1","VS1-3",""
,"CompositionRelationship","","","VS1","VS1-4",""
,"CompositionRelationship","","","VS1","VS1-5",""
,"CompositionRelationship","","","VS1","VS1-6",""
,"CompositionRelationship","","","VS2","VS2-1",""
,"CompositionRelationship","","","VS2","VS2-2",""
,"CompositionRelationship","","","VS2","VS2-3",""
,"CompositionRelationship","","","VS2","VS2-4",""
,"CompositionRelationship","","","VS2","VS2-5",""
,"CompositionRelationship","","","VS2","VS2-6",""
,"CompositionRelationship","","","VS3","VS3-1",""
,"CompositionRelationship","","","VS3","VS3-2",""
,"CompositionRelationship","","","VS3","VS3-3",""
,"CompositionRelationship","","","VS3","VS3-4",""
,"CompositionRelationship","","","VS3","VS3-5",""
,"CompositionRelationship","","","VS3","VS3-6",""
,"CompositionRelationship","","","VS4","VS4-1",""
,"CompositionRelationship","","","VS4","VS4-2",""
,"CompositionRelationship","","","VS4","VS4-3",""
,"CompositionRelationship","","","VS4","VS4-4",""
,"CompositionRelationship","","","VS4","VS4-5",""
,"CompositionRelationship","","","VS4","VS4-6",""
,"CompositionRelationship","","","VS5","VS5-1",""
,"CompositionRelationship","","","VS5","VS5-2",""
,"CompositionRelationship","","","VS5","VS5-3",""
,"CompositionRelationship","","","VS5","VS5-4",""
,"CompositionRelationship","","","VS5","VS5-5",""
,"CompositionRelationship","","","VS5","VS5-6",""
,"CompositionRelationship","","","C1","C2",""
,"CompositionRelationship","","","C1","C3",""
,"CompositionRelationship","","","C1","C4",""
,"CompositionRelationship","","","C1","C5",""
,"CompositionRelationship","","","C1","C6",""
,"CompositionRelationship","","","C3","C7",""
,"CompositionRelationship","","","C3","C8",""
,"CompositionRelationship","","","C3","C9",""
,"CompositionRelationship","","","C3","C10",""
,"CompositionRelationship","","","C3","C11",""
,"CompositionRelationship","","","C4","C12",""
,"CompositionRelationship","","","C4","C13",""
,"CompositionRelationship","","","C4","C14",""
,"CompositionRelationship","","","C4","C15",""
,"CompositionRelationship","","","C5","C16",""
,"CompositionRelationship","","","C5","C17",""
,"CompositionRelationship","","","C5","C18",""
,"CompositionRelationship","","","C6","C19",""
,"CompositionRelationship","","","C6","C20",""
,"CompositionRelationship","","","C6","C21",""
,"CompositionRelationship","","","C22","C23",""
,"CompositionRelationship","","","C22","C24",""
