"ID","Type","Name","Documentation"
"VS1","ValueStream","Create Foundational Knowledge Assets",""
"VS1.1","ValueStream","Formulate Research Question",""
"VS1.2","ValueStream","Design Study",""
"VS1.3","ValueStream","Acquire Data",""
"VS1.4","ValueStream","Analyze Data",""
"VS1.5","ValueStream","Author and Submit Manuscript",""
"VS1.6","ValueStream","Peer Review and Revise",""
"VS1.7","ValueStream","Publish and Disseminate",""
"VS2","ValueStream","Design Academic Programs & Courses",""
"VS2.1","ValueStream","Define Program Outcomes",""
"VS2.2","ValueStream","Architect Curriculum",""
"VS2.3","ValueStream","Develop Course Materials",""
"VS2.4","ValueStream","Validate and Approve Program",""
"VS2.5","ValueStream","Refresh and Sunset Content",""
"VS3","ValueStream","Deliver Personalized Learning Journeys",""
"VS3.1","ValueStream","Attract and Advise Learner",""
"VS3.2","ValueStream","Admit and Enroll Learner",""
"VS3.3","ValueStream","Deliver Instruction",""
"VS3.4","ValueStream","Assess Learning",""
"VS3.5","ValueStream","Credential and Graduate",""
"VS3.6","ValueStream","Place and Engage Alumni",""
"VS4","ValueStream","Conduct Sponsored Research Engagements",""
"VS4.1","ValueStream","Identify Opportunity",""
"VS4.2","ValueStream","Shape and Submit Proposal",""
"VS4.3","ValueStream","Negotiate Scope and Terms",""
"VS4.4","ValueStream","Execute Project",""
"VS4.5","ValueStream","Deliver Results and IP",""
"VS4.6","ValueStream","Closeout and Report",""
"VS5","ValueStream","Commercialize Research Outputs",""
"VS5.1","ValueStream","Scout and Disclose Inventions",""
"VS5.2","ValueStream","Protect Intellectual Property",""
"VS5.3","ValueStream","Evaluate Market Potential",""
"VS5.4","ValueStream","Execute Licensing or Venture Formation",""
"VS5.5","ValueStream","Support Venture/IP Scale-Up",""
"CAP1","Capability","Knowledge Asset Creation",""
"CAP1.1","Capability","Research Question Formulation",""
"CAP1.2","Capability","Study Protocol Design",""
"CAP1.3","Capability","Research Data Acquisition",""
"CAP1.4","Capability","Data Analysis",""
"CAP1.5","Capability","Manuscript Authoring",""
"CAP1.6","Capability","Peer Review Response",""
"CAP1.7","Capability","Publication & Repository Deposit",""
"CAP2","Capability","Academic Program Engineering",""
"CAP2.1","Capability","Program Outcome Definition",""
"CAP2.2","Capability","Curriculum Architecture",""
"CAP2.3","Capability","Course Material Authoring",""
"CAP2.4","Capability","Program Validation & Approval",""
"CAP2.5","Capability","Content Refresh & Sunsetting",""
"CAP3","Capability","Learning Experience Delivery",""
"CAP3.1","Capability","Learner Advising",""
"CAP3.2","Capability","Admission & Enrollment Processing",""
"CAP3.3","Capability","Instruction Facilitation",""
"CAP3.4","Capability","Assessment Administration",""
"CAP3.5","Capability","Credential Issuance",""
"CAP3.6","Capability","Alumni Engagement & Placement",""
"CAP4","Capability","Sponsored Research Delivery",""
"CAP4.1","Capability","Opportunity Identification",""
"CAP4.2","Capability","Proposal Development",""
"CAP4.3","Capability","Scope & Terms Negotiation",""
"CAP4.4","Capability","Sponsored Research Execution",""
"CAP4.5","Capability","Results & IP Delivery",""
"CAP4.6","Capability","Project Closeout",""
"CAP5","Capability","Innovation & IP Translation",""
"CAP5.1","Capability","Invention Scouting & Disclosure",""
"CAP5.2","Capability","Patent Filing & Prosecution",""
"CAP5.3","Capability","Market Potential Evaluation",""
"CAP5.4","Capability","Licensing Execution",""
"CAP5.5","Capability","Venture Scale-Up Support",""
"OBJ1","BusinessObject","Knowledge Asset",""
"OBJ1.1","BusinessObject","Research Question",""
"OBJ1.2","BusinessObject","Study Protocol",""
"OBJ1.3","BusinessObject","Research Data",""
"OBJ1.4","BusinessObject","Analytical Results",""
"OBJ1.5","BusinessObject","Manuscript",""
"OBJ1.6","BusinessObject","Revision Package",""
"OBJ1.7","BusinessObject","Published Output",""
"OBJ2","BusinessObject","Academic Program Asset",""
"OBJ2.1","BusinessObject","Program Outcomes",""
"OBJ2.2","BusinessObject","Curriculum Blueprint",""
"OBJ2.3","BusinessObject","Course Materials",""
"OBJ2.4","BusinessObject","Program Validation Package",""
"OBJ2.5","BusinessObject","Content Lifecycle Plan",""
"OBJ3","BusinessObject","Learning Delivery Record",""
"OBJ3.1","BusinessObject","Advising Plan",""
"OBJ3.2","BusinessObject","Enrollment Record",""
"OBJ3.3","BusinessObject","Delivered Instruction Session",""
"OBJ3.4","BusinessObject","Assessment Attempt",""
"OBJ3.5","BusinessObject","Credential",""
"OBJ3.6","BusinessObject","Alumni Engagement Profile",""
"OBJ4","BusinessObject","Sponsored Research Engagement Artifact",""
"OBJ4.1","BusinessObject","Opportunity Brief",""
"OBJ4.2","BusinessObject","Proposal",""
"OBJ4.3","BusinessObject","Research Agreement",""
"OBJ4.4","BusinessObject","Sponsored Research Output",""
"OBJ4.5","BusinessObject","Sponsor Deliverable",""
"OBJ4.6","BusinessObject","Closeout Package",""
"OBJ5","BusinessObject","Innovation & Commercialization Artifact",""
"OBJ5.1","BusinessObject","Invention Disclosure",""
"OBJ5.2","BusinessObject","Patent Application",""
"OBJ5.3","BusinessObject","Market Evaluation Report",""
"OBJ5.4","BusinessObject","License Agreement",""
"OBJ5.5","BusinessObject","Venture Scale-Up Plan",""
