"ID","Key","Value"
"VS1","Level","0"
"VS1.1","Level","1"
"VS1.2","Level","1"
"VS1.3","Level","1"
"VS1.4","Level","1"
"VS1.5","Level","1"
"VS1.6","Level","1"
"VS1.7","Level","1"
"VS2","Level","0"
"VS2.1","Level","1"
"VS2.2","Level","1"
"VS2.3","Level","1"
"VS2.4","Level","1"
"VS2.5","Level","1"
"VS3","Level","0"
"VS3.1","Level","1"
"VS3.2","Level","1"
"VS3.3","Level","1"
"VS3.4","Level","1"
"VS3.5","Level","1"
"VS3.6","Level","1"
"VS4","Level","0"
"VS4.1","Level","1"
"VS4.2","Level","1"
"VS4.3","Level","1"
"VS4.4","Level","1"
"VS4.5","Level","1"
"VS4.6","Level","1"
"VS5","Level","0"
"VS5.1","Level","1"
"VS5.2","Level","1"
"VS5.3","Level","1"
"VS5.4","Level","1"
"VS5.5","Level","1"
"CAP1","Level","0"
"CAP1.1","Level","1"
"CAP1.2","Level","1"
"CAP1.3","Level","1"
"CAP1.4","Level","1"
"CAP1.5","Level","1"
"CAP1.6","Level","1"
"CAP1.7","Level","1"
"CAP2","Level","0"
"CAP2.1","Level","1"
"CAP2.2","Level","1"
"CAP2.3","Level","1"
"CAP2.4","Level","1"
"CAP2.5","Level","1"
"CAP3","Level","0"
"CAP3.1","Level","1"
"CAP3.2","Level","1"
"CAP3.3","Level","1"
"CAP3.4","Level","1"
"CAP3.5","Level","1"
"CAP3.6","Level","1"
"CAP4","Level","0"
"CAP4.1","Level","1"
"CAP4.2","Level","1"
"CAP4.3","Level","1"
"CAP4.4","Level","1"
"CAP4.5","Level","1"
"CAP4.6","Level","1"
"CAP5","Level","0"
"CAP5.1","Level","1"
"CAP5.2","Level","1"
"CAP5.3","Level","1"
"CAP5.4","Level","1"
"CAP5.5","Level","1"
"OBJ1","Level","0"
"OBJ1.1","Level","1"
"OBJ1.2","Level","1"
"OBJ1.3","Level","1"
"OBJ1.4","Level","1"
"OBJ1.5","Level","1"
"OBJ1.6","Level","1"
"OBJ1.7","Level","1"
"OBJ2","Level","0"
"OBJ2.1","Level","1"
"OBJ2.2","Level","1"
"OBJ2.3","Level","1"
"OBJ2.4","Level","1"
"OBJ2.5","Level","1"
"OBJ3","Level","0"
"OBJ3.1","Level","1"
"OBJ3.2","Level","1"
"OBJ3.3","Level","1"
"OBJ3.4","Level","1"
"OBJ3.5","Level","1"
"OBJ3.6","Level","1"
"OBJ4","Level","0"
"OBJ4.1","Level","1"
"OBJ4.2","Level","1"
"OBJ4.3","Level","1"
"OBJ4.4","Level","1"
"OBJ4.5","Level","1"
"OBJ4.6","Level","1"
"OBJ5","Level","0"
"OBJ5.1","Level","1"
"OBJ5.2","Level","1"
"OBJ5.3","Level","1"
"OBJ5.4","Level","1"
"OBJ5.5","Level","1"
"VS1","Value Proposition","Validated, peer-reviewed knowledge, datasets, and methods accessible for reuse and societal advancement."
"VS1","Value Stream Pattern","MTS"
"VS2","Value Proposition","High-quality, current curricula and courseware ready for learner delivery."
"VS2","Value Stream Pattern","MTS"
"VS3","Value Proposition","Personalized, rigorous learning leading to recognized credentials and career outcomes."
"VS3","Value Stream Pattern","ATO"
"VS4","Value Proposition","Custom research delivering novel insights, prototypes, and IP addressing sponsor-specific objectives."
"VS4","Value Stream Pattern","ETO"
"VS5","Value Proposition","Access to licensable IP and venture opportunities derived from university research."
"VS5","Value Stream Pattern","ATO"
"VS1.1","Sequence","1"
"VS1.2","Sequence","2"
"VS1.3","Sequence","3"
"VS1.4","Sequence","4"
"VS1.5","Sequence","5"
"VS1.6","Sequence","6"
"VS1.7","Sequence","7"
"VS2.1","Sequence","1"
"VS2.2","Sequence","2"
"VS2.3","Sequence","3"
"VS2.4","Sequence","4"
"VS2.5","Sequence","5"
"VS3.1","Sequence","1"
"VS3.2","Sequence","2"
"VS3.3","Sequence","3"
"VS3.4","Sequence","4"
"VS3.5","Sequence","5"
"VS3.6","Sequence","6"
"VS4.1","Sequence","1"
"VS4.2","Sequence","2"
"VS4.3","Sequence","3"
"VS4.4","Sequence","4"
"VS4.5","Sequence","5"
"VS4.6","Sequence","6"
"VS5.1","Sequence","1"
"VS5.2","Sequence","2"
"VS5.3","Sequence","3"
"VS5.4","Sequence","4"
"VS5.5","Sequence","5"
