"ID","Key","Value"
"VS1","Level","0"
"VS1","Value Proposition","Assure long-term reliable, safe, and affordable network capacity for communities and market participants."
"VS1","Value Stream Pattern","MTS"
"VS1-S1","Level","1"
"VS1-S1","Sequence","1"
"VS1-S2","Level","1"
"VS1-S2","Sequence","2"
"VS1-S3","Level","1"
"VS1-S3","Sequence","3"
"VS1-S4","Level","1"
"VS1-S4","Sequence","4"
"VS1-S5","Level","1"
"VS1-S5","Sequence","5"
"VS2","Level","0"
"VS2","Value Proposition","Provide timely, engineered grid connection enabling customers to inject or consume electricity safely and compliantly."
"VS2","Value Stream Pattern","ETO"
"VS2-S1","Level","1"
"VS2-S1","Sequence","1"
"VS2-S2","Level","1"
"VS2-S2","Sequence","2"
"VS2-S3","Level","1"
"VS2-S3","Sequence","3"
"VS2-S4","Level","1"
"VS2-S4","Sequence","4"
"VS2-S5","Level","1"
"VS2-S5","Sequence","5"
"VS3","Level","0"
"VS3","Value Proposition","Deliver continuous, reliable electricity transport and system balancing to maintain quality and security of supply."
"VS3","Value Stream Pattern","ATO"
"VS3-S1","Level","1"
"VS3-S1","Sequence","1"
"VS3-S2","Level","1"
"VS3-S2","Sequence","2"
"VS3-S3","Level","1"
"VS3-S3","Sequence","3"
"VS3-S4","Level","1"
"VS3-S4","Sequence","4"
"VS3-S5","Level","1"
"VS3-S5","Sequence","5"
"VS4","Level","0"
"VS4","Value Proposition","Minimize disruption by rapidly restoring service and communicating status during faults and emergencies."
"VS4","Value Stream Pattern","ATO"
"VS4-S1","Level","1"
"VS4-S1","Sequence","1"
"VS4-S2","Level","1"
"VS4-S2","Sequence","2"
"VS4-S3","Level","1"
"VS4-S3","Sequence","3"
"VS4-S4","Level","1"
"VS4-S4","Sequence","4"
"VS4-S5","Level","1"
"VS4-S5","Sequence","5"
"VS5","Level","0"
"VS5","Value Proposition","Provide accurate, transparent settlement of network use and balancing transactions."
"VS5","Value Stream Pattern","ATO"
"VS5-S1","Level","1"
"VS5-S1","Sequence","1"
"VS5-S2","Level","1"
"VS5-S2","Sequence","2"
"VS5-S3","Level","1"
"VS5-S3","Sequence","3"
"VS5-S4","Level","1"
"VS5-S4","Sequence","4"
"VS5-S5","Level","1"
"VS5-S5","Sequence","5"
"VS6","Level","0"
"VS6","Value Proposition","Provide fair, transparent access products, tariffs, and market mechanisms enabling participation."
"VS6","Value Stream Pattern","MTS"
"VS6-S1","Level","1"
"VS6-S1","Sequence","1"
"VS6-S2","Level","1"
"VS6-S2","Sequence","2"
"VS6-S3","Level","1"
"VS6-S3","Sequence","3"
"VS6-S4","Level","1"
"VS6-S4","Sequence","4"
"VS6-S5","Level","1"
"VS6-S5","Sequence","5"
"C1","Level","0"
"C1-1","Level","1"
"C1-2","Level","1"
"C1-3","Level","1"
"C1-4","Level","1"
"C1-5","Level","1"
"C2","Level","0"
"C2-1","Level","1"
"C2-2","Level","1"
"C2-3","Level","1"
"C2-4","Level","1"
"C2-5","Level","1"
"C3","Level","0"
"C3-1","Level","1"
"C3-2","Level","1"
"C3-3","Level","1"
"C3-4","Level","1"
"C3-5","Level","1"
"C4","Level","0"
"C4-1","Level","1"
"C4-2","Level","1"
"C4-3","Level","1"
"C4-4","Level","1"
"C4-5","Level","1"
"C5","Level","0"
"C5-1","Level","1"
"C5-2","Level","1"
"C5-3","Level","1"
"C5-4","Level","1"
"C5-5","Level","1"
"C6","Level","0"
"C6-1","Level","1"
"C6-2","Level","1"
"C6-3","Level","1"
"C6-4","Level","1"
"C6-5","Level","1"
"C7","Level","0"
"C7-1","Level","1"
"C7-2","Level","1"
"C7-3","Level","1"
"C7-4","Level","1"
"C7-5","Level","1"
"B1","Level","0"
"B1-1","Level","1"
"B1-2","Level","1"
"B1-3","Level","1"
"B1-4","Level","1"
"B1-5","Level","1"
"B1-6","Level","1"
"B1-7","Level","1"
"B2","Level","0"
"B2-1","Level","1"
"B2-2","Level","1"
"B2-3","Level","1"
"B2-4","Level","1"
"B2-5","Level","1"
"B2-6","Level","1"
"B2-7","Level","1"
"B3","Level","0"
"B3-1","Level","1"
"B3-2","Level","1"
"B3-3","Level","1"
"B3-4","Level","1"
"B3-5","Level","1"
"B3-6","Level","1"
"B3-7","Level","1"
"B4","Level","0"
"B4-1","Level","1"
"B4-2","Level","1"
"B4-3","Level","1"
"B4-4","Level","1"
"B4-5","Level","1"
"B4-6","Level","1"
"B5","Level","0"
"B5-1","Level","1"
"B5-2","Level","1"
"B5-3","Level","1"
"B5-4","Level","1"
"B5-5","Level","1"
"B6","Level","0"
"B6-1","Level","1"
"B6-2","Level","1"
"B6-3","Level","1"
"B6-4","Level","1"
"B6-5","Level","1"
"B6-6","Level","1"
"B6-7","Level","1"
"B7","Level","0"
"B7-1","Level","1"
"B7-2","Level","1"
"B7-3","Level","1"
"B7-4","Level","1"
"B7-5","Level","1"
"B7-6","Level","1"
