"ID","Type","Name","Documentation","Source","Target","Specialization"
"","CompositionRelationship","","","VS1","VS1-S1",""
"","CompositionRelationship","","","VS1","VS1-S2",""
"","CompositionRelationship","","","VS1","VS1-S3",""
"","CompositionRelationship","","","VS1","VS1-S4",""
"","CompositionRelationship","","","VS1","VS1-S5",""
"","CompositionRelationship","","","VS2","VS2-S1",""
"","CompositionRelationship","","","VS2","VS2-S2",""
"","CompositionRelationship","","","VS2","VS2-S3",""
"","CompositionRelationship","","","VS2","VS2-S4",""
"","CompositionRelationship","","","VS2","VS2-S5",""
"","CompositionRelationship","","","VS3","VS3-S1",""
"","CompositionRelationship","","","VS3","VS3-S2",""
"","CompositionRelationship","","","VS3","VS3-S3",""
"","CompositionRelationship","","","VS3","VS3-S4",""
"","CompositionRelationship","","","VS3","VS3-S5",""
"","CompositionRelationship","","","VS4","VS4-S1",""
"","CompositionRelationship","","","VS4","VS4-S2",""
"","CompositionRelationship","","","VS4","VS4-S3",""
"","CompositionRelationship","","","VS4","VS4-S4",""
"","CompositionRelationship","","","VS4","VS4-S5",""
"","CompositionRelationship","","","VS5","VS5-S1",""
"","CompositionRelationship","","","VS5","VS5-S2",""
"","CompositionRelationship","","","VS5","VS5-S3",""
"","CompositionRelationship","","","VS5","VS5-S4",""
"","CompositionRelationship","","","VS5","VS5-S5",""
"","CompositionRelationship","","","VS6","VS6-S1",""
"","CompositionRelationship","","","VS6","VS6-S2",""
"","CompositionRelationship","","","VS6","VS6-S3",""
"","CompositionRelationship","","","VS6","VS6-S4",""
"","CompositionRelationship","","","VS6","VS6-S5",""
"","CompositionRelationship","","","C1","C1-1",""
"","CompositionRelationship","","","C1","C1-2",""
"","CompositionRelationship","","","C1","C1-3",""
"","CompositionRelationship","","","C1","C1-4",""
"","CompositionRelationship","","","C1","C1-5",""
"","CompositionRelationship","","","C2","C2-1",""
"","CompositionRelationship","","","C2","C2-2",""
"","CompositionRelationship","","","C2","C2-3",""
"","CompositionRelationship","","","C2","C2-4",""
"","CompositionRelationship","","","C2","C2-5",""
"","CompositionRelationship","","","C3","C3-1",""
"","CompositionRelationship","","","C3","C3-2",""
"","CompositionRelationship","","","C3","C3-3",""
"","CompositionRelationship","","","C3","C3-4",""
"","CompositionRelationship","","","C3","C3-5",""
"","CompositionRelationship","","","C4","C4-1",""
"","CompositionRelationship","","","C4","C4-2",""
"","CompositionRelationship","","","C4","C4-3",""
"","CompositionRelationship","","","C4","C4-4",""
"","CompositionRelationship","","","C4","C4-5",""
"","CompositionRelationship","","","C5","C5-1",""
"","CompositionRelationship","","","C5","C5-2",""
"","CompositionRelationship","","","C5","C5-3",""
"","CompositionRelationship","","","C5","C5-4",""
"","CompositionRelationship","","","C5","C5-5",""
"","CompositionRelationship","","","C6","C6-1",""
"","CompositionRelationship","","","C6","C6-2",""
"","CompositionRelationship","","","C6","C6-3",""
"","CompositionRelationship","","","C6","C6-4",""
"","CompositionRelationship","","","C6","C6-5",""
"","CompositionRelationship","","","C7","C7-1",""
"","CompositionRelationship","","","C7","C7-2",""
"","CompositionRelationship","","","C7","C7-3",""
"","CompositionRelationship","","","C7","C7-4",""
"","CompositionRelationship","","","C7","C7-5",""
"","CompositionRelationship","","","B1","B1-1",""
"","CompositionRelationship","","","B1","B1-2",""
"","CompositionRelationship","","","B1","B1-3",""
"","CompositionRelationship","","","B1","B1-4",""
"","CompositionRelationship","","","B1","B1-5",""
"","CompositionRelationship","","","B1","B1-6",""
"","CompositionRelationship","","","B1","B1-7",""
"","CompositionRelationship","","","B2","B2-1",""
"","CompositionRelationship","","","B2","B2-2",""
"","CompositionRelationship","","","B2","B2-3",""
"","CompositionRelationship","","","B2","B2-4",""
"","CompositionRelationship","","","B2","B2-5",""
"","CompositionRelationship","","","B2","B2-6",""
"","CompositionRelationship","","","B2","B2-7",""
"","CompositionRelationship","","","B3","B3-1",""
"","CompositionRelationship","","","B3","B3-2",""
"","CompositionRelationship","","","B3","B3-3",""
"","CompositionRelationship","","","B3","B3-4",""
"","CompositionRelationship","","","B3","B3-5",""
"","CompositionRelationship","","","B3","B3-6",""
"","CompositionRelationship","","","B3","B3-7",""
"","CompositionRelationship","","","B4","B4-1",""
"","CompositionRelationship","","","B4","B4-2",""
"","CompositionRelationship","","","B4","B4-3",""
"","CompositionRelationship","","","B4","B4-4",""
"","CompositionRelationship","","","B4","B4-5",""
"","CompositionRelationship","","","B4","B4-6",""
"","CompositionRelationship","","","B5","B5-1",""
"","CompositionRelationship","","","B5","B5-2",""
"","CompositionRelationship","","","B5","B5-3",""
"","CompositionRelationship","","","B5","B5-4",""
"","CompositionRelationship","","","B5","B5-5",""
