"ID","Type","Name","Documentation","Source","Target","Specialization"
"","CompositionRelationship","","","VS-DEV-CAP","VS-DEV-CAP-S1",""
"","CompositionRelationship","","","VS-DEV-CAP","VS-DEV-CAP-S2",""
"","CompositionRelationship","","","VS-DEV-CAP","VS-DEV-CAP-S3",""
"","CompositionRelationship","","","VS-DEV-CAP","VS-DEV-CAP-S4",""
"","CompositionRelationship","","","VS-DEV-CAP","VS-DEV-CAP-S5",""
"","CompositionRelationship","","","VS-DEV-CAP","VS-DEV-CAP-S6",""
"","CompositionRelationship","","","VS-DEV-CAP","VS-DEV-CAP-S7",""
"","CompositionRelationship","","","VS-CONNECT","VS-CONNECT-S1",""
"","CompositionRelationship","","","VS-CONNECT","VS-CONNECT-S2",""
"","CompositionRelationship","","","VS-CONNECT","VS-CONNECT-S3",""
"","CompositionRelationship","","","VS-CONNECT","VS-CONNECT-S4",""
"","CompositionRelationship","","","VS-CONNECT","VS-CONNECT-S5",""
"","CompositionRelationship","","","VS-CONNECT","VS-CONNECT-S6",""
"","CompositionRelationship","","","VS-TRANSPORT","VS-TRANSPORT-S1",""
"","CompositionRelationship","","","VS-TRANSPORT","VS-TRANSPORT-S2",""
"","CompositionRelationship","","","VS-TRANSPORT","VS-TRANSPORT-S3",""
"","CompositionRelationship","","","VS-TRANSPORT","VS-TRANSPORT-S4",""
"","CompositionRelationship","","","VS-TRANSPORT","VS-TRANSPORT-S5",""
"","CompositionRelationship","","","VS-TRANSPORT","VS-TRANSPORT-S6",""
"","CompositionRelationship","","","VS-BALANCE","VS-BALANCE-S1",""
"","CompositionRelationship","","","VS-BALANCE","VS-BALANCE-S2",""
"","CompositionRelationship","","","VS-BALANCE","VS-BALANCE-S3",""
"","CompositionRelationship","","","VS-BALANCE","VS-BALANCE-S4",""
"","CompositionRelationship","","","VS-BALANCE","VS-BALANCE-S5",""
"","CompositionRelationship","","","VS-SETTLE","VS-SETTLE-S1",""
"","CompositionRelationship","","","VS-SETTLE","VS-SETTLE-S2",""
"","CompositionRelationship","","","VS-SETTLE","VS-SETTLE-S3",""
"","CompositionRelationship","","","VS-SETTLE","VS-SETTLE-S4",""
"","CompositionRelationship","","","VS-SETTLE","VS-SETTLE-S5",""
"","CompositionRelationship","","","CAP-DEV-CAP-PRIMARY","CAP-DEV-S1",""
"","CompositionRelationship","","","CAP-DEV-CAP-PRIMARY","CAP-DEV-S2",""
"","CompositionRelationship","","","CAP-DEV-CAP-PRIMARY","CAP-DEV-S3",""
"","CompositionRelationship","","","CAP-DEV-CAP-PRIMARY","CAP-DEV-S4",""
"","CompositionRelationship","","","CAP-DEV-CAP-PRIMARY","CAP-DEV-S5",""
"","CompositionRelationship","","","CAP-DEV-CAP-PRIMARY","CAP-DEV-S6",""
"","CompositionRelationship","","","CAP-DEV-CAP-PRIMARY","CAP-DEV-S7",""
"","CompositionRelationship","","","CAP-CONNECT-PRIMARY","CAP-CONN-S1",""
"","CompositionRelationship","","","CAP-CONNECT-PRIMARY","CAP-CONN-S2",""
"","CompositionRelationship","","","CAP-CONNECT-PRIMARY","CAP-CONN-S3",""
"","CompositionRelationship","","","CAP-CONNECT-PRIMARY","CAP-CONN-S4",""
"","CompositionRelationship","","","CAP-CONNECT-PRIMARY","CAP-CONN-S5",""
"","CompositionRelationship","","","CAP-CONNECT-PRIMARY","CAP-CONN-S6",""
"","CompositionRelationship","","","CAP-TRANSPORT-PRIMARY","CAP-TRAN-S1",""
"","CompositionRelationship","","","CAP-TRANSPORT-PRIMARY","CAP-TRAN-S2",""
"","CompositionRelationship","","","CAP-TRANSPORT-PRIMARY","CAP-TRAN-S3",""
"","CompositionRelationship","","","CAP-TRANSPORT-PRIMARY","CAP-TRAN-S4",""
"","CompositionRelationship","","","CAP-TRANSPORT-PRIMARY","CAP-TRAN-S5",""
"","CompositionRelationship","","","CAP-TRANSPORT-PRIMARY","CAP-TRAN-S6",""
"","CompositionRelationship","","","CAP-BALANCE-PRIMARY","CAP-BAL-S1",""
"","CompositionRelationship","","","CAP-BALANCE-PRIMARY","CAP-BAL-S2",""
"","CompositionRelationship","","","CAP-BALANCE-PRIMARY","CAP-BAL-S3",""
"","CompositionRelationship","","","CAP-BALANCE-PRIMARY","CAP-BAL-S4",""
"","CompositionRelationship","","","CAP-BALANCE-PRIMARY","CAP-BAL-S5",""
"","CompositionRelationship","","","CAP-SETTLE-PRIMARY","CAP-SET-S1",""
"","CompositionRelationship","","","CAP-SETTLE-PRIMARY","CAP-SET-S2",""
"","CompositionRelationship","","","CAP-SETTLE-PRIMARY","CAP-SET-S3",""
"","CompositionRelationship","","","CAP-SETTLE-PRIMARY","CAP-SET-S4",""
"","CompositionRelationship","","","CAP-SETTLE-PRIMARY","CAP-SET-S5",""
"","CompositionRelationship","","","BO-DEV-CAP-PORTFOLIO","BO-DEV-S1",""
"","CompositionRelationship","","","BO-DEV-CAP-PORTFOLIO","BO-DEV-S2",""
"","CompositionRelationship","","","BO-DEV-CAP-PORTFOLIO","BO-DEV-S3",""
"","CompositionRelationship","","","BO-DEV-CAP-PORTFOLIO","BO-DEV-S4",""
"","CompositionRelationship","","","BO-DEV-CAP-PORTFOLIO","BO-DEV-S5",""
"","CompositionRelationship","","","BO-DEV-CAP-PORTFOLIO","BO-DEV-S6",""
"","CompositionRelationship","","","BO-DEV-CAP-PORTFOLIO","BO-DEV-S7",""
"","CompositionRelationship","","","BO-CONNECT-PORTFOLIO","BO-CONN-S1",""
"","CompositionRelationship","","","BO-CONNECT-PORTFOLIO","BO-CONN-S2",""
"","CompositionRelationship","","","BO-CONNECT-PORTFOLIO","BO-CONN-S3",""
"","CompositionRelationship","","","BO-CONNECT-PORTFOLIO","BO-CONN-S4",""
"","CompositionRelationship","","","BO-CONNECT-PORTFOLIO","BO-CONN-S5",""
"","CompositionRelationship","","","BO-CONNECT-PORTFOLIO","BO-CONN-S6",""
"","CompositionRelationship","","","BO-TRANSPORT-PORTFOLIO","BO-TRAN-S1",""
"","CompositionRelationship","","","BO-TRANSPORT-PORTFOLIO","BO-TRAN-S2",""
"","CompositionRelationship","","","BO-TRANSPORT-PORTFOLIO","BO-TRAN-S3",""
"","CompositionRelationship","","","BO-TRANSPORT-PORTFOLIO","BO-TRAN-S4",""
"","CompositionRelationship","","","BO-TRANSPORT-PORTFOLIO","BO-TRAN-S5",""
"","CompositionRelationship","","","BO-TRANSPORT-PORTFOLIO","BO-TRAN-S6",""
"","CompositionRelationship","","","BO-BALANCE-PORTFOLIO","BO-BAL-S1",""
"","CompositionRelationship","","","BO-BALANCE-PORTFOLIO","BO-BAL-S2",""
"","CompositionRelationship","","","BO-BALANCE-PORTFOLIO","BO-BAL-S3",""
"","CompositionRelationship","","","BO-BALANCE-PORTFOLIO","BO-BAL-S4",""
"","CompositionRelationship","","","BO-BALANCE-PORTFOLIO","BO-BAL-S5",""
"","CompositionRelationship","","","BO-SETTLE-PORTFOLIO","BO-SET-S1",""
"","CompositionRelationship","","","BO-SETTLE-PORTFOLIO","BO-SET-S2",""
"","CompositionRelationship","","","BO-SETTLE-PORTFOLIO","BO-SET-S3",""
"","CompositionRelationship","","","BO-SETTLE-PORTFOLIO","BO-SET-S4",""
"","CompositionRelationship","","","BO-SETTLE-PORTFOLIO","BO-SET-S5",""
"","ServingRelationship","","","CAP-DEV-CAP-PRIMARY","VS-DEV-CAP",""
"","ServingRelationship","","","CAP-DEV-S1","VS-DEV-CAP-S1",""
"","ServingRelationship","","","CAP-DEV-S2","VS-DEV-CAP-S2",""
"","ServingRelationship","","","CAP-DEV-S3","VS-DEV-CAP-S3",""
"","ServingRelationship","","","CAP-DEV-S4","VS-DEV-CAP-S4",""
"","ServingRelationship","","","CAP-DEV-S5","VS-DEV-CAP-S5",""
"","ServingRelationship","","","CAP-DEV-S6","VS-DEV-CAP-S6",""
"","ServingRelationship","","","CAP-DEV-S7","VS-DEV-CAP-S7",""
"","ServingRelationship","","","CAP-CONNECT-PRIMARY","VS-CONNECT",""
"","ServingRelationship","","","CAP-CONN-S1","VS-CONNECT-S1",""
"","ServingRelationship","","","CAP-CONN-S2","VS-CONNECT-S2",""
"","ServingRelationship","","","CAP-CONN-S3","VS-CONNECT-S3",""
"","ServingRelationship","","","CAP-CONN-S4","VS-CONNECT-S4",""
"","ServingRelationship","","","CAP-CONN-S5","VS-CONNECT-S5",""
"","ServingRelationship","","","CAP-CONN-S6","VS-CONNECT-S6",""
"","ServingRelationship","","","CAP-TRANSPORT-PRIMARY","VS-TRANSPORT",""
"","ServingRelationship","","","CAP-TRAN-S1","VS-TRANSPORT-S1",""
"","ServingRelationship","","","CAP-TRAN-S2","VS-TRANSPORT-S2",""
"","ServingRelationship","","","CAP-TRAN-S3","VS-TRANSPORT-S3",""
"","ServingRelationship","","","CAP-TRAN-S4","VS-TRANSPORT-S4",""
"","ServingRelationship","","","CAP-TRAN-S5","VS-TRANSPORT-S5",""
"","ServingRelationship","","","CAP-TRAN-S6","VS-TRANSPORT-S6",""
"","ServingRelationship","","","CAP-BALANCE-PRIMARY","VS-BALANCE",""
"","ServingRelationship","","","CAP-BAL-S1","VS-BALANCE-S1",""
"","ServingRelationship","","","CAP-BAL-S2","VS-BALANCE-S2",""
"","ServingRelationship","","","CAP-BAL-S3","VS-BALANCE-S3",""
