"ID","Type","Name","Documentation"
"VS-DEV-CAP","ValueStream","Develop Grid Capacity",""
"VS-DEV-CAP-S1","ValueStream","Forecast Grid Needs",""
"VS-DEV-CAP-S2","ValueStream","Identify Grid Options",""
"VS-DEV-CAP-S3","ValueStream","Obtain Permits and Easements",""
"VS-DEV-CAP-S4","ValueStream","Engineer Grid Assets",""
"VS-DEV-CAP-S5","ValueStream","Procure and Construct Assets",""
"VS-DEV-CAP-S6","ValueStream","Commission Assets",""
"VS-DEV-CAP-S7","ValueStream","Release Capacity to Operations",""
"VS-CONNECT","ValueStream","Connect Customer to Grid",""
"VS-CONNECT-S1","ValueStream","Receive Connection Application",""
"VS-CONNECT-S2","ValueStream","Assess Technical Feasibility",""
"VS-CONNECT-S3","ValueStream","Offer Connection and Terms",""
"VS-CONNECT-S4","ValueStream","Design Connection Solution",""
"VS-CONNECT-S5","ValueStream","Construct and Commission Connection",""
"VS-CONNECT-S6","ValueStream","Energize and Hand Over",""
"VS-TRANSPORT","ValueStream","Provide Network Transport Service",""
"VS-TRANSPORT-S1","ValueStream","Onboard Network User",""
"VS-TRANSPORT-S2","ValueStream","Configure Access and Constraints",""
"VS-TRANSPORT-S3","ValueStream","Schedule and Nominate Flows",""
"VS-TRANSPORT-S4","ValueStream","Monitor Power Quality",""
"VS-TRANSPORT-S5","ValueStream","Manage Outages and Maintenance",""
"VS-TRANSPORT-S6","ValueStream","Bill Network Usage",""
"VS-BALANCE","ValueStream","Balance and Secure Power System",""
"VS-BALANCE-S1","ValueStream","Prepare System Operating Plan",""
"VS-BALANCE-S2","ValueStream","Monitor System State",""
"VS-BALANCE-S3","ValueStream","Balance and Congestion Manage",""
"VS-BALANCE-S4","ValueStream","Manage Contingencies and Restoration",""
"VS-BALANCE-S5","ValueStream","Settle Balancing Actions",""
"VS-SETTLE","ValueStream","Settle and Inform Market Participants",""
"VS-SETTLE-S1","ValueStream","Collect Metering and Event Data",""
"VS-SETTLE-S2","ValueStream","Validate and Aggregate Data",""
"VS-SETTLE-S3","ValueStream","Calculate Charges and Settlements",""
"VS-SETTLE-S4","ValueStream","Issue Statements and Invoices",""
"VS-SETTLE-S5","ValueStream","Publish Regulatory and Transparency Reports",""
"CAP-DEV-CAP-PRIMARY","Capability","Grid Capacity Management",""
"CAP-DEV-S1","Capability","Grid Needs Forecasting",""
"CAP-DEV-S2","Capability","Grid Option Analysis",""
"CAP-DEV-S3","Capability","Permitting and Wayleave Acquisition",""
"CAP-DEV-S4","Capability","Asset Engineering Design",""
"CAP-DEV-S5","Capability","Asset Procurement and Construction",""
"CAP-DEV-S6","Capability","Asset Commissioning",""
"CAP-DEV-S7","Capability","Capacity Release",""
"CAP-CONNECT-PRIMARY","Capability","Connection Service Management",""
"CAP-CONN-S1","Capability","Connection Application Intake",""
"CAP-CONN-S2","Capability","Connection Feasibility Assessment",""
"CAP-CONN-S3","Capability","Connection Offer Structuring",""
"CAP-CONN-S4","Capability","Connection Detailed Design",""
"CAP-CONN-S5","Capability","Connection Build and Commission",""
"CAP-CONN-S6","Capability","Energization and Handover",""
"CAP-TRANSPORT-PRIMARY","Capability","Network Transport Management",""
"CAP-TRAN-S1","Capability","Network User Onboarding",""
"CAP-TRAN-S2","Capability","Access Configuration",""
"CAP-TRAN-S3","Capability","Flow Scheduling",""
"CAP-TRAN-S4","Capability","Power Quality Monitoring",""
"CAP-TRAN-S5","Capability","Outage and Maintenance Management",""
"CAP-TRAN-S6","Capability","Network Usage Billing",""
"CAP-BALANCE-PRIMARY","Capability","System Balancing Management",""
