"ID","Type","Name","Documentation","Source","Target","Specialization"
"","CompositionRelationship","","","VS-DEV-CAP","VS-DEV-CAP-S1",""
"","CompositionRelationship","","","VS-DEV-CAP","VS-DEV-CAP-S2",""
"","CompositionRelationship","","","VS-DEV-CAP","VS-DEV-CAP-S3",""
"","CompositionRelationship","","","VS-DEV-CAP","VS-DEV-CAP-S4",""
"","CompositionRelationship","","","VS-DEV-CAP","VS-DEV-CAP-S5",""
"","CompositionRelationship","","","VS-DEV-CAP","VS-DEV-CAP-S6",""
"","CompositionRelationship","","","VS-DEV-CAP","VS-DEV-CAP-S7",""
"","CompositionRelationship","","","VS-CONNECT","VS-CONNECT-S1",""
"","CompositionRelationship","","","VS-CONNECT","VS-CONNECT-S2",""
"","CompositionRelationship","","","VS-CONNECT","VS-CONNECT-S3",""
"","CompositionRelationship","","","VS-CONNECT","VS-CONNECT-S4",""
"","CompositionRelationship","","","VS-CONNECT","VS-CONNECT-S5",""
"","CompositionRelationship","","","VS-CONNECT","VS-CONNECT-S6",""
"","CompositionRelationship","","","VS-TRANSPORT","VS-TRANSPORT-S1",""
"","CompositionRelationship","","","VS-TRANSPORT","VS-TRANSPORT-S2",""
"","CompositionRelationship","","","VS-TRANSPORT","VS-TRANSPORT-S3",""
"","CompositionRelationship","","","VS-TRANSPORT","VS-TRANSPORT-S4",""
"","CompositionRelationship","","","VS-TRANSPORT","VS-TRANSPORT-S5",""
"","CompositionRelationship","","","VS-TRANSPORT","VS-TRANSPORT-S6",""
"","CompositionRelationship","","","VS-BALANCE","VS-BALANCE-S1",""
"","CompositionRelationship","","","VS-BALANCE","VS-BALANCE-S2",""
"","CompositionRelationship","","","VS-BALANCE","VS-BALANCE-S3",""
"","CompositionRelationship","","","VS-BALANCE","VS-BALANCE-S4",""
"","CompositionRelationship","","","VS-BALANCE","VS-BALANCE-S5",""
"","CompositionRelationship","","","VS-SETTLE","VS-SETTLE-S1",""
"","CompositionRelationship","","","VS-SETTLE","VS-SETTLE-S2",""
"","CompositionRelationship","","","VS-SETTLE","VS-SETTLE-S3",""
"","CompositionRelationship","","","VS-SETTLE","VS-SETTLE-S4",""
"","CompositionRelationship","","","VS-SETTLE","VS-SETTLE-S5",""
"","ServingRelationship","","","CAP-DEV-CAP-PRIMARY","VS-DEV-CAP",""
"","ServingRelationship","","","CAP-DEV-S1","VS-DEV-CAP-S1",""
"","ServingRelationship","","","CAP-DEV-S2","VS-DEV-CAP-S2",""
"","ServingRelationship","","","CAP-DEV-S3","VS-DEV-CAP-S3",""
"","ServingRelationship","","","CAP-DEV-S4","VS-DEV-CAP-S4",""
"","ServingRelationship","","","CAP-DEV-S5","VS-DEV-CAP-S5",""
"","ServingRelationship","","","CAP-DEV-S6","VS-DEV-CAP-S6",""
"","ServingRelationship","","","CAP-DEV-S7","VS-DEV-CAP-S7",""
"","ServingRelationship","","","CAP-CONNECT-PRIMARY","VS-CONNECT",""
"","ServingRelationship","","","CAP-CONN-S1","VS-CONNECT-S1",""
"","ServingRelationship","","","CAP-CONN-S2","VS-CONNECT-S2",""
"","ServingRelationship","","","CAP-CONN-S3","VS-CONNECT-S3",""
"","ServingRelationship","","","CAP-CONN-S4","VS-CONNECT-S4",""
"","ServingRelationship","","","CAP-CONN-S5","VS-CONNECT-S5",""
"","ServingRelationship","","","CAP-CONN-S6","VS-CONNECT-S6",""
"","ServingRelationship","","","CAP-TRANSPORT-PRIMARY","VS-TRANSPORT",""
"","ServingRelationship","","","CAP-TRAN-S1","VS-TRANSPORT-S1",""
"","ServingRelationship","","","CAP-TRAN-S2","VS-TRANSPORT-S2",""
"","ServingRelationship","","","CAP-TRAN-S3","VS-TRANSPORT-S3",""
"","ServingRelationship","","","CAP-TRAN-S4","VS-TRANSPORT-S4",""
"","ServingRelationship","","","CAP-TRAN-S5","VS-TRANSPORT-S5",""
"","ServingRelationship","","","CAP-TRAN-S6","VS-TRANSPORT-S6",""
"","ServingRelationship","","","CAP-BALANCE-PRIMARY","VS-BALANCE",""
"","ServingRelationship","","","CAP-BAL-S1","VS-BALANCE-S1",""
"","ServingRelationship","","","CAP-BAL-S2","VS-BALANCE-S2",""
"","ServingRelationship","","","CAP-BAL-S3","VS-BALANCE-S3",""
"","ServingRelationship","","","CAP-BAL-S4","VS-BALANCE-S4",""
"","ServingRelationship","","","CAP-BAL-S5","VS-BALANCE-S5",""
"","ServingRelationship","","","CAP-SETTLE-PRIMARY","VS-SETTLE",""
"","ServingRelationship","","","CAP-SET-S1","VS-SETTLE-S1",""
"","ServingRelationship","","","CAP-SET-S2","VS-SETTLE-S2",""
"","ServingRelationship","","","CAP-SET-S3","VS-SETTLE-S3",""
"","ServingRelationship","","","CAP-SET-S4","VS-SETTLE-S4",""
"","ServingRelationship","","","CAP-SET-S5","VS-SETTLE-S5",""
"","AssociationRelationship","","","CAP-DEV-CAP-PRIMARY","BO-DEV-CAP-PORTFOLIO",""
"","AssociationRelationship","","","CAP-DEV-S1","BO-DEV-S1",""
"","AssociationRelationship","","","CAP-DEV-S2","BO-DEV-S2",""
"","AssociationRelationship","","","CAP-DEV-S3","BO-DEV-S3",""
"","AssociationRelationship","","","CAP-DEV-S4","BO-DEV-S4",""
"","AssociationRelationship","","","CAP-DEV-S5","BO-DEV-S5",""
"","AssociationRelationship","","","CAP-DEV-S6","BO-DEV-S6",""
"","AssociationRelationship","","","CAP-DEV-S7","BO-DEV-S7",""
"","AssociationRelationship","","","CAP-CONNECT-PRIMARY","BO-CONNECT-PORTFOLIO",""
"","AssociationRelationship","","","CAP-CONN-S1","BO-CONN-S1",""
"","AssociationRelationship","","","CAP-CONN-S2","BO-CONN-S2",""
"","AssociationRelationship","","","CAP-CONN-S3","BO-CONN-S3",""
"","AssociationRelationship","","","CAP-CONN-S4","BO-CONN-S4",""
"","AssociationRelationship","","","CAP-CONN-S5","BO-CONN-S5",""
"","AssociationRelationship","","","CAP-CONN-S6","BO-CONN-S6",""
"","AssociationRelationship","","","CAP-TRANSPORT-PRIMARY","BO-TRANSPORT-PORTFOLIO",""
"","AssociationRelationship","","","CAP-TRAN-S1","BO-TRAN-S1",""
"","AssociationRelationship","","","CAP-TRAN-S2","BO-TRAN-S2",""
"","AssociationRelationship","","","CAP-TRAN-S3","BO-TRAN-S3",""
"","AssociationRelationship","","","CAP-TRAN-S4","BO-TRAN-S4",""
"","AssociationRelationship","","","CAP-TRAN-S5","BO-TRAN-S5",""
"","AssociationRelationship","","","CAP-TRAN-S6","BO-TRAN-S6",""
"","AssociationRelationship","","","CAP-BALANCE-PRIMARY","BO-BALANCE-PORTFOLIO",""
"","AssociationRelationship","","","CAP-BAL-S1","BO-BAL-S1",""
"","AssociationRelationship","","","CAP-BAL-S2","BO-BAL-S2",""
"","AssociationRelationship","","","CAP-BAL-S3","BO-BAL-S3",""
"","AssociationRelationship","","","CAP-BAL-S4","BO-BAL-S4",""
"","AssociationRelationship","","","CAP-BAL-S5","BO-BAL-S5",""
"","AssociationRelationship","","","CAP-SETTLE-PRIMARY","BO-SETTLE-PORTFOLIO",""
"","AssociationRelationship","","","CAP-SET-S1","BO-SET-S1",""
"","AssociationRelationship","","","CAP-SET-S2","BO-SET-S2",""
"","AssociationRelationship","","","CAP-SET-S3","BO-SET-S3",""
"","AssociationRelationship","","","CAP-SET-S4","BO-SET-S4",""
"","AssociationRelationship","","","CAP-SET-S5","BO-SET-S5",""
