"ID","Type","Name","Documentation"
"C0","Capability","Deliver Energy Network Services",""
"C1","Capability","Plan Grid Capacity",""
"C2","Capability","Develop Grid Assets",""
"C3","Capability","Operate Grid System",""
"C4","Capability","Manage Grid Connections",""
"C5","Capability","Manage Market Interfaces",""
"C6","Capability","Procure System Services",""
"C101","Capability","Forecast Demand and Generation",""
"C102","Capability","Model Grid Scenarios",""
"C103","Capability","Prioritize Grid Investments",""
"C104","Capability","Engineer Grid Solutions",""
"C105","Capability","Build Grid Assets",""
"C106","Capability","Commission Grid Assets",""
"C107","Capability","Monitor Grid Operations",""
"C108","Capability","Dispatch System Services",""
"C109","Capability","Coordinate Outage Plans",""
"C110","Capability","Restore Grid Service",""
"C111","Capability","Onboard Access Customers",""
"C112","Capability","Configure Metering Services",""
"C113","Capability","Activate Network Access",""
"C114","Capability","Manage Service Performance",""
"C115","Capability","Invoice Network Charges",""
"C116","Capability","Resolve Access Issues",""
"C117","Capability","Validate Metered Data",""
"C118","Capability","Calculate Network Charges",""
"C119","Capability","Issue Settlement Statements",""
"C120","Capability","Resolve Settlement Disputes",""
"C121","Capability","Assess Connection Requests",""
"C122","Capability","Create Connection Offers",""
"C123","Capability","Engineer Connection Solutions",""
"C124","Capability","Build Customer Connections",""
"C125","Capability","Energize Connections",""
"C126","Capability","Settle Connection Charges",""
"C127","Capability","Support Connected Customers",""
"C901","Capability","Maintain Network Model",""
"C902","Capability","Define Grid Standards",""
"C903","Capability","Evaluate Socioeconomic Benefits",""
"C904","Capability","Conduct Environmental and Siting Assessments",""
"C905","Capability","Aggregate Telemetry Data",""
"C906","Capability","Source Ancillary Services",""
"C907","Capability","Operate Control Center",""
"C908","Capability","Maintain Protection Settings",""
"C909","Capability","Define Access Policies",""
"C910","Capability","Define Pricing Strategies",""
"C911","Capability","Maintain Metering Inventory",""
"C912","Capability","Qualify Market Participants",""
"VS0","ValueStream","Establish Grid Capacity",""
"VS1","ValueStream","Operate the Grid",""
"VS2","ValueStream","Provide Network Access Service",""
"VS3","ValueStream","Settle Network Charges",""
"VS4","ValueStream","Connect and Energize Customer",""
"VS10","ValueStream","Shape Grid Capacity",""
"VS11","ValueStream","Deliver Grid Assets",""
"VS12","ValueStream","Stabilize Grid Operations",""
"VS13","ValueStream","Enable Market Access",""
"VS14","ValueStream","Activate Access",""
"VS15","ValueStream","Sustain Access Service",""
"VS16","ValueStream","Execute Network Settlements",""
"VS17","ValueStream","Manage Connection Lifecycle",""
"VS18","ValueStream","Offer and Charge for Connection",""
"VS19","ValueStream","Deliver Connection Works",""
"VS100","ValueStream","Forecast Demand and Generation",""
"VS101","ValueStream","Model Grid Scenarios",""
"VS102","ValueStream","Prioritize Grid Investments",""
"VS103","ValueStream","Engineer Grid Solutions",""
"VS104","ValueStream","Build Grid Assets",""
"VS105","ValueStream","Commission Grid Assets",""
"VS106","ValueStream","Monitor Grid Operations",""
"VS107","ValueStream","Dispatch System Services",""
"VS108","ValueStream","Coordinate Outage Plans",""
"VS109","ValueStream","Restore Grid Service",""
"VS110","ValueStream","Onboard Access Customers",""
"VS111","ValueStream","Configure Metering Services",""
"VS112","ValueStream","Invoice Network Charges",""
"VS113","ValueStream","Activate Network Access",""
"VS114","ValueStream","Manage Service Performance",""
"VS115","ValueStream","Resolve Access Issues",""
"VS116","ValueStream","Validate Metered Data",""
"VS117","ValueStream","Calculate Network Charges",""
"VS118","ValueStream","Issue Settlement Statements",""
"VS119","ValueStream","Resolve Settlement Disputes",""
"VS120","ValueStream","Assess Connection Requests",""
"VS121","ValueStream","Create Connection Offers",""
"VS122","ValueStream","Engineer Connection Solutions",""
"VS123","ValueStream","Build Customer Connections",""
"VS124","ValueStream","Energize Connections",""
"VS125","ValueStream","Settle Connection Charges",""
"VS126","ValueStream","Support Connected Customers",""
"B0","BusinessObject","Energy Network Service",""
"B1","BusinessObject","Grid Capacity Portfolio",""
"B2","BusinessObject","Grid Asset Portfolio",""
"B3","BusinessObject","Grid Operations State",""
"B4","BusinessObject","Customer Connection",""
"B5","BusinessObject","Market Access Relationship",""
"B6","BusinessObject","System Services Portfolio",""
"B101","BusinessObject","Demand-Supply Forecast",""
"B102","BusinessObject","Capacity Scenario",""
"B103","BusinessObject","Investment Portfolio",""
"B104","BusinessObject","Grid Solution Design",""
"B105","BusinessObject","Grid Asset",""
"B106","BusinessObject","Commissioned Asset",""
"B107","BusinessObject","Grid Operating State",""
"B108","BusinessObject","System Dispatch",""
"B109","BusinessObject","Outage Plan",""
