"ID","Key","Value"
"C0","Level","0"
"C1","Level","1"
"C2","Level","1"
"C3","Level","1"
"C4","Level","1"
"C5","Level","1"
"C6","Level","1"
"C101","Level","2"
"C102","Level","2"
"C103","Level","2"
"C104","Level","2"
"C105","Level","2"
"C106","Level","2"
"C107","Level","2"
"C108","Level","2"
"C109","Level","2"
"C110","Level","2"
"C111","Level","2"
"C112","Level","2"
"C113","Level","2"
"C114","Level","2"
"C115","Level","2"
"C116","Level","2"
"C117","Level","2"
"C118","Level","2"
"C119","Level","2"
"C120","Level","2"
"C121","Level","2"
"C122","Level","2"
"C123","Level","2"
"C124","Level","2"
"C125","Level","2"
"C126","Level","2"
"C127","Level","2"
"C901","Level","2"
"C902","Level","2"
"C903","Level","2"
"C904","Level","2"
"C905","Level","2"
"C906","Level","2"
"C907","Level","2"
"C908","Level","2"
"C909","Level","2"
"C910","Level","2"
"C911","Level","2"
"C912","Level","2"
"VS0","Level","0"
"VS0","Value Proposition","Available, future-proof grid capacity built ahead of demand to ensure reliability and access."
"VS0","Value Stream Pattern","MTS"
"VS1","Level","0"
"VS1","Value Proposition","Stable, safe, and reliable real-time power system operation."
"VS1","Value Stream Pattern","MTS"
"VS2","Level","0"
"VS2","Value Proposition","Timely, non-discriminatory access to the grid with configured metering and service commencement."
"VS2","Value Stream Pattern","ATO"
"VS3","Level","0"
"VS3","Value Proposition","Accurate, transparent network charges based on verified metering."
"VS3","Value Stream Pattern","ATO"
"VS4","Level","0"
"VS4","Value Proposition","Engineered connection and safe energization of customer sites."
"VS4","Value Stream Pattern","ETO"
"VS10","Level","1"
"VS11","Level","1"
"VS12","Level","1"
"VS13","Level","1"
"VS14","Level","1"
"VS15","Level","1"
"VS16","Level","1"
"VS17","Level","1"
"VS18","Level","1"
"VS19","Level","1"
"VS100","Level","2"
"VS101","Level","2"
"VS102","Level","2"
"VS103","Level","2"
"VS104","Level","2"
"VS105","Level","2"
"VS106","Level","2"
"VS107","Level","2"
"VS108","Level","2"
"VS109","Level","2"
"VS110","Level","2"
"VS111","Level","2"
"VS112","Level","2"
"VS113","Level","2"
"VS114","Level","2"
"VS115","Level","2"
"VS116","Level","2"
"VS117","Level","2"
"VS118","Level","2"
"VS119","Level","2"
"VS120","Level","2"
"VS121","Level","2"
"VS122","Level","2"
"VS123","Level","2"
"VS124","Level","2"
"VS125","Level","2"
"VS126","Level","2"
"B0","Level","0"
"B1","Level","1"
"B2","Level","1"
"B3","Level","1"
"B4","Level","1"
"B5","Level","1"
"B6","Level","1"
"B101","Level","2"
"B102","Level","2"
"B103","Level","2"
"B104","Level","2"
"B105","Level","2"
"B106","Level","2"
"B107","Level","2"
"B108","Level","2"
"B109","Level","2"
"B110","Level","2"
"B111","Level","2"
"B112","Level","2"
"B113","Level","2"
"B114","Level","2"
"B115","Level","2"
"B116","Level","2"
"B117","Level","2"
"B118","Level","2"
"B119","Level","2"
"B120","Level","2"
"B121","Level","2"
"B122","Level","2"
"B123","Level","2"
"B124","Level","2"
"B125","Level","2"
"B126","Level","2"
"B127","Level","2"
"B901","Level","2"
"B902","Level","2"
"B903","Level","2"
"B904","Level","2"
"B905","Level","2"
"B906","Level","2"
"B907","Level","2"
"B908","Level","2"
"B909","Level","2"
"B910","Level","2"
"B911","Level","2"
"B912","Level","2"
