"ID","Type","Name","Documentation","Source","Target","Specialization"
"","CompositionRelationship","","","C0","C1",""
"","CompositionRelationship","","","C0","C2",""
"","CompositionRelationship","","","C0","C3",""
"","CompositionRelationship","","","C0","C4",""
"","CompositionRelationship","","","C0","C5",""
"","CompositionRelationship","","","C0","C6",""
"","CompositionRelationship","","","C1","C101",""
"","CompositionRelationship","","","C1","C102",""
"","CompositionRelationship","","","C1","C103",""
"","CompositionRelationship","","","C1","C903",""
"","CompositionRelationship","","","C2","C104",""
"","CompositionRelationship","","","C2","C105",""
"","CompositionRelationship","","","C2","C106",""
"","CompositionRelationship","","","C2","C123",""
"","CompositionRelationship","","","C2","C124",""
"","CompositionRelationship","","","C2","C902",""
"","CompositionRelationship","","","C2","C904",""
"","CompositionRelationship","","","C2","C908",""
"","CompositionRelationship","","","C3","C107",""
"","CompositionRelationship","","","C3","C108",""
"","CompositionRelationship","","","C3","C109",""
"","CompositionRelationship","","","C3","C110",""
"","CompositionRelationship","","","C3","C113",""
"","CompositionRelationship","","","C3","C901",""
"","CompositionRelationship","","","C3","C905",""
"","CompositionRelationship","","","C3","C907",""
"","CompositionRelationship","","","C4","C114",""
"","CompositionRelationship","","","C4","C116",""
"","CompositionRelationship","","","C4","C121",""
"","CompositionRelationship","","","C4","C125",""
"","CompositionRelationship","","","C4","C127",""
"","CompositionRelationship","","","C5","C111",""
"","CompositionRelationship","","","C5","C112",""
"","CompositionRelationship","","","C5","C115",""
"","CompositionRelationship","","","C5","C117",""
"","CompositionRelationship","","","C5","C118",""
"","CompositionRelationship","","","C5","C119",""
"","CompositionRelationship","","","C5","C120",""
"","CompositionRelationship","","","C5","C122",""
"","CompositionRelationship","","","C5","C126",""
"","CompositionRelationship","","","C5","C909",""
"","CompositionRelationship","","","C5","C910",""
"","CompositionRelationship","","","C5","C911",""
"","CompositionRelationship","","","C5","C912",""
"","CompositionRelationship","","","C6","C906",""
"","CompositionRelationship","","","B0","B1",""
"","CompositionRelationship","","","B0","B2",""
"","CompositionRelationship","","","B0","B3",""
"","CompositionRelationship","","","B0","B4",""
"","CompositionRelationship","","","B0","B5",""
