"ID","Type","Name","Documentation"
"VS1","ValueStream","Create Foundational Knowledge Assets","End-to-end stream to generate, validate, and publish new scholarly knowledge for reuse and societal impact."
"VS1.1","ValueStream","Formulate Research Question","Define a clear, impactful, and testable research question grounded in evidence and gaps."
"VS1.2","ValueStream","Design Study","Plan methodology, protocols, instruments, and compliance to answer the research question."
"VS1.3","ValueStream","Acquire Data","Collect or source data ethically and reliably according to the study design."
"VS1.4","ValueStream","Analyze Data","Process, model, and interpret data to generate defensible findings."
"VS1.5","ValueStream","Author and Submit Manuscript","Draft, format, and submit manuscripts to appropriate venues."
"VS1.6","ValueStream","Peer Review and Revise","Address reviewer feedback and refine content to meet publication standards."
"VS1.7","ValueStream","Publish and Disseminate","Publish outputs and disseminate through repositories and channels for broad access."
"VS2","ValueStream","Design Academic Programs & Courses","Stream to architect, validate, and maintain programs and courses ready for delivery."
"VS2.1","ValueStream","Define Program Outcomes","Specify measurable learning outcomes aligned to competencies and market needs."
"VS2.2","ValueStream","Architect Curriculum","Structure courses, sequences, and credits to achieve program outcomes."
"VS2.3","ValueStream","Develop Course Materials","Author and assemble syllabi, content, assessments, and teaching guides."
"VS2.4","ValueStream","Validate and Approve Program","Secure governance, accreditation, and quality approvals for launch."
"VS2.5","ValueStream","Refresh and Sunset Content","Continuously update, version, and retire content to ensure currency."
"VS3","ValueStream","Deliver Personalized Learning Journeys","Stream to attract, educate, assess, and credential learners with tailored experiences."
"VS3.1","ValueStream","Attract and Advise Learner","Engage prospects and guide pathway choices based on goals and readiness."
"VS3.2","ValueStream","Admit and Enroll Learner","Process applications, decisions, registration, and onboarding."
"VS3.3","ValueStream","Deliver Instruction","Facilitate teaching and learning interactions across modalities."
"VS3.4","ValueStream","Assess Learning","Evaluate knowledge, skills, and competencies with valid measures."
"VS3.5","ValueStream","Credential and Graduate","Confirm requirements, confer credentials, and record attainment."
"VS3.6","ValueStream","Place and Engage Alumni","Support career placement and sustain alumni relationships and contributions."
"VS4","ValueStream","Conduct Sponsored Research Engagements","Stream to win, execute, and close sponsored projects delivering agreed outcomes."
"VS4.1","ValueStream","Identify Opportunity","Scan and qualify sponsor needs and alignment opportunities."
"VS4.2","ValueStream","Shape and Submit Proposal","Develop scope, budget, and plan; submit compliant proposals."
"VS4.3","ValueStream","Negotiate Scope and Terms","Finalize scope, IP, compliance, and commercial terms with sponsors."
"VS4.4","ValueStream","Execute Project","Manage tasks, resources, and risks to deliver project scope."
"VS4.5","ValueStream","Deliver Results and IP","Provide deliverables, data, and IP per contractual obligations."
"VS4.6","ValueStream","Closeout and Report","Complete financial, compliance, and technical closeout reporting."
"VS5","ValueStream","Commercialize Research Outputs","Stream to translate research into licenses or ventures that reach markets."
"VS5.1","ValueStream","Scout and Disclose Inventions","Identify innovations and submit formal disclosures."
