"ID","Type","Name","Documentation","Source","Target","Specialization"
,"CompositionRelationship","","","VS1","VS1.1",""
,"CompositionRelationship","","","VS1","VS1.2",""
,"CompositionRelationship","","","VS1","VS1.3",""
,"CompositionRelationship","","","VS1","VS1.4",""
,"CompositionRelationship","","","VS1","VS1.5",""
,"CompositionRelationship","","","VS1","VS1.6",""
,"CompositionRelationship","","","VS1","VS1.7",""
,"CompositionRelationship","","","VS2","VS2.1",""
,"CompositionRelationship","","","VS2","VS2.2",""
,"CompositionRelationship","","","VS2","VS2.3",""
,"CompositionRelationship","","","VS2","VS2.4",""
,"CompositionRelationship","","","VS2","VS2.5",""
,"CompositionRelationship","","","VS3","VS3.1",""
,"CompositionRelationship","","","VS3","VS3.2",""
,"CompositionRelationship","","","VS3","VS3.3",""
,"CompositionRelationship","","","VS3","VS3.4",""
,"CompositionRelationship","","","VS3","VS3.5",""
,"CompositionRelationship","","","VS3","VS3.6",""
,"CompositionRelationship","","","VS4","VS4.1",""
,"CompositionRelationship","","","VS4","VS4.2",""
,"CompositionRelationship","","","VS4","VS4.3",""
,"CompositionRelationship","","","VS4","VS4.4",""
,"CompositionRelationship","","","VS4","VS4.5",""
,"CompositionRelationship","","","VS4","VS4.6",""
,"CompositionRelationship","","","VS5","VS5.1",""
,"CompositionRelationship","","","VS5","VS5.2",""
,"CompositionRelationship","","","VS5","VS5.3",""
,"CompositionRelationship","","","VS5","VS5.4",""
,"CompositionRelationship","","","VS5","VS5.5",""
,"CompositionRelationship","","","CAP1","CAP1.1",""
,"CompositionRelationship","","","CAP1","CAP1.2",""
,"CompositionRelationship","","","CAP1","CAP1.3",""
,"CompositionRelationship","","","CAP1","CAP1.4",""
,"CompositionRelationship","","","CAP1","CAP1.5",""
,"CompositionRelationship","","","CAP1","CAP1.6",""
,"CompositionRelationship","","","CAP1","CAP1.7",""
,"CompositionRelationship","","","CAP2","CAP2.1",""
,"CompositionRelationship","","","CAP2","CAP2.2",""
,"CompositionRelationship","","","CAP2","CAP2.3",""
,"CompositionRelationship","","","CAP2","CAP2.4",""
,"CompositionRelationship","","","CAP2","CAP2.5",""
,"CompositionRelationship","","","CAP3","CAP3.1",""
,"CompositionRelationship","","","CAP3","CAP3.2",""
,"CompositionRelationship","","","CAP3","CAP3.3",""
,"CompositionRelationship","","","CAP3","CAP3.4",""
,"CompositionRelationship","","","CAP3","CAP3.5",""
,"CompositionRelationship","","","CAP3","CAP3.6",""
