"ID","Type","Name","Documentation"
"CAP-L0","Capability","Deliver Research and Education",""
"CAP-L1-1","Capability","Source Academic Inputs",""
"CAP-L1-2","Capability","Develop Knowledge and Innovation",""
"CAP-L1-3","Capability","Educate and Develop Learners",""
"CAP-L1-4","Capability","Translate and Commercialize Outcomes",""
"CAP-L1-5","Capability","Engage Students and Alumni",""
"CAP-L1-6","Capability","Engage Sponsors and Society",""
"CAP-L2-001","Capability","Analyze Educational Needs",""
"CAP-L2-002","Capability","Design Academic Programs",""
"CAP-L2-003","Capability","Develop Courses and Assessments",""
"CAP-L2-004","Capability","Assure Academic Quality",""
"CAP-L2-005","Capability","Publish Academic Offerings",""
"CAP-L2-006","Capability","Define Academic Portfolio Strategy",""
"CAP-L2-007","Capability","Analyze Labor Market Trends",""
"CAP-L2-008","Capability","Define Learning Outcome Frameworks",""
"CAP-L2-009","Capability","Curate Scholarly Resources",""
"CAP-L2-010","Capability","Develop Learning Materials",""
"CAP-L2-011","Capability","Define Assessment Policies",""
"CAP-L2-012","Capability","Define Quality Standards",""
"CAP-L2-013","Capability","Manage Accreditation Relationships",""
"CAP-L2-014","Capability","Define Admissions Criteria",""
"CAP-L2-015","Capability","Manage Academic Calendar",""
"CAP-L2-016","Capability","Define Research Agendas",""
"CAP-L2-017","Capability","Acquire Research Resources",""
"CAP-L2-018","Capability","Conduct Research Studies",""
"CAP-L2-019","Capability","Validate Research Findings",""
"CAP-L2-020","Capability","Publish Research Outputs",""
"CAP-L2-021","Capability","Analyze Scientific Trends",""
"CAP-L2-022","Capability","Shape Interdisciplinary Initiatives",""
"CAP-L2-023","Capability","Identify Funding Opportunities",""
"CAP-L2-024","Capability","Establish Research Partnerships",""
"CAP-L2-025","Capability","Provide Research Facilities",""
"CAP-L2-026","Capability","Ensure Research Integrity Policies",""
"CAP-L2-027","Capability","Manage Research Data",""
"CAP-L2-028","Capability","Coordinate Peer Review Submissions",""
"CAP-L2-029","Capability","Select Publication Venues",""
"CAP-L2-030","Capability","Support Open Access Compliance",""
"CAP-L2-031","Capability","Market Academic Programs",""
"CAP-L2-032","Capability","Manage Admissions",""
"CAP-L2-033","Capability","Manage Enrollment Agreements",""
"CAP-L2-034","Capability","Deliver Instruction",""
"CAP-L2-035","Capability","Assess Learning Outcomes",""
"CAP-L2-036","Capability","Confer Credentials",""
"CAP-L2-037","Capability","Provide Learner Support Services",""
"CAP-L2-038","Capability","Nurture Alumni Relationships",""
"CAP-L2-039","Capability","Define Value Messaging",""
"CAP-L2-040","Capability","Evaluate Academic Credentials",""
"CAP-L2-041","Capability","Define Enrollment Policies",""
"CAP-L2-042","Capability","Provide Learning Resources",""
"CAP-L2-043","Capability","Manage Assessment Instruments",""
"CAP-L2-044","Capability","Maintain Academic Records",""
"CAP-L2-045","Capability","Define Student Support Policies",""
"CAP-L2-046","Capability","Coordinate Experiential Learning",""
"CAP-L2-047","Capability","Manage Alumni Data",""
"CAP-L2-048","Capability","Develop Alumni Engagement Programs",""
"CAP-L2-049","Capability","Qualify Sponsor Needs",""
"CAP-L2-050","Capability","Develop Research Proposals",""
"CAP-L2-051","Capability","Manage Sponsor Agreements",""
"CAP-L2-052","Capability","Plan Research Projects",""
"CAP-L2-053","Capability","Execute Sponsored Research",""
"CAP-L2-054","Capability","Deliver Sponsor Deliverables",""
"CAP-L2-055","Capability","Report Sponsor Outcomes",""
"CAP-L2-056","Capability","Capture Project Knowledge",""
"CAP-L2-057","Capability","Support Sponsor Relationships",""
"CAP-L2-058","Capability","Analyze Industry Challenges",""
"CAP-L2-059","Capability","Define Pricing and IP Terms",""
"CAP-L2-060","Capability","Define Contracting Policies",""
"CAP-L2-061","Capability","Coordinate Research Teams",""
"CAP-L2-062","Capability","Prepare Technical Reports",""
"CAP-L2-063","Capability","Track Sponsor Requirements",""
"CAP-L2-064","Capability","Define Knowledge Curation Standards",""
"CAP-L2-065","Capability","Classify Research Outputs",""
"CAP-L2-066","Capability","Develop Engagement Programs",""
"CAP-L2-067","Capability","Manage Sponsor Feedback",""
"CAP-L2-068","Capability","Identify Translation Opportunities",""
"CAP-L2-069","Capability","Evaluate Invention Disclosures",""
"CAP-L2-070","Capability","Manage Intellectual Property",""
"CAP-L2-071","Capability","Develop Commercialization Partnerships",""
"CAP-L2-072","Capability","Execute Commercialization Transactions",""
"CAP-L2-073","Capability","Communicate Societal Insights",""
"CAP-L2-074","Capability","Support Licensee Relationships",""
"CAP-L2-075","Capability","Scan Application Domains",""
"CAP-L2-076","Capability","Define Evaluation Criteria",""
"CAP-L2-077","Capability","Coordinate Faculty Engagement",""
"CAP-L2-078","Capability","Define IP Strategy",""
"CAP-L2-079","Capability","Administer Patent Prosecution",""
"CAP-L2-080","Capability","Segment Market Prospects",""
"CAP-L2-081","Capability","Define Deal Structures",""
"CAP-L2-082","Capability","Negotiate Commercial Terms",""
"CAP-L2-083","Capability","Define Compliance Standards",""
"CAP-L2-084","Capability","Select Engagement Channels",""
"CAP-L2-085","Capability","Prepare Policy Briefs",""
"CAP-L2-086","Capability","Monitor License Obligations",""
"CAP-L2-087","Capability","Provide Technical Knowledge Transfer",""
"VS-L0-1","ValueStream","Develop Academic Program Portfolio",""
"VS-L0-2","ValueStream","Generate Research Knowledge Base",""
"VS-L0-3","ValueStream","Educate and Graduate Students",""
"VS-L0-4","ValueStream","Execute Sponsored Research Projects",""
"VS-L0-5","ValueStream","Transfer and Disseminate Knowledge to Society",""
"VS-L1-1-1","ValueStream","Shape Academic Portfolio",""
"VS-L1-1-2","ValueStream","Expose Program Offerings",""
"VS-L1-2-1","ValueStream","Form Research Agenda",""
"VS-L1-2-2","ValueStream","Secure Research Inputs",""
"VS-L1-2-3","ValueStream","Disseminate Scholarly Outputs",""
"VS-L1-3-1","ValueStream","Engage and Commit Learners",""
"VS-L1-3-2","ValueStream","Deliver and Credential Learning",""
"VS-L1-4-1","ValueStream","Engage and Contract Sponsors",""
"VS-L1-4-2","ValueStream","Execute Sponsored Research",""
"VS-L1-5-1","ValueStream","Prepare and Execute Commercialization",""
"VS-L1-5-2","ValueStream","Engage Markets and Society",""
"VS-L2-1-1","ValueStream","Identify Learning Market Needs",""
"VS-L2-1-2","ValueStream","Design Program Curriculum",""
"VS-L2-1-3","ValueStream","Develop Course Components",""
"VS-L2-1-4","ValueStream","Assure Program Quality",""
"VS-L2-1-5","ValueStream","Publish Program Portfolio",""
"VS-L2-2-1","ValueStream","Define Research Priorities",""
"VS-L2-2-2","ValueStream","Secure Research Inputs",""
"VS-L2-2-3","ValueStream","Conduct Research Investigations",""
"VS-L2-2-4","ValueStream","Validate and Document Findings",""
"VS-L2-2-5","ValueStream","Publish Scholarly Outputs",""
"VS-L2-3-1","ValueStream","Attract Prospective Students",""
"VS-L2-3-2","ValueStream","Evaluate Applications",""
"VS-L2-3-3","ValueStream","Confirm Enrollment Commitments",""
"VS-L2-3-4","ValueStream","Deliver Learning Experiences",""
"VS-L2-3-5","ValueStream","Assess Learner Performance",""
"VS-L2-3-6","ValueStream","Award Credentials",""
"VS-L2-3-7","ValueStream","Support Learner Success",""
"VS-L2-3-8","ValueStream","Engage Alumni",""
"VS-L2-4-1","ValueStream","Identify Sponsor Needs",""
"VS-L2-4-2","ValueStream","Develop Research Proposal",""
"VS-L2-4-3","ValueStream","Negotiate and Award Contract",""
"VS-L2-4-4","ValueStream","Plan Project Execution",""
"VS-L2-4-5","ValueStream","Perform Contracted Research",""
"VS-L2-4-6","ValueStream","Deliver Project Deliverables",""
"VS-L2-4-7","ValueStream","Report Outcomes and Compliance",""
"VS-L2-4-8","ValueStream","Transition Knowledge Assets",""
"VS-L2-4-9","ValueStream","Provide Post-Engagement Support",""
"VS-L2-5-1","ValueStream","Identify Translation Opportunities",""
"VS-L2-5-2","ValueStream","Evaluate Inventions",""
"VS-L2-5-3","ValueStream","Protect Intellectual Property",""
"VS-L2-5-4","ValueStream","Engage Potential Licensees",""
"VS-L2-5-5","ValueStream","License or Spin Out Innovation",""
"VS-L2-5-6","ValueStream","Disseminate Public Insights",""
"VS-L2-5-7","ValueStream","Provide Post-Transfer Support",""
"BO-L0-1","BusinessObject","Academic Value Portfolio",""
"BO-L1-1","BusinessObject","Academic Inputs",""
"BO-L1-2","BusinessObject","Knowledge and Innovation",""
"BO-L1-3","BusinessObject","Learner Development",""
"BO-L1-4","BusinessObject","Innovation Transfer",""
"BO-L1-5","BusinessObject","Student and Alumni Engagement",""
"BO-L1-6","BusinessObject","Sponsor and Societal Engagement",""
"BO-L2-001","BusinessObject","Learning Needs Insight",""
"BO-L2-002","BusinessObject","Academic Program Design",""
"BO-L2-003","BusinessObject","Course Component",""
"BO-L2-004","BusinessObject","Academic Quality",""
"BO-L2-005","BusinessObject","Program Offering",""
"BO-L2-006","BusinessObject","Academic Portfolio Strategy",""
"BO-L2-007","BusinessObject","Labor Market Analysis",""
"BO-L2-008","BusinessObject","Learning Outcome Framework",""
"BO-L2-009","BusinessObject","Scholarly Resource",""
"BO-L2-010","BusinessObject","Learning Material",""
"BO-L2-011","BusinessObject","Assessment Policy",""
"BO-L2-012","BusinessObject","Quality Standard",""
"BO-L2-013","BusinessObject","Accreditation Relationship",""
"BO-L2-014","BusinessObject","Admissions Criterion",""
"BO-L2-015","BusinessObject","Academic Calendar",""
"BO-L2-016","BusinessObject","Research Agenda",""
"BO-L2-017","BusinessObject","Research Input",""
"BO-L2-018","BusinessObject","Research Study",""
"BO-L2-019","BusinessObject","Research Finding",""
"BO-L2-020","BusinessObject","Scholarly Output",""
"BO-L2-021","BusinessObject","Scientific Trend Insight",""
"BO-L2-022","BusinessObject","Interdisciplinary Initiative",""
"BO-L2-023","BusinessObject","Funding Opportunity",""
"BO-L2-024","BusinessObject","Research Partnership",""
"BO-L2-025","BusinessObject","Research Facility",""
"BO-L2-026","BusinessObject","Research Integrity Policy",""
"BO-L2-027","BusinessObject","Research Data Asset",""
"BO-L2-028","BusinessObject","Peer Review Submission",""
"BO-L2-029","BusinessObject","Publication Venue",""
"BO-L2-030","BusinessObject","Open Access Mandate",""
"BO-L2-031","BusinessObject","Prospective Student",""
"BO-L2-032","BusinessObject","Application",""
"BO-L2-033","BusinessObject","Enrollment Agreement",""
"BO-L2-034","BusinessObject","Learning Experience",""
"BO-L2-035","BusinessObject","Learner Assessment",""
"BO-L2-036","BusinessObject","Credential",""
"BO-L2-037","BusinessObject","Learner Support Case",""
"BO-L2-038","BusinessObject","Alumni Relationship",""
"BO-L2-039","BusinessObject","Value Proposition Message",""
"BO-L2-040","BusinessObject","Prior Academic Credential",""
"BO-L2-041","BusinessObject","Enrollment Policy",""
"BO-L2-042","BusinessObject","Learning Resource",""
"BO-L2-043","BusinessObject","Assessment Instrument",""
"BO-L2-044","BusinessObject","Academic Record",""
"BO-L2-045","BusinessObject","Student Support Policy",""
"BO-L2-046","BusinessObject","Experiential Learning Placement",""
"BO-L2-047","BusinessObject","Alumni Profile",""
"BO-L2-048","BusinessObject","Alumni Program",""
"BO-L2-049","BusinessObject","Sponsor Need",""
"BO-L2-050","BusinessObject","Research Proposal",""
"BO-L2-051","BusinessObject","Sponsor Agreement",""
"BO-L2-052","BusinessObject","Research Project Plan",""
"BO-L2-053","BusinessObject","Sponsored Research Activity",""
"BO-L2-054","BusinessObject","Sponsor Deliverable",""
"BO-L2-055","BusinessObject","Sponsor Report",""
"BO-L2-056","BusinessObject","Project Knowledge Asset",""
"BO-L2-057","BusinessObject","Sponsor Relationship",""
"BO-L2-058","BusinessObject","Industry Challenge Insight",""
"BO-L2-059","BusinessObject","Pricing and IP Term",""
"BO-L2-060","BusinessObject","Contracting Policy",""
"BO-L2-061","BusinessObject","Research Team Coordination",""
"BO-L2-062","BusinessObject","Technical Report",""
"BO-L2-063","BusinessObject","Sponsor Requirement",""
"BO-L2-064","BusinessObject","Knowledge Curation Standard",""
"BO-L2-065","BusinessObject","Research Output Classification",""
"BO-L2-066","BusinessObject","Sponsor Engagement Program",""
"BO-L2-067","BusinessObject","Sponsor Feedback",""
"BO-L2-068","BusinessObject","Translation Opportunity",""
"BO-L2-069","BusinessObject","Invention Disclosure",""
"BO-L2-070","BusinessObject","Intellectual Property",""
"BO-L2-071","BusinessObject","Commercialization Partnership",""
"BO-L2-072","BusinessObject","Commercialization Transaction",""
"BO-L2-073","BusinessObject","Societal Insight Communication",""
"BO-L2-074","BusinessObject","Licensee Relationship",""
"BO-L2-075","BusinessObject","Application Domain Insight",""
"BO-L2-076","BusinessObject","Evaluation Criterion",""
"BO-L2-077","BusinessObject","Faculty Engagement",""
"BO-L2-078","BusinessObject","IP Strategy",""
"BO-L2-079","BusinessObject","Patent Prosecution",""
"BO-L2-080","BusinessObject","Market Segment",""
"BO-L2-081","BusinessObject","Deal Structure",""
"BO-L2-082","BusinessObject","Commercial Term",""
"BO-L2-083","BusinessObject","Compliance Standard",""
"BO-L2-084","BusinessObject","Engagement Channel",""
"BO-L2-085","BusinessObject","Policy Brief",""
"BO-L2-086","BusinessObject","License Obligation",""
"BO-L2-087","BusinessObject","Knowledge Transfer Package",""
