"ID","Key","Value"
"CAP-L0","Level","0"
"CAP-L1-1","Level","1"
"CAP-L1-2","Level","1"
"CAP-L1-3","Level","1"
"CAP-L1-4","Level","1"
"CAP-L1-5","Level","1"
"CAP-L1-6","Level","1"
"CAP-L2-001","Level","2"
"CAP-L2-002","Level","2"
"CAP-L2-003","Level","2"
"CAP-L2-004","Level","2"
"CAP-L2-005","Level","2"
"CAP-L2-006","Level","2"
"CAP-L2-007","Level","2"
"CAP-L2-008","Level","2"
"CAP-L2-009","Level","2"
"CAP-L2-010","Level","2"
"CAP-L2-011","Level","2"
"CAP-L2-012","Level","2"
"CAP-L2-013","Level","2"
"CAP-L2-014","Level","2"
"CAP-L2-015","Level","2"
"CAP-L2-016","Level","2"
"CAP-L2-017","Level","2"
"CAP-L2-018","Level","2"
"CAP-L2-019","Level","2"
"CAP-L2-020","Level","2"
"CAP-L2-021","Level","2"
"CAP-L2-022","Level","2"
"CAP-L2-023","Level","2"
"CAP-L2-024","Level","2"
"CAP-L2-025","Level","2"
"CAP-L2-026","Level","2"
"CAP-L2-027","Level","2"
"CAP-L2-028","Level","2"
"CAP-L2-029","Level","2"
"CAP-L2-030","Level","2"
"CAP-L2-031","Level","2"
"CAP-L2-032","Level","2"
"CAP-L2-033","Level","2"
"CAP-L2-034","Level","2"
"CAP-L2-035","Level","2"
"CAP-L2-036","Level","2"
"CAP-L2-037","Level","2"
"CAP-L2-038","Level","2"
"CAP-L2-039","Level","2"
"CAP-L2-040","Level","2"
"CAP-L2-041","Level","2"
"CAP-L2-042","Level","2"
"CAP-L2-043","Level","2"
"CAP-L2-044","Level","2"
"CAP-L2-045","Level","2"
"CAP-L2-046","Level","2"
"CAP-L2-047","Level","2"
"CAP-L2-048","Level","2"
"CAP-L2-049","Level","2"
"CAP-L2-050","Level","2"
"CAP-L2-051","Level","2"
"CAP-L2-052","Level","2"
"CAP-L2-053","Level","2"
"CAP-L2-054","Level","2"
"CAP-L2-055","Level","2"
"CAP-L2-056","Level","2"
"CAP-L2-057","Level","2"
"CAP-L2-058","Level","2"
"CAP-L2-059","Level","2"
"CAP-L2-060","Level","2"
"CAP-L2-061","Level","2"
"CAP-L2-062","Level","2"
"CAP-L2-063","Level","2"
"CAP-L2-064","Level","2"
"CAP-L2-065","Level","2"
"CAP-L2-066","Level","2"
"CAP-L2-067","Level","2"
"CAP-L2-068","Level","2"
"CAP-L2-069","Level","2"
"CAP-L2-070","Level","2"
"CAP-L2-071","Level","2"
"CAP-L2-072","Level","2"
"CAP-L2-073","Level","2"
"CAP-L2-074","Level","2"
"CAP-L2-075","Level","2"
"CAP-L2-076","Level","2"
"CAP-L2-077","Level","2"
"CAP-L2-078","Level","2"
"CAP-L2-079","Level","2"
"CAP-L2-080","Level","2"
"CAP-L2-081","Level","2"
"CAP-L2-082","Level","2"
"CAP-L2-083","Level","2"
"CAP-L2-084","Level","2"
"CAP-L2-085","Level","2"
"CAP-L2-086","Level","2"
"CAP-L2-087","Level","2"
"VS-L0-1","Level","0"
"VS-L0-1","Value Proposition","Deliver high-quality education that builds competencies, confers credentials, and enables successful careers and personal growth."
"VS-L0-1","Value Stream Pattern","MTS"
"VS-L0-2","Level","0"
"VS-L0-2","Value Proposition","Advance and share credible knowledge to inform policy, innovation, and societal progress through accessible dissemination."
"VS-L0-2","Value Stream Pattern","MTS"
"VS-L0-3","Level","0"
"VS-L0-3","Value Proposition","Deliver high-quality education that builds competencies, confers credentials, and enables successful careers and personal growth."
"VS-L0-3","Value Stream Pattern","ATO"
"VS-L0-4","Level","0"
"VS-L0-4","Value Proposition","Provide rigorous, timely research and innovation that solve sponsor problems with clear deliverables and IP options."
"VS-L0-4","Value Stream Pattern","ETO"
"VS-L0-5","Level","0"
"VS-L0-5","Value Proposition","Advance and share credible knowledge to inform policy, innovation, and societal progress through accessible dissemination."
"VS-L0-5","Value Stream Pattern","ATO"
"VS-L1-1-1","Level","1"
"VS-L1-1-2","Level","1"
"VS-L1-2-1","Level","1"
"VS-L1-2-2","Level","1"
"VS-L1-2-3","Level","1"
"VS-L1-3-1","Level","1"
"VS-L1-3-2","Level","1"
"VS-L1-4-1","Level","1"
"VS-L1-4-2","Level","1"
"VS-L1-5-1","Level","1"
"VS-L1-5-2","Level","1"
"VS-L2-1-1","Level","2"
"VS-L2-1-2","Level","2"
"VS-L2-1-3","Level","2"
"VS-L2-1-4","Level","2"
"VS-L2-1-5","Level","2"
"VS-L2-2-1","Level","2"
"VS-L2-2-2","Level","2"
"VS-L2-2-3","Level","2"
"VS-L2-2-4","Level","2"
"VS-L2-2-5","Level","2"
"VS-L2-3-1","Level","2"
"VS-L2-3-2","Level","2"
"VS-L2-3-3","Level","2"
"VS-L2-3-4","Level","2"
"VS-L2-3-5","Level","2"
"VS-L2-3-6","Level","2"
"VS-L2-3-7","Level","2"
"VS-L2-3-8","Level","2"
"VS-L2-4-1","Level","2"
"VS-L2-4-2","Level","2"
"VS-L2-4-3","Level","2"
"VS-L2-4-4","Level","2"
"VS-L2-4-5","Level","2"
"VS-L2-4-6","Level","2"
"VS-L2-4-7","Level","2"
"VS-L2-4-8","Level","2"
"VS-L2-4-9","Level","2"
"VS-L2-5-1","Level","2"
"VS-L2-5-2","Level","2"
"VS-L2-5-3","Level","2"
"VS-L2-5-4","Level","2"
"VS-L2-5-5","Level","2"
"VS-L2-5-6","Level","2"
"VS-L2-5-7","Level","2"
"BO-L0-1","Level","0"
"BO-L1-1","Level","1"
"BO-L1-2","Level","1"
"BO-L1-3","Level","1"
"BO-L1-4","Level","1"
"BO-L1-5","Level","1"
"BO-L1-6","Level","1"
"BO-L2-001","Level","2"
"BO-L2-002","Level","2"
"BO-L2-003","Level","2"
"BO-L2-004","Level","2"
"BO-L2-005","Level","2"
"BO-L2-006","Level","2"
"BO-L2-007","Level","2"
"BO-L2-008","Level","2"
"BO-L2-009","Level","2"
"BO-L2-010","Level","2"
"BO-L2-011","Level","2"
"BO-L2-012","Level","2"
"BO-L2-013","Level","2"
"BO-L2-014","Level","2"
"BO-L2-015","Level","2"
"BO-L2-016","Level","2"
"BO-L2-017","Level","2"
"BO-L2-018","Level","2"
"BO-L2-019","Level","2"
"BO-L2-020","Level","2"
"BO-L2-021","Level","2"
"BO-L2-022","Level","2"
"BO-L2-023","Level","2"
"BO-L2-024","Level","2"
"BO-L2-025","Level","2"
"BO-L2-026","Level","2"
"BO-L2-027","Level","2"
"BO-L2-028","Level","2"
"BO-L2-029","Level","2"
"BO-L2-030","Level","2"
"BO-L2-031","Level","2"
"BO-L2-032","Level","2"
"BO-L2-033","Level","2"
"BO-L2-034","Level","2"
"BO-L2-035","Level","2"
"BO-L2-036","Level","2"
"BO-L2-037","Level","2"
"BO-L2-038","Level","2"
"BO-L2-039","Level","2"
"BO-L2-040","Level","2"
"BO-L2-041","Level","2"
"BO-L2-042","Level","2"
"BO-L2-043","Level","2"
"BO-L2-044","Level","2"
"BO-L2-045","Level","2"
"BO-L2-046","Level","2"
"BO-L2-047","Level","2"
"BO-L2-048","Level","2"
"BO-L2-049","Level","2"
"BO-L2-050","Level","2"
"BO-L2-051","Level","2"
"BO-L2-052","Level","2"
"BO-L2-053","Level","2"
"BO-L2-054","Level","2"
"BO-L2-055","Level","2"
"BO-L2-056","Level","2"
"BO-L2-057","Level","2"
"BO-L2-058","Level","2"
"BO-L2-059","Level","2"
"BO-L2-060","Level","2"
"BO-L2-061","Level","2"
"BO-L2-062","Level","2"
"BO-L2-063","Level","2"
"BO-L2-064","Level","2"
"BO-L2-065","Level","2"
"BO-L2-066","Level","2"
"BO-L2-067","Level","2"
"BO-L2-068","Level","2"
"BO-L2-069","Level","2"
"BO-L2-070","Level","2"
"BO-L2-071","Level","2"
"BO-L2-072","Level","2"
"BO-L2-073","Level","2"
"BO-L2-074","Level","2"
"BO-L2-075","Level","2"
"BO-L2-076","Level","2"
"BO-L2-077","Level","2"
"BO-L2-078","Level","2"
"BO-L2-079","Level","2"
"BO-L2-080","Level","2"
"BO-L2-081","Level","2"
"BO-L2-082","Level","2"
"BO-L2-083","Level","2"
"BO-L2-084","Level","2"
"BO-L2-085","Level","2"
"BO-L2-086","Level","2"
"BO-L2-087","Level","2"
