"ID","Type","Name","Documentation","Source","Target","Specialization"
"","CompositionRelationship","","","CAP-L0","CAP-L1-1",""
"","CompositionRelationship","","","CAP-L0","CAP-L1-2",""
"","CompositionRelationship","","","CAP-L0","CAP-L1-3",""
"","CompositionRelationship","","","CAP-L0","CAP-L1-4",""
"","CompositionRelationship","","","CAP-L0","CAP-L1-5",""
"","CompositionRelationship","","","CAP-L0","CAP-L1-6",""
"","CompositionRelationship","","","CAP-L1-3","CAP-L2-001",""
"","CompositionRelationship","","","CAP-L1-3","CAP-L2-002",""
"","CompositionRelationship","","","CAP-L1-3","CAP-L2-003",""
"","CompositionRelationship","","","CAP-L1-3","CAP-L2-004",""
"","CompositionRelationship","","","CAP-L1-5","CAP-L2-005",""
"","CompositionRelationship","","","CAP-L1-3","CAP-L2-006",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-007",""
"","CompositionRelationship","","","CAP-L1-3","CAP-L2-008",""
"","CompositionRelationship","","","CAP-L1-1","CAP-L2-009",""
"","CompositionRelationship","","","CAP-L1-3","CAP-L2-010",""
"","CompositionRelationship","","","CAP-L1-3","CAP-L2-011",""
"","CompositionRelationship","","","CAP-L1-3","CAP-L2-012",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-013",""
"","CompositionRelationship","","","CAP-L1-5","CAP-L2-014",""
"","CompositionRelationship","","","CAP-L1-3","CAP-L2-015",""
"","CompositionRelationship","","","CAP-L1-2","CAP-L2-016",""
"","CompositionRelationship","","","CAP-L1-1","CAP-L2-017",""
"","CompositionRelationship","","","CAP-L1-2","CAP-L2-018",""
"","CompositionRelationship","","","CAP-L1-2","CAP-L2-019",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-020",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-021",""
"","CompositionRelationship","","","CAP-L1-2","CAP-L2-022",""
"","CompositionRelationship","","","CAP-L1-1","CAP-L2-023",""
"","CompositionRelationship","","","CAP-L1-1","CAP-L2-024",""
"","CompositionRelationship","","","CAP-L1-1","CAP-L2-025",""
"","CompositionRelationship","","","CAP-L1-2","CAP-L2-026",""
"","CompositionRelationship","","","CAP-L1-2","CAP-L2-027",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-028",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-029",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-030",""
"","CompositionRelationship","","","CAP-L1-5","CAP-L2-031",""
"","CompositionRelationship","","","CAP-L1-5","CAP-L2-032",""
"","CompositionRelationship","","","CAP-L1-5","CAP-L2-033",""
"","CompositionRelationship","","","CAP-L1-3","CAP-L2-034",""
"","CompositionRelationship","","","CAP-L1-3","CAP-L2-035",""
"","CompositionRelationship","","","CAP-L1-3","CAP-L2-036",""
"","CompositionRelationship","","","CAP-L1-5","CAP-L2-037",""
"","CompositionRelationship","","","CAP-L1-5","CAP-L2-038",""
"","CompositionRelationship","","","CAP-L1-5","CAP-L2-039",""
"","CompositionRelationship","","","CAP-L1-3","CAP-L2-040",""
"","CompositionRelationship","","","CAP-L1-5","CAP-L2-041",""
"","CompositionRelationship","","","CAP-L1-1","CAP-L2-042",""
"","CompositionRelationship","","","CAP-L1-3","CAP-L2-043",""
"","CompositionRelationship","","","CAP-L1-3","CAP-L2-044",""
"","CompositionRelationship","","","CAP-L1-5","CAP-L2-045",""
"","CompositionRelationship","","","CAP-L1-3","CAP-L2-046",""
"","CompositionRelationship","","","CAP-L1-5","CAP-L2-047",""
"","CompositionRelationship","","","CAP-L1-5","CAP-L2-048",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-049",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-050",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-051",""
"","CompositionRelationship","","","CAP-L1-2","CAP-L2-052",""
"","CompositionRelationship","","","CAP-L1-2","CAP-L2-053",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-054",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-055",""
"","CompositionRelationship","","","CAP-L1-2","CAP-L2-056",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-057",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-058",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-059",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-060",""
"","CompositionRelationship","","","CAP-L1-2","CAP-L2-061",""
"","CompositionRelationship","","","CAP-L1-2","CAP-L2-062",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-063",""
"","CompositionRelationship","","","CAP-L1-2","CAP-L2-064",""
"","CompositionRelationship","","","CAP-L1-2","CAP-L2-065",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-066",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-067",""
"","CompositionRelationship","","","CAP-L1-4","CAP-L2-068",""
"","CompositionRelationship","","","CAP-L1-4","CAP-L2-069",""
"","CompositionRelationship","","","CAP-L1-4","CAP-L2-070",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-071",""
"","CompositionRelationship","","","CAP-L1-4","CAP-L2-072",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-073",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-074",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-075",""
"","CompositionRelationship","","","CAP-L1-4","CAP-L2-076",""
"","CompositionRelationship","","","CAP-L1-2","CAP-L2-077",""
"","CompositionRelationship","","","CAP-L1-4","CAP-L2-078",""
"","CompositionRelationship","","","CAP-L1-4","CAP-L2-079",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-080",""
"","CompositionRelationship","","","CAP-L1-4","CAP-L2-081",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-082",""
"","CompositionRelationship","","","CAP-L1-4","CAP-L2-083",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-084",""
"","CompositionRelationship","","","CAP-L1-6","CAP-L2-085",""
"","CompositionRelationship","","","CAP-L1-4","CAP-L2-086",""
"","CompositionRelationship","","","CAP-L1-2","CAP-L2-087",""
"","CompositionRelationship","","","VS-L0-1","VS-L1-1-1",""
"","CompositionRelationship","","","VS-L0-1","VS-L1-1-2",""
"","CompositionRelationship","","","VS-L0-2","VS-L1-2-1",""
"","CompositionRelationship","","","VS-L0-2","VS-L1-2-2",""
"","CompositionRelationship","","","VS-L0-2","VS-L1-2-3",""
"","CompositionRelationship","","","VS-L0-3","VS-L1-3-1",""
"","CompositionRelationship","","","VS-L0-3","VS-L1-3-2",""
"","CompositionRelationship","","","VS-L0-4","VS-L1-4-1",""
"","CompositionRelationship","","","VS-L0-4","VS-L1-4-2",""
"","CompositionRelationship","","","VS-L0-5","VS-L1-5-1",""
"","CompositionRelationship","","","VS-L0-5","VS-L1-5-2",""
"","CompositionRelationship","","","VS-L1-1-1","VS-L2-1-1",""
"","CompositionRelationship","","","VS-L1-1-1","VS-L2-1-2",""
"","CompositionRelationship","","","VS-L1-1-1","VS-L2-1-3",""
"","CompositionRelationship","","","VS-L1-1-1","VS-L2-1-4",""
"","CompositionRelationship","","","VS-L1-1-2","VS-L2-1-5",""
"","CompositionRelationship","","","VS-L1-2-1","VS-L2-2-1",""
"","CompositionRelationship","","","VS-L1-2-2","VS-L2-2-2",""
"","CompositionRelationship","","","VS-L1-2-1","VS-L2-2-3",""
"","CompositionRelationship","","","VS-L1-2-1","VS-L2-2-4",""
"","CompositionRelationship","","","VS-L1-2-3","VS-L2-2-5",""
"","CompositionRelationship","","","VS-L1-3-1","VS-L2-3-1",""
"","CompositionRelationship","","","VS-L1-3-1","VS-L2-3-2",""
"","CompositionRelationship","","","VS-L1-3-1","VS-L2-3-3",""
"","CompositionRelationship","","","VS-L1-3-2","VS-L2-3-4",""
"","CompositionRelationship","","","VS-L1-3-2","VS-L2-3-5",""
"","CompositionRelationship","","","VS-L1-3-2","VS-L2-3-6",""
"","CompositionRelationship","","","VS-L1-3-1","VS-L2-3-7",""
"","CompositionRelationship","","","VS-L1-3-1","VS-L2-3-8",""
"","CompositionRelationship","","","VS-L1-4-1","VS-L2-4-1",""
"","CompositionRelationship","","","VS-L1-4-1","VS-L2-4-2",""
"","CompositionRelationship","","","VS-L1-4-1","VS-L2-4-3",""
"","CompositionRelationship","","","VS-L1-4-2","VS-L2-4-4",""
"","CompositionRelationship","","","VS-L1-4-2","VS-L2-4-5",""
"","CompositionRelationship","","","VS-L1-4-1","VS-L2-4-6",""
"","CompositionRelationship","","","VS-L1-4-1","VS-L2-4-7",""
"","CompositionRelationship","","","VS-L1-4-2","VS-L2-4-8",""
"","CompositionRelationship","","","VS-L1-4-1","VS-L2-4-9",""
"","CompositionRelationship","","","VS-L1-5-1","VS-L2-5-1",""
"","CompositionRelationship","","","VS-L1-5-1","VS-L2-5-2",""
"","CompositionRelationship","","","VS-L1-5-1","VS-L2-5-3",""
"","CompositionRelationship","","","VS-L1-5-2","VS-L2-5-4",""
"","CompositionRelationship","","","VS-L1-5-1","VS-L2-5-5",""
"","CompositionRelationship","","","VS-L1-5-2","VS-L2-5-6",""
"","CompositionRelationship","","","VS-L1-5-2","VS-L2-5-7",""
"","CompositionRelationship","","","BO-L0-1","BO-L1-1",""
"","CompositionRelationship","","","BO-L0-1","BO-L1-2",""
